Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0	0	0	-0.05	0.05	-0.3474874	-0.3474874	-0.07	-0.07	
0.0004	0	0	-0.05	0.05	-0.3474897	-0.3474897	-0.07	-0.07	
0.0008	0	0	-0.04999854	0.05000145	-0.3474945	-0.3474948	-0.07	-0.07	
0.0012	0	0	-0.04999556	0.05000444	-0.3475016	-0.3475025	-0.07	-0.07	
0.0016	0	0	-0.04999102	0.05000899	-0.3475111	-0.3475128	-0.07	-0.07	
0.002	0	0	-0.04998485	0.05001516	-0.3475229	-0.3475258	-0.07	-0.07	
0.0024	0	0	-0.04997701	0.050023	-0.3475371	-0.3475413	-0.07	-0.07	
0.0028	0	0	-0.04996745	0.05003254	-0.3475534	-0.3475593	-0.07	-0.07	
0.0032	0	0	-0.04995615	0.05004386	-0.3475718	-0.3475798	-0.07	-0.07	
0.0036	0	0	-0.04994304	0.05005696	-0.3475924	-0.3476026	-0.07	-0.07	
0.004	0	0	-0.04992811	0.05007189	-0.347615	-0.3476277	-0.07	-0.07	
0.0044	0	0	-0.04991131	0.05008869	-0.3476396	-0.3476551	-0.07	-0.07	
0.0048	0	0	-0.0498926	0.0501074	-0.3476661	-0.3476848	-0.07	-0.07	
0.0052	0	0	-0.04987197	0.05012803	-0.3476945	-0.3477166	-0.07	-0.07	
0.0056	0	0	-0.04984938	0.05015062	-0.3477248	-0.3477506	-0.07	-0.07	
0.006	0	0	-0.0498248	0.0501752	-0.3477569	-0.3477866	-0.07	-0.07	
0.0064	0	0	-0.04979821	0.05020178	-0.3477907	-0.3478247	-0.07	-0.07	
0.0068	0	0	-0.04976958	0.05023041	-0.3478262	-0.3478647	-0.07	-0.07	
0.0072	0	0	-0.04973891	0.05026109	-0.3478634	-0.3479067	-0.07	-0.07	
0.0076	0	0	-0.04970614	0.05029384	-0.3479023	-0.3479507	-0.07	-0.07	
0.007999999	0	0	-0.04967129	0.0503287	-0.3479427	-0.3479965	-0.07	-0.07	
0.0084	0	0	-0.04963431	0.05036566	-0.3479846	-0.3480441	-0.07	-0.07	
0.0088	0	0	-0.0495952	0.05040476	-0.3480282	-0.3480935	-0.07	-0.07	
0.0092	0	0	-0.04955395	0.050446	-0.3480731	-0.3481447	-0.07	-0.07	
0.0096	0	0	-0.04951055	0.05048941	-0.3481195	-0.3481975	-0.07	-0.07	
0.01	0	0	-0.04946496	0.05053498	-0.3481672	-0.3482521	-0.07	-0.07	
0.0104	0	0	-0.04941719	0.05058275	-0.3482164	-0.3483083	-0.07	-0.07	
0.0108	0	0	-0.04936722	0.05063271	-0.3482668	-0.3483661	-0.07	-0.07	
