Time	Tension	Length	
4	9.995845	0.4999864	
4.001	9.995845	0.4999864	
4.002	9.995845	0.4999864	
4.003	9.995845	0.4999864	
4.004	9.995845	0.4999864	
4.005	9.995845	0.4999864	
4.006	9.995845	0.4999864	
4.007	9.995845	0.4999864	
4.008	9.995845	0.4999864	
4.009	9.995845	0.4999864	
4.01	9.995845	0.4999864	
4.011	9.995845	0.4999864	
4.012	9.995845	0.4999864	
4.013	9.995845	0.4999864	
4.014	9.995845	0.4999864	
4.015	9.995845	0.4999864	
4.016	9.995845	0.4999864	
4.017	9.995845	0.4999864	
4.018	9.995845	0.4999864	
4.019	9.995845	0.4999864	
4.02	9.995845	0.4999864	
4.021	9.995845	0.4999864	
4.022	9.995845	0.4999864	
4.023	9.995845	0.4999864	
4.024	9.995845	0.4999864	
4.025	9.995845	0.4999864	
4.026	9.995845	0.4999864	
4.027	9.995845	0.4999864	
4.028	9.995845	0.4999864	
4.029	9.995845	0.4999864	
4.03	9.995845	0.4999864	
4.031	9.995845	0.4999864	
4.032	9.995845	0.4999864	
4.033	9.995845	0.4999864	
4.034	9.995845	0.4999864	
4.035	9.995845	0.4999864	
4.036	9.995845	0.4999864	
4.037	9.995845	0.4999864	
4.038	9.995845	0.4999864	
4.039	9.995845	0.4999864	
4.04	9.995845	0.4999864	
4.041	9.995845	0.4999864	
4.042	9.995845	0.4999864	
4.043	9.995845	0.4999864	
4.044	9.995845	0.4999864	
4.045	9.995845	0.4999864	
4.046	9.995845	0.4999864	
4.047	9.995845	0.4999864	
4.048	9.995845	0.4999864	
4.049	9.995845	0.4999864	
4.05	9.995845	0.4999864	
4.051	9.995845	0.4999864	
4.052	9.995845	0.4999864	
4.053	9.995845	0.4999864	
4.054	9.995845	0.4999864	
4.055	9.995845	0.4999864	
4.056	9.995845	0.4999864	
4.057	9.995845	0.4999864	
4.058	9.995845	0.4999864	
4.059	9.995845	0.4999864	
4.06	9.995845	0.4999864	
4.061	9.995845	0.4999864	
4.062	9.995845	0.4999864	
4.063	9.995845	0.4999864	
4.064	9.995845	0.4999864	
4.065	9.995845	0.4999864	
4.066	9.995845	0.4999864	
4.067	9.995845	0.4999864	
4.068	9.995845	0.4999864	
4.069	9.995845	0.4999864	
4.07	9.995845	0.4999864	
4.071	9.995845	0.4999864	
4.072	9.995845	0.4999864	
4.073	9.995845	0.4999864	
4.074	9.995845	0.4999864	
4.075	9.995845	0.4999864	
4.076	9.995845	0.4999864	
4.077	9.995845	0.4999864	
4.078	9.995845	0.4999864	
4.079	9.995845	0.4999864	
4.08	9.995845	0.4999864	
4.081	9.995845	0.4999864	
4.082	9.995845	0.4999864	
4.083	9.995845	0.4999864	
4.084	9.995845	0.4999864	
4.085	9.995845	0.4999864	
4.086	9.995845	0.4999864	
4.087	9.995845	0.4999864	
4.088	9.995845	0.4999864	
4.089	9.995845	0.4999864	
4.09	9.995845	0.4999864	
4.091	9.995845	0.4999864	
4.092	9.995845	0.4999864	
4.093	9.995845	0.4999864	
4.094	9.995845	0.4999864	
4.095	9.995845	0.4999864	
4.096	9.995845	0.4999864	
4.097	9.995845	0.4999864	
4.098	9.995845	0.4999864	
4.099	9.995845	0.4999864	
4.1	9.995845	0.4999864	
4.101	9.995845	0.4999864	
4.102	9.995845	0.4999864	
4.103	9.995845	0.4999864	
4.104	9.995845	0.4999864	
4.105	9.995845	0.4999864	
4.106	9.995845	0.4999864	
4.107	9.995845	0.4999864	
4.108	9.995845	0.4999864	
4.109	9.995845	0.4999864	
4.11	9.995845	0.4999864	
4.111	9.995845	0.4999864	
4.112	9.995845	0.4999864	
4.113	9.995845	0.4999864	
4.114	9.995845	0.4999864	
4.115	9.995845	0.4999864	
4.116	9.995845	0.4999864	
4.117	9.995845	0.4999864	
4.118	9.995845	0.4999864	
4.119	9.995845	0.4999864	
4.12	9.995845	0.4999864	
4.121	9.995845	0.4999864	
4.122	9.995845	0.4999864	
4.123	9.995845	0.4999864	
4.124	9.995845	0.4999864	
4.125	9.995845	0.4999864	
4.126	9.995845	0.4999864	
4.127	9.995845	0.4999864	
4.128	9.995845	0.4999864	
4.129	9.995845	0.4999864	
4.13	9.995845	0.4999864	
4.131	9.995845	0.4999864	
4.132	9.995845	0.4999864	
4.133	9.995845	0.4999864	
4.134	9.995845	0.4999864	
4.135	9.995845	0.4999864	
