Time	MV	Muscle2	Len	
0	-0.1	0	-0.05	
0.0002	-0.1	0	-0.05	
0.0004	-0.09872524	0	-0.05	
0.0006	-0.09755266	0	-0.05	
0.0008	-0.09647334	0	-0.05	
0.0009999999	-0.09547926	0	-0.05	
0.0012	-0.09456321	0	-0.05	
0.0014	-0.09371868	0	-0.05	
0.0016	-0.09293979	0	-0.05	
0.0018	-0.09222121	0.0002405793	-0.05	
0.002	-0.0915581	0.0002405793	-0.04999999	
0.0022	-0.09094607	0.0002405793	-0.04999999	
0.0024	-0.09038112	0.0002405793	-0.04999998	
0.0026	-0.08818138	0.0002405793	-0.04999997	
0.0028	-0.08618664	0.001367752	-0.04999996	
0.003	-0.08437519	0.001367752	-0.04999991	
0.0032	-0.08272804	0.001367752	-0.04999986	
0.0034	-0.08122853	0.001367752	-0.04999981	
0.0036	-0.07986203	0.001367752	-0.04999976	
0.0038	-0.07861561	0.004339304	-0.04999972	
0.004	-0.07747783	0.004339304	-0.04999956	
0.0042	-0.07643855	0.004339304	-0.0499994	
0.0044	-0.07548872	0.004339304	-0.04999926	
0.0046	-0.07462031	0.004339304	-0.04999912	
0.0048	-0.07382612	0.01628318	-0.04999898	
0.005	-0.07309967	0.01628318	-0.04999838	
0.0052	-0.07243518	0.01628318	-0.04999781	
0.0054	-0.07182742	0.01628318	-0.04999726	
0.0056	-0.07127167	0.01628318	-0.04999672	
0.0058	-0.07076367	0.04315324	-0.04999621	
0.006	-0.07029957	0.04315324	-0.04999467	
0.0062	-0.06987585	0.04315324	-0.04999318	
0.0064	-0.06948935	0.04315324	-0.04999176	
0.0066	-0.06913715	0.04315324	-0.04999039	
0.0068	-0.0688166	0.087715	-0.04998907	
0.007	-0.06852531	0.087715	-0.04998606	
0.0072	-0.06826106	0.087715	-0.04998317	
0.0074	-0.06802183	0.087715	-0.04998039	
0.0076	-0.06780575	0.087715	-0.04997772	
0.0078	-0.06761113	0.1489474	-0.04997515	
0.007999999	-0.0674364	0.1489474	-0.04997029	
0.0082	-0.06728012	0.1489474	-0.04996561	
0.0084	-0.06714095	0.1489474	-0.04996112	
0.008599999	-0.06701767	0.1489474	-0.0499568	
0.0088	-0.06690916	0.2233874	-0.04995266	
0.009	-0.06681436	0.2233874	-0.04994575	
0.0092	-0.06673231	0.2233874	-0.04993912	
0.0094	-0.06666211	0.2233874	-0.04993275	
0.0096	-0.06660294	0.2233874	-0.04992662	
0.0098	-0.06655402	0.3067386	-0.04992074	
0.01	-0.06651465	0.3067386	-0.04991182	
0.0102	-0.06648416	0.3067386	-0.04990325	
0.0104	-0.06646194	0.3067386	-0.04989502	
0.0106	-0.06644743	0.3067386	-0.04988711	
0.0108	-0.06644008	0.3949357	-0.04987951	
0.011	-0.06643941	0.3949357	-0.04986874	
0.0112	-0.06644495	0.3949357	-0.04985841	
0.0114	-0.06645628	0.3949357	-0.04984847	
0.0116	-0.06647301	0.3949357	-0.04983893	
0.0118	-0.06649475	0.4846693	-0.04982976	
0.012	-0.06652118	0.4846693	-0.04981743	
0.0122	-0.06655194	0.4846693	-0.04980559	
0.0124	-0.06658676	0.4846693	-0.0497942	
0.0126	-0.06662536	0.4846693	-0.04978327	
0.0128	-0.06666747	0.5735078	-0.04977277	
0.013	-0.06671284	0.5735078	-0.04975919	
0.0132	-0.06676126	0.5735078	-0.04974614	
0.0134	-0.0668125	0.5735078	-0.04973361	
0.0136	-0.06686636	0.5735078	-0.04972157	
0.0138	-0.06692267	0.6597383	-0.04970999	
0.014	-0.06698125	0.6597383	-0.0496955	
0.0142	-0.06704193	0.6597383	-0.04968157	
0.0144	-0.06710457	0.6597383	-0.04966819	
0.0146	-0.06716902	0.6597383	-0.04965533	
0.0148	-0.06723516	0.7422734	-0.04964298	
0.015	-0.06730284	0.7422734	-0.04962787	
0.0152	-0.06737198	0.7422734	-0.04961335	
0.0154	-0.06744245	0.7422734	-0.04959941	
0.0156	-0.06751414	0.7422734	-0.04958601	
0.0158	-0.06758697	0.8204669	-0.04957314	
0.016	-0.06766086	0.8204669	-0.04955771	
0.0162	-0.0677357	0.8204669	-0.04954288	
0.0164	-0.06781144	0.8204669	-0.04952863	
0.0166	-0.06788799	0.8204669	-0.04951495	
0.0168	-0.0679653	0.894025	-0.04950179	
0.017	-0.06804329	0.894025	-0.04948627	
0.0172	-0.0681219	0.894025	-0.04947136	
0.0174	-0.06820108	0.894025	-0.04945703	
0.0176	-0.06828078	0.894025	-0.04944327	
0.0178	-0.06836095	0.9628603	-0.04943004	
0.018	-0.06844154	0.9628603	-0.04941463	
0.0182	-0.06852252	0.9628603	-0.04939983	
0.0184	-0.06860384	0.9628603	-0.04938561	
0.0186	-0.06868546	0.9628603	-0.04937195	
0.0188	-0.06876735	1.027014	-0.04935882	
0.019	-0.06884947	1.027014	-0.04934369	
0.0192	-0.06893181	1.027014	-0.04932916	
0.0194	-0.06901432	1.027014	-0.04931519	
0.0196	-0.06909698	1.027014	-0.04930178	
0.0198	-0.06917978	1.086664	-0.04928888	
0.02	-0.06926268	1.086664	-0.04927416	
0.0202	-0.06934565	1.086664	-0.04926001	
0.0204	-0.06942869	1.086664	-0.04924642	
0.0206	-0.06951176	1.086664	-0.04923335	
0.0208	-0.06959487	1.141995	-0.04922081	
0.021	-0.06967799	1.141995	-0.04920658	
0.0212	-0.06976109	1.141995	-0.04919292	
0.0214	-0.06984418	1.141995	-0.04917978	
0.0216	-0.06992722	1.141995	-0.04916717	
0.0218	-0.07001022	1.193237	-0.04915505	
0.022	-0.07009316	1.193237	-0.04914139	
0.0222	-0.07017604	1.193237	-0.04912826	
0.0224	-0.07025882	1.193237	-0.04911566	
0.0226	-0.07034151	1.193237	-0.04910355	
0.0228	-0.07042411	1.24063	-0.04909191	
0.023	-0.0705066	1.24063	-0.04907887	
0.0232	-0.07058898	1.24063	-0.04906634	
0.0234	-0.07067122	1.24063	-0.04905431	
0.0236	-0.07075335	1.24063	-0.04904274	
0.0238	-0.07083534	1.284416	-0.04903163	
0.024	-0.07091717	1.284416	-0.04901923	
0.0242	-0.07099887	1.284416	-0.04900733	
0.0244	-0.07108042	1.284416	-0.04899589	
0.0246	-0.07116181	1.284416	-0.0489849	
0.0248	-0.07124303	1.324831	-0.04897434	
0.025	-0.07132409	1.324831	-0.04896261	
0.0252	-0.07140499	1.324831	-0.04895134	
0.0254	-0.07148571	1.324831	-0.04894051	
0.0256	-0.07156625	1.324831	-0.0489301	
0.0258	-0.07164661	1.3621	-0.04892011	
0.026	-0.07172679	1.3621	-0.04890904	
0.0262	-0.0718068	1.3621	-0.04889841	
0.0264	-0.07188661	1.3621	-0.0488882	
0.0266	-0.07196623	1.3621	-0.04887838	
0.0268	-0.07204567	1.396439	-0.04886895	
0.027	-0.07212491	1.396439	-0.04885854	
0.0272	-0.07220396	1.396439	-0.04884854	
0.0274	-0.07228282	1.396439	-0.04883894	
0.0276	-0.07236148	1.396439	-0.04882971	
0.0278	-0.07243994	1.42805	-0.04882084	
0.028	-0.07251821	1.42805	-0.04881109	
0.0282	-0.07259627	1.42805	-0.04880171	
0.0284	-0.07267413	1.42805	-0.0487927	
0.0286	-0.07275178	1.42805	-0.04878404	
0.0288	-0.07282924	1.457119	-0.04877573	
0.029	-0.07290649	1.457119	-0.0487666	
0.0292	-0.07298354	1.457119	-0.04875783	
0.0294	-0.07306039	1.457119	-0.0487494	
0.0296	-0.07313704	1.457119	-0.0487413	
0.0298	-0.07321348	1.483824	-0.04873352	
0.03	-0.07328971	1.483824	-0.048725	
0.0302	-0.07336574	1.483824	-0.04871681	
0.0304	-0.07344156	1.483824	-0.04870895	
0.0306	-0.07351717	1.483824	-0.04870139	
0.0308	-0.07359258	1.508327	-0.04869413	
0.031	-0.07366779	1.508327	-0.04868619	
0.0312	-0.07374278	1.508327	-0.04867856	
0.0314	-0.07381757	1.508327	-0.04867123	
0.0316	-0.07389216	1.508327	-0.04866419	
0.0318	-0.07396654	1.530779	-0.04865743	
0.032	-0.07404071	1.530779	-0.04865005	
0.0322	-0.07411469	1.530779	-0.04864296	
0.0324	-0.07418845	1.530779	-0.04863614	
0.0326	-0.07426201	1.530779	-0.0486296	
0.0328	-0.07433537	1.551321	-0.04862331	
0.033	-0.07440852	1.551321	-0.04861646	
0.0332	-0.07448146	1.551321	-0.04860988	
0.0334	-0.0745542	1.551321	-0.04860356	
0.0336	-0.07462674	1.551321	-0.04859749	
0.0338	-0.07469908	1.570098	-0.04859165	
0.034	-0.07477121	1.570098	-0.04858531	
0.0342	-0.07484314	1.570098	-0.04857922	
0.0344	-0.07491487	1.570098	-0.04857336	
0.0346	-0.0749864	1.570098	-0.04856773	
0.0348	-0.07505772	1.5872	-0.04856233	
0.035	-0.07512885	1.5872	-0.04855647	
0.0352	-0.07519977	1.5872	-0.04855083	
0.0354	-0.07527049	1.5872	-0.04854542	
0.0356	-0.07534102	1.5872	-0.04854022	
0.0358	-0.07541135	1.602767	-0.04853522	
0.036	-0.07548147	1.602767	-0.04852981	
0.0362	-0.07555141	1.602767	-0.04852461	
0.0364	-0.07562114	1.602767	-0.04851962	
0.0366	-0.07569067	1.602767	-0.04851482	
0.0368	-0.07576001	1.61689	-0.04851021	
0.037	-0.07582915	1.61689	-0.04850522	
0.0372	-0.07589809	1.61689	-0.04850044	
0.0374	-0.07596684	1.61689	-0.04849584	
0.0376	-0.07603539	1.61689	-0.04849142	
0.0378	-0.07610375	1.629663	-0.04848717	
0.038	-0.0761719	1.629663	-0.04848259	
0.0382	-0.07623988	1.629663	-0.04847819	
0.0384	-0.07630765	1.629663	-0.04847396	
0.0386	-0.07637525	1.629663	-0.04846989	
0.0388	-0.07644264	1.641174	-0.04846599	
0.039	-0.07650983	1.641174	-0.04846179	
0.0392	-0.07657684	1.641174	-0.04845775	
0.0394	-0.07664366	1.641174	-0.04845387	
0.0396	-0.07671029	1.641174	-0.04845015	
0.0398	-0.07677673	1.651507	-0.04844656	
0.04	-0.07684297	1.651507	-0.04844272	
0.0402	-0.07690904	1.651507	-0.04843902	
0.0404	-0.07697491	1.651507	-0.04843547	
0.0406	-0.07545715	1.651507	-0.04843206	
0.0408	-0.07407823	1.660738	-0.04842879	
0.041	-0.07282424	1.660738	-0.04842527	
0.0412	-0.07168292	1.660738	-0.0484219	
0.0414	-0.07064342	1.660738	-0.04841866	
0.0416	-0.06969615	1.660738	-0.04841555	
0.0418	-0.0688326	1.674072	-0.04841256	
0.042	-0.06804515	1.674072	-0.04840916	
0.0422	-0.06732703	1.674072	-0.0484059	
0.0424	-0.06667215	1.674072	-0.04840276	
0.0426	-0.06607509	1.674072	-0.04839975	
0.0428	-0.06553091	1.72041	-0.04839686	
0.043	-0.06503522	1.72041	-0.04839226	
0.0432	-0.064584	1.72041	-0.04838784	
0.0434	-0.06417366	1.72041	-0.04838359	
0.0436	-0.06380091	1.72041	-0.04837952	
0.0438	-0.06346279	1.807104	-0.0483756	
0.044	-0.06315657	1.807104	-0.04836844	
0.0442	-0.0628798	1.807104	-0.04836155	
0.0444	-0.06263022	1.807104	-0.04835494	
0.0446	-0.06240577	1.807104	-0.04834858	
0.0448	-0.06220457	1.932049	-0.04834248	
0.045	-0.06202489	1.932049	-0.04833172	
0.0452	-0.06186514	1.932049	-0.04832137	
0.0454	-0.06172387	1.932049	-0.04831143	
0.0456	-0.06159972	1.932049	-0.04830189	
0.0458	-0.06149147	2.086999	-0.04829271	
0.046	-0.06139797	2.086999	-0.04827783	
0.0462	-0.06131818	2.086999	-0.04826352	
0.0464	-0.06125111	2.086999	-0.04824977	
0.0466	-0.06119588	2.086999	-0.04823657	
0.0468	-0.06115165	2.261721	-0.04822388	
0.047	-0.06111765	2.261721	-0.04820484	
0.0472	-0.06109316	2.261721	-0.04818655	
0.0474	-0.06107752	2.261721	-0.04816897	
0.0476	-0.06107013	2.261721	-0.04815208	
0.0478	-0.0610704	2.44662	-0.04813586	
0.048	-0.06107781	2.44662	-0.04811302	
0.0482	-0.06109187	2.44662	-0.04809108	
0.0484	-0.0611121	2.44662	-0.04806999	
0.0486	-0.0611381	2.44662	-0.04804974	
0.0488	-0.06116946	2.634027	-0.04803027	
0.049	-0.0612058	2.634027	-0.04800422	
0.0492	-0.06124679	2.634027	-0.0479792	
0.0494	-0.06129211	2.634027	-0.04795516	
0.0496	-0.06134144	2.634027	-0.04793205	
0.0498	-0.06139452	2.818282	-0.04790986	
0.05	-0.06145108	2.818282	-0.04788131	
0.0502	-0.06151088	2.818282	-0.04785388	
0.0504	-0.06157368	2.818282	-0.04782752	
0.0506	-0.06163929	2.818282	-0.0478022	
