Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
0	0	0	0	0	1.501089E-05	0	0.05	
0.0004	0	0	0	0	0.0003465288	0	0.05000053	
0.0008	0	0	0	0	0.0008208455	0	0.05000134	
0.0012	0	0	0	0	0.001368723	0	0.05000231	
0.0016	0.008479998	0	0	0	0.001954608	0	0.05000335	
0.002	0.008479998	0	0.008479998	0	0.002552334	0	0.05000442	
0.0024	0.008479998	0	0.008479998	0	0.003158439	0	0.0500055	
0.0028	0.008479998	0	0.008479998	0	0.003761435	0	0.05000657	
0.0032	0.008479998	0	0.008479998	0	0.004353874	0	0.05000762	
0.0036	0.0167904	0	0.008479998	0	0.004937641	0	0.05000866	
0.004	0.0167904	0	0.0167904	0	0.005509027	0	0.05000968	
0.0044	0.0167904	0	0.0167904	0	0.006081771	0	0.05001069	
0.0048	0.0167904	0	0.0167904	0	0.006636564	0	0.05001166	
0.0052	0.0167904	0	0.0167904	0	0.007184622	0	0.05001263	
0.0056	0.02493459	0	0.0167904	0	0.007718507	0	0.05001357	
0.006	0.02493459	0	0.02493459	0	0.008243837	0	0.05001449	
0.0064	0.02493459	0	0.02493459	0	0.008759828	0	0.05001539	
0.0068	0.02493459	0	0.02493459	0	0.009267299	0	0.05001627	
0.0072	0.02493459	0	0.02493459	0	0.009766266	0	0.05001713	
0.0076	0.0329159	0	0.02493459	0	0.01025302	0	0.05001797	
0.007999999	0.0329159	0	0.0329159	0	0.01073131	0	0.0500188	
0.0084	0.0329159	0	0.0329159	0	0.01120822	0	0.05001961	
0.0088	0.0329159	0	0.0329159	0	0.01167482	0	0.0500204	
0.0092	0.0329159	0	0.0329159	0	0.01213299	0	0.05002118	
0.0096	0.04073758	0	0.0329159	0	0.0125809	0	0.05002194	
0.01	0.04073758	0	0.04073758	0	0.0130167	0	0.05002268	
0.0104	0.04073758	0	0.04073758	0	0.01345347	0	0.05002341	
0.0108	0.04073758	0	0.04073758	0	0.01388188	0	0.05002412	
0.0112	0.04073758	0	0.04073758	0	0.01429821	0	0.05002481	
0.0116	0.04840282	0	0.04073758	0	0.01470995	0	0.05002549	
0.012	0.04840282	0	0.04840282	0	0.01511338	0	0.05002616	
0.0124	0.04840282	0	0.04840282	0	0.01551827	0	0.05002681	
0.0128	0.04840282	0	0.04840282	0	0.01591299	0	0.05002745	
0.0132	0.04840282	0	0.04840282	0	0.0163013	0	0.05002807	
0.0136	0.05591476	0	0.04840282	0	0.01667948	0	0.05002868	
0.014	0.05591476	0	0.05591476	0	0.017055	0	0.05002929	
0.0144	0.05591476	0	0.05591476	0	0.01742875	0	0.05002987	
0.0148	0.05591476	0	0.05591476	0	0.01779426	0	0.05003044	
0.0152	0.05591476	0	0.05591476	0	0.01815713	0	0.05003101	
0.0156	0.06327647	0	0.05591476	0	0.01850992	0	0.05003155	
0.016	0.06327647	0	0.06327647	0	0.01885637	0	0.05003209	
0.0164	0.06327647	0	0.06327647	0	0.01920902	0	0.05003262	
0.0168	0.06327647	0	0.06327647	0	0.01954974	0	0.05003313	
0.0172	0.06327647	0	0.06327647	0	0.01988786	0	0.05003364	
0.0176	0.07049094	0	0.06327647	0	0.02021968	0	0.05003414	
0.018	0.07049094	0	0.07049094	0	0.02054148	0	0.05003461	
0.0184	0.07049094	0	0.07049094	0	0.02086997	0	0.05003509	
0.0188	0.07049094	0	0.07049094	0	0.02119031	0	0.05003554	
0.0192	0.07049094	0	0.07049094	0	0.02150437	0	0.05003599	
0.0196	0.07756113	0	0.07049094	0	0.02181402	0	0.05003643	
0.02	0.07756113	0	0.07756113	0	0.02211743	0	0.05003686	
0.0204	0.07756113	0	0.07756113	0	0.02242803	0	0.05003728	
0.0208	0.07756113	0	0.07756113	0	0.02273051	0	0.05003769	
0.0212	0.07756113	0	0.07756113	0	0.02303046	0	0.0500381	
0.0216	0.0844899	0	0.07756113	0	0.02332418	0	0.05003849	
0.022	0.0844899	0	0.0844899	0	0.02360981	0	0.05003887	
0.0224	0.0844899	0	0.0844899	0	0.02390315	0	0.05003925	
0.0228	0.0844899	0	0.0844899	0	0.02419584	0	0.05003963	
0.0232	0.0844899	0	0.0844899	0	0.02447858	0	0.05003998	
0.0236	0.0912801	0	0.0844899	0	0.02475698	0	0.05004033	
0.024	0.0912801	0	0.0912801	0	0.0250329	0	0.05004068	
0.0244	0.0912801	0	0.0912801	0	0.02531517	0	0.05004102	
0.0248	0.0912801	0	0.0912801	0	0.02559495	0	0.05004136	
0.0252	0.0912801	0	0.0912801	0	0.02586666	0	0.05004168	
0.0256	0.09793449	0	0.0912801	0	0.0261359	0	0.05004199	
