Time	Rotation	
0	0	
0.0004	0	
0.0008	0	
0.0012	-4.235165E-22	
0.0016	-2.138387E-13	
0.002	-2.138387E-13	
0.0024	-2.138387E-13	
0.0028	2.004181E-15	
0.0032	2.004181E-15	
0.0036	2.00418E-15	
0.004	-2.145204E-13	
0.0044	-2.145204E-13	
0.0048	-2.145204E-13	
0.0052	-4.312413E-13	
0.0056	-2.145105E-13	
0.006	-2.145105E-13	
0.0064	2.216803E-15	
0.0068	2.216803E-15	
0.0072	2.216802E-15	
0.0076	2.216801E-15	
0.007999999	-2.1445E-13	
0.0084	-4.310868E-13	
0.0088	-6.476921E-13	
0.0092	-8.642635E-13	
0.0096	-8.642635E-13	
0.01	-8.642635E-13	
0.0104	-8.642635E-13	
0.0108	-8.642635E-13	
0.0112	-8.642635E-13	
0.0116	-8.642635E-13	
0.012	-8.642635E-13	
0.0124	-1.080664E-12	
0.0128	-1.080664E-12	
0.0132	-1.080664E-12	
0.0136	-1.080664E-12	
0.014	-1.080664E-12	
0.0144	-1.080664E-12	
0.0148	-1.080664E-12	
0.0152	-1.080664E-12	
0.0156	-1.080664E-12	
0.016	-1.080664E-12	
0.0164	-1.080664E-12	
0.0168	-1.296866E-12	
0.0172	-1.296866E-12	
0.0176	-1.296866E-12	
0.018	-1.296866E-12	
0.0184	-1.296866E-12	
0.0188	-1.296866E-12	
0.0192	-1.296866E-12	
0.0196	-1.296866E-12	
0.02	-1.296866E-12	
0.0204	-1.512926E-12	
0.0208	-1.512926E-12	
0.0212	-1.512926E-12	
0.0216	-1.512926E-12	
0.022	-1.512926E-12	
0.0224	-1.728908E-12	
0.0228	-1.51295E-12	
0.0232	-1.728884E-12	
0.0236	-1.728884E-12	
0.024	-1.94478E-12	
0.0244	-1.94478E-12	
0.0248	-1.94478E-12	
0.0252	-1.728934E-12	
0.0256	-1.728934E-12	
0.026	-1.513123E-12	
0.0264	-1.513123E-12	
0.0268	-1.513123E-12	
0.0272	-1.513123E-12	
0.0276	-1.728876E-12	
0.028	-1.728876E-12	
0.0284	-1.728876E-12	
0.0288	-1.728876E-12	
0.0292	-1.728876E-12	
0.0296	-1.728876E-12	
0.03	-1.944556E-12	
0.0304	-1.944556E-12	
0.0308	-2.160204E-12	
0.0312	-2.160204E-12	
0.0316	-2.160204E-12	
0.032	-2.160204E-12	
0.0324	-2.375801E-12	
0.0328	-2.375801E-12	
0.0332	-2.591368E-12	
0.0336	-2.37582E-12	
0.034	-2.37582E-12	
0.0344	-2.37582E-12	
0.0348	-2.37582E-12	
0.0352	-2.37582E-12	
0.0356	-2.37582E-12	
0.036	-2.37582E-12	
0.0364	-2.37582E-12	
0.0368	-2.37582E-12	
0.0372	-2.591276E-12	
0.0376	-2.806713E-12	
0.038	-3.02213E-12	
0.0384	-3.02213E-12	
0.0388	-3.02213E-12	
0.0392	-3.02213E-12	
0.0396	-3.02213E-12	
0.04	-3.237493E-12	
0.0404	-3.237493E-12	
0.0408	-3.022157E-12	
0.0412	-3.022157E-12	
0.0416	-3.237466E-12	
0.042	-3.237466E-12	
0.0424	-3.237466E-12	
0.0428	-3.452739E-12	
0.0432	-3.452739E-12	
0.0436	-3.667985E-12	
0.044	-3.667985E-12	
0.0444	-3.667985E-12	
0.0448	-3.667985E-12	
0.0452	-3.667985E-12	
0.0456	-3.667985E-12	
0.046	-3.667985E-12	
0.0464	-3.667985E-12	
0.0468	-3.667985E-12	
0.0472	-3.883155E-12	
0.0476	-4.098308E-12	
0.048	-4.098308E-12	
0.0484	-4.313435E-12	
0.0488	-4.313435E-12	
0.0492	-4.313435E-12	
0.0496	-4.528529E-12	
0.05	-4.528529E-12	
0.0504	-4.528529E-12	
0.0508	-4.528529E-12	
0.0512	-4.528529E-12	
0.0516	-4.528529E-12	
0.052	-4.528529E-12	
0.0524	-4.528529E-12	
0.0528	-4.528529E-12	
0.0532	-4.528529E-12	
0.0536	-4.528529E-12	
0.054	-4.528529E-12	
0.0544	-4.528529E-12	
0.0548	-4.528529E-12	
0.0552	-4.528529E-12	
0.0556	-4.528529E-12	
0.056	-4.743504E-12	
0.0564	-4.743504E-12	
0.0568	-4.743504E-12	
0.0572	-4.743504E-12	
0.0576	-4.958444E-12	
0.058	-4.958444E-12	
0.0584	-4.958444E-12	
0.0588	-4.958444E-12	
0.0592	-4.743542E-12	
0.0596	-4.743542E-12	
0.06	-4.743542E-12	
0.0604	-4.743542E-12	
0.0608	-4.743542E-12	
0.0612	-4.743542E-12	
0.0616	-4.743542E-12	
0.062	-4.743542E-12	
0.0624	-4.958383E-12	
0.0628	-5.173208E-12	
0.0632	-5.173208E-12	
0.0636	-5.173208E-12	
0.064	-5.173208E-12	
0.06439999	-5.387995E-12	
0.0648	-5.387995E-12	
0.0652	-5.602759E-12	
0.0656	-5.602759E-12	
0.066	-5.817499E-12	
0.0664	-6.032223E-12	
0.0668	-6.032223E-12	
0.0672	-6.032223E-12	
0.0676	-6.032223E-12	
0.068	-6.032223E-12	
0.0684	-6.032223E-12	
0.06879999	-6.032223E-12	
0.0692	-6.246889E-12	
0.0696	-6.246889E-12	
0.07	-6.246889E-12	
0.0704	-6.246889E-12	
0.0708	-6.246889E-12	
0.0712	-6.246889E-12	
0.0716	-6.246889E-12	
0.072	-6.246889E-12	
0.0724	-6.032285E-12	
0.0728	-6.032285E-12	
0.07319999	-6.032285E-12	
0.0736	-6.246861E-12	
0.074	-6.461421E-12	
0.0744	-6.461421E-12	
0.0748	-6.461421E-12	
0.0752	-6.461421E-12	
0.0756	-6.675944E-12	
0.076	-6.890452E-12	
0.0764	-6.890452E-12	
0.0768	-6.890452E-12	
0.0772	-7.104928E-12	
0.07759999	-7.104928E-12	
0.078	-7.104928E-12	
0.0784	-7.104928E-12	
0.0788	-7.319367E-12	
0.0792	-7.319367E-12	
0.0796	-7.319367E-12	
0.08	-7.319367E-12	
0.0804	-7.319367E-12	
0.0808	-7.533764E-12	
0.0812	-7.748147E-12	
0.0816	-7.748147E-12	
0.08199999	-7.748147E-12	
0.0824	-7.748147E-12	
0.0828	-7.748147E-12	
0.0832	-7.748147E-12	
0.0836	-7.748147E-12	
0.084	-7.962472E-12	
0.0844	-8.176782E-12	
0.0848	-8.176782E-12	
0.0852	-8.176782E-12	
0.0856	-8.176782E-12	
0.086	-8.176782E-12	
0.08639999	-8.391048E-12	
0.08679999	-8.391048E-12	
0.0872	-8.391048E-12	
0.0876	-8.605286E-12	
0.088	-8.605286E-12	
0.0884	-8.819501E-12	
0.0888	-8.819501E-12	
0.0892	-9.033693E-12	
0.0896	-9.033693E-12	
0.09	-9.033693E-12	
0.0904	-9.033693E-12	
0.09079999	-9.247848E-12	
0.09119999	-9.247848E-12	
0.0916	-9.461981E-12	
0.092	-9.461981E-12	
0.0924	-9.461981E-12	
0.0928	-9.461981E-12	
0.0932	-9.461981E-12	
0.0936	-9.461981E-12	
0.094	-9.247898E-12	
0.0944	-9.247898E-12	
0.0948	-9.247898E-12	
0.09519999	-9.247898E-12	
0.09559999	-9.247898E-12	
0.096	-9.247898E-12	
0.0964	-9.247898E-12	
0.0968	-9.247898E-12	
0.0972	-9.247898E-12	
0.0976	-9.461911E-12	
0.098	-9.461911E-12	
0.0984	-9.461911E-12	
0.0988	-9.461911E-12	
0.0992	-9.675889E-12	
0.09959999	-9.675889E-12	
0.09999999	-9.889844E-12	
0.1004	-1.010378E-11	
