Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0	12396.7	0	0	0	9999.98	
0.0004	12396.7	0	0	0	9999.961	
0.0008	12396.7	0	0	0	9999.941	
0.0012	12396.7	0	0	0	9999.922	
0.0016	12396.7	0	0	0	9999.902	
0.002	12396.7	0	0	0	9999.883	
0.0024	12396.7	0	0	0	9999.863	
0.0028	12396.7	0	0	0	9999.844	
0.0032	12396.7	0	0	0	9999.824	
0.0036	12396.7	0	0	0.02	9999.805	
0.004	12396.7	0	0	0.02	9999.785	
0.0044	12396.7	0	0	0.02	9999.766	
0.0048	12396.7	0	0	0.02	9999.746	
0.0052	12396.7	0	0	0.02	9999.727	
0.0056	12396.7	0	0.0004	0.03959999	9999.707	
0.006	12396.7	2E-06	0.0004	0.03959999	9999.688	
0.0064	12396.7	2E-06	0.0004	0.03959999	9999.67	
0.0068	12396.7	2E-06	0.0004	0.03959999	9999.652	
0.0072	12396.7	2E-06	0.0004	0.03959999	9999.635	
0.0076	12396.7	2E-06	0.001184	0.05880799	9999.617	
0.007999999	12396.7	5.919998E-06	0.001184	0.05880799	9999.6	
0.0084	12396.7	5.919998E-06	0.001184	0.05880799	9999.586	
0.0088	12396.7	5.919998E-06	0.001184	0.05880799	9999.572	
0.0092	12396.7	5.919998E-06	0.001184	0.05880799	9999.559	
0.0096	12396.7	5.919998E-06	0.002336479	0.07763183	9999.545	
0.01	12396.7	1.16824E-05	0.002336479	0.07763183	9999.531	
0.0104	12396.7	1.16824E-05	0.002336479	0.07763183	9999.523	
0.0108	12396.7	1.16824E-05	0.002336479	0.07763183	9999.516	
0.0112	12396.7	1.16824E-05	0.002336479	0.07763183	9999.508	
0.0116	12396.7	1.16824E-05	0.003842386	0.09607919	9999.5	
0.012	12396.69	1.921193E-05	0.003842386	0.09607919	9999.492	
0.0124	12396.69	1.921193E-05	0.003842386	0.09607919	9999.492	
0.0128	12396.69	1.921193E-05	0.003842386	0.09607919	9999.492	
