Time	OdorSensor	Mouth	Eat	Food_Near	Energy	
0	8888.888	0	0	0	9999.98	
0.0004	8888.888	0	0	0	9999.961	
0.0008	8888.888	0	0	0	9999.941	
0.0012	8888.888	0	0	0	9999.922	
0.0016	8888.888	0	0	0	9999.902	
0.002	8888.888	0	0	0	9999.883	
0.0024	8888.888	0	0	0	9999.863	
0.0028	8888.888	0	0	0	9999.844	
0.0032	8888.888	0	0	0	9999.824	
0.0036	8888.888	0	0	0.02	9999.805	
0.004	8888.888	0	0	0.02	9999.785	
0.0044	8888.888	0	0	0.02	9999.766	
0.0048	8888.888	0	0	0.02	9999.746	
0.0052	8888.888	0	0	0.02	9999.727	
0.0056	8888.888	0	0.0004	0.03959999	9999.707	
0.006	8888.888	2E-06	0.0004	0.03959999	9999.688	
0.0064	8888.888	2E-06	0.0004	0.03959999	9999.67	
0.0068	8888.888	2E-06	0.0004	0.03959999	9999.652	
0.0072	8888.888	2E-06	0.0004	0.03959999	9999.635	
0.0076	8888.888	2E-06	0.001184	0.05880799	9999.617	
0.007999999	8888.888	5.919998E-06	0.001184	0.05880799	9999.6	
0.0084	8888.888	5.919998E-06	0.001184	0.05880799	9999.586	
0.0088	8888.888	5.919998E-06	0.001184	0.05880799	9999.572	
0.0092	8888.888	5.919998E-06	0.001184	0.05880799	9999.559	
0.0096	8888.888	5.919998E-06	0.002336479	0.07763183	9999.545	
0.01	8888.888	1.16824E-05	0.002336479	0.07763183	9999.531	
0.0104	8888.888	1.16824E-05	0.002336479	0.07763183	9999.523	
0.0108	8888.888	1.16824E-05	0.002336479	0.07763183	9999.516	
0.0112	8888.886	1.16824E-05	0.002336479	0.07763183	9999.508	
0.0116	8888.886	1.16824E-05	0.003842386	0.09607919	9999.5	
0.012	8888.884	1.921193E-05	0.003842386	0.09607919	9999.492	
0.0124	8888.884	1.921193E-05	0.003842386	0.09607919	9999.492	
0.0128	8888.884	1.921193E-05	0.003842386	0.09607919	9999.492	
0.0132	8888.884	1.921193E-05	0.003842386	0.09607919	9999.492	
0.0136	8888.884	1.921193E-05	0.005687122	0.1141576	9999.492	
0.014	8888.884	2.843561E-05	0.005687122	0.1141576	9999.492	
0.0144	8888.884	2.843561E-05	0.005687122	0.1141576	9999.501	
0.0148	8888.883	2.843561E-05	0.005687122	0.1141576	9999.51	
0.0152	8888.883	2.843561E-05	0.005687122	0.1141576	9999.519	
0.0156	8888.883	2.843561E-05	0.007856532	0.1318744	9999.527	
0.016	8888.881	3.928266E-05	0.007856532	0.1318744	9999.536	
0.0164	8888.881	3.928266E-05	0.007856532	0.1318744	9999.556	
0.0168	8888.881	3.928266E-05	0.007856532	0.1318744	9999.575	
0.0172	8888.881	3.928266E-05	0.007856532	0.1318744	9999.595	
0.0176	8888.88	3.928266E-05	0.01033689	0.1492369	9999.614	
0.018	8888.878	5.168445E-05	0.01033689	0.1492369	9999.634	
0.0184	8888.878	5.168445E-05	0.01033689	0.1492369	9999.666	
0.0188	8888.878	5.168445E-05	0.01033689	0.1492369	9999.698	
0.0192	8888.877	5.168445E-05	0.01033689	0.1492369	9999.73	
0.0196	8888.875	5.168445E-05	0.01311489	0.1662522	9999.763	
0.02	8888.874	6.557446E-05	0.01311489	0.1662522	9999.795	
0.0204	8888.872	6.557446E-05	0.01311489	0.1662522	9999.841	
0.0208	8888.872	6.557446E-05	0.01311489	0.1662522	9999.887	
0.0212	8888.868	6.557446E-05	0.01311489	0.1662522	9999.933	
0.0216	8888.866	6.557446E-05	0.01617764	0.1829272	9999.979	
0.022	8888.862	8.088819E-05	0.01617764	0.1829272	10000.02	
0.0224	8888.86	8.088819E-05	0.01617764	0.1829272	10000.09	
0.0228	8888.855	8.088819E-05	0.01617764	0.1829272	10000.15	
0.0232	8888.854	8.088819E-05	0.01617764	0.1829272	10000.21	
0.0236	8888.853	8.088819E-05	0.01951263	0.1992686	10000.27	
0.024	8888.85	9.756313E-05	0.01951263	0.1992686	10000.33	
0.0244	8888.846	9.756313E-05	0.01951263	0.1992686	10000.41	
0.0248	8888.84	9.756313E-05	0.01951263	0.1992686	10000.49	
0.0252	8888.835	9.756313E-05	0.01951263	0.1992686	10000.57	
0.0256	8888.832	9.756313E-05	0.02310775	0.2152833	10000.64	
0.026	8888.83	0.0001155387	0.02310775	0.2152833	10000.72	
0.0264	8888.824	0.0001155387	0.02310775	0.2152833	10000.82	
0.0268	8888.821	0.0001155387	0.02310775	0.2152833	10000.91	
0.0272	8888.814	0.0001155387	0.02310775	0.2152833	10001.01	
0.0276	8888.809	0.0001155387	0.02695126	0.2309776	10001.11	
0.028	8888.802	0.0001347563	0.02695126	0.2309776	10001.2	
0.0284	8888.796	0.0001347563	0.02695126	0.2309776	10001.32	
0.0288	8888.787	0.0001347563	0.02695126	0.2309776	10001.43	
0.0292	8888.781	0.0001347563	0.02695126	0.2309776	10001.55	
0.0296	8888.773	0.0001347563	0.03103178	0.246358	10001.66	
0.03	8888.768	0.0001551589	0.03103178	0.246358	10001.78	
0.0304	8888.759	0.0001551589	0.03103178	0.246358	10001.91	
