Time	A5	A6	A4	A1	A3	A2	PointerY	PointerZ	
0	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.575	0	
0.001	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.5749515	-8.94251E-09	
0.002	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.5748857	-1.215234E-08	
0.003	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.5748082	-1.243174E-08	
0.004	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.5747204	-8.916317E-09	
0.005	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.574623	-7.682502E-09	
0.006	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.5745167	-5.520314E-09	
0.007	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.5744014	-6.24791E-09	
0.008	-0.07	-0.07	-0.07	-0.07	-0.07	-0.07	0.5742776	-6.969685E-09	
0.009000001	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.5741455	-7.540121E-09	
0.01	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.5740052	-3.669629E-09	
0.011	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.573857	-4.635877E-09	
0.012	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.5737011	-5.561378E-09	
0.013	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.5735376	-6.451955E-09	
0.014	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.5733668	-7.307608E-09	
0.015	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.573189	-8.032294E-09	
0.016	-0.07	-0.06999999	-0.07	-0.06999999	-0.07	-0.07	0.5730044	-8.803545E-09	
0.017	-0.06999999	-0.06999999	-0.07	-0.06999999	-0.07	-0.06999999	0.572813	-9.694122E-09	
0.018	-0.06999999	-0.06999999	-0.07	-0.06999999	-0.07	-0.06999999	0.5726152	-1.064291E-08	
0.019	-0.06999999	-0.06999998	-0.07	-0.06999998	-0.07	-0.06999999	0.5724112	-1.161789E-08	
0.02	-0.06999999	-0.06999998	-0.07	-0.06999998	-0.07	-0.06999999	0.5722012	-1.249391E-08	
0.021	-0.06999999	-0.06999997	-0.07	-0.06999997	-0.07	-0.06999999	0.5719854	-1.013382E-08	
0.022	-0.06999999	-0.06999997	-0.07	-0.06999997	-0.07	-0.06999999	0.5717642	-1.103313E-08	
0.023	-0.06999999	-0.06999997	-0.07	-0.06999997	-0.07	-0.06999999	0.5715376	-1.179565E-08	
0.024	-0.06999999	-0.06999997	-0.07	-0.06999997	-0.07	-0.06999999	0.5713059	-1.258145E-08	
0.025	-0.06999999	-0.06999996	-0.07	-0.06999996	-0.07	-0.06999999	0.5710692	-1.336144E-08	
0.026	-0.06999999	-0.06999996	-0.07	-0.06999996	-0.07	-0.06999999	0.570828	-9.432739E-09	
0.027	-0.06999999	-0.06999996	-0.07	-0.06999996	-0.07	-0.06999999	0.5705823	-1.023018E-08	
0.028	-0.06999999	-0.06999996	-0.07	-0.06999996	-0.07	-0.06999999	0.5703325	-1.084427E-08	
