Time	Length	Position	Length2	2	
0	0	-0.5	5.5	0	
0.001	0	-0.49998	5.499978	0	
0.002	0	-0.49994	5.499936	0	
0.003	0	-0.4998801	5.499874	0	
0.004	0	-0.4998002	5.499791	0	
0.005	0	-0.4997004	5.499689	0	
0.006	0	-0.4995806	5.499567	0	
0.007	0	-0.4994409	5.499426	0	
0.008	0	-0.4992813	5.499265	0	
0.009000001	0	-0.4991018	5.499084	0	
0.01	0	-0.4989024	5.498883	0	
0.011	0	-0.4986831	5.498662	0	
0.012	0	-0.498444	5.498423	0	
0.013	0	-0.498185	5.498163	0	
0.014	0	-0.4979061	5.497883	0	
0.015	0	-0.4976075	5.497584	0	
0.016	0	-0.497289	5.497265	0	
0.017	0	-0.4969508	5.496926	0	
0.018	0	-0.4965927	5.496568	0	
0.019	0	-0.4962149	5.49619	0	
0.02	0	-0.4958173	5.495791	0	
0.021	0	-0.4954	5.495374	0	
0.022	0	-0.4949629	5.494936	0	
0.023	0	-0.4945062	5.494479	0	
0.024	0	-0.4940297	5.494002	0	
0.025	0	-0.4935335	5.493506	0	
0.026	0	-0.4930176	5.49299	0	
0.027	0	-0.4924822	5.492455	0	
0.028	0	-0.491927	5.491899	0	
0.029	0	-0.4913523	5.491324	0	
0.03	0	-0.4907579	5.49073	0	
0.031	0	-0.4901439	5.490116	0	
0.032	0	-0.4895104	5.489483	0	
0.033	0	-0.4888573	5.48883	0	
0.034	0	-0.4881846	5.488157	0	
0.035	0	-0.4874924	5.487465	0	
0.036	0	-0.4867808	5.486753	0	
0.037	0	-0.4860496	5.486022	0	
0.038	0	-0.4852989	5.485271	0	
0.039	0	-0.4845288	5.484501	0	
0.04	0	-0.4837393	5.483712	0	
0.041	0	-0.4829303	5.482903	0	
0.042	0	-0.4821019	5.482074	0	
0.043	0	-0.4812541	5.481226	0	
0.044	0	-0.4803869	5.480359	0	
0.045	0	-0.4795004	5.479473	0	
0.046	0	-0.4785946	5.478567	0	
0.047	0	-0.4776694	5.477642	0	
0.048	0	-0.476725	5.476697	0	
0.049	0	-0.4757613	5.475734	0	
0.05	0	-0.4747783	5.474751	0	
0.051	0	-0.4737761	5.473748	0	
0.052	0	-0.4727547	5.472727	0	
0.053	0	-0.471714	5.471686	0	
0.054	0	-0.4706542	5.470627	0	
0.055	0	-0.4695753	5.469548	0	
0.056	0	-0.4684772	5.46845	0	
0.057	0	-0.46736	5.467332	0	
0.058	0	-0.4662237	5.466196	0	
0.059	0	-0.4650683	5.465041	0	
0.06	0	-0.4638939	5.463866	0	
0.061	0	-0.4627004	5.462673	0	
0.062	0	-0.4614879	5.46146	0	
0.063	0	-0.4602565	5.460229	0	
0.064	0	-0.4590061	5.458979	0	
0.06500001	0	-0.4577367	5.457709	0	
0.066	0	-0.4564484	5.456421	0	
0.067	0	-0.4551412	5.455113	0	
0.068	0	-0.4538152	5.453787	0	
0.06900001	0	-0.4524703	5.452443	0	
0.07	0	-0.4511066	5.451079	0	
0.071	0	-0.449724	5.449697	0	
0.072	0	-0.4483227	5.448295	0	
0.07300001	0	-0.4469027	5.446875	0	
0.074	0	-0.4454638	5.445436	0	
0.075	0	-0.4440063	5.443979	0	
0.07600001	0	-0.4425301	5.442502	0	
0.07700001	0	-0.4410352	5.441008	0	
0.078	0	-0.4395217	5.439494	0	
0.079	0	-0.4379896	5.437962	0	
0.08000001	0	-0.4364389	5.436411	0	
0.081	0	-0.4348696	5.434842	0	
0.082	0	-0.4332818	5.433254	0	
0.083	0	-0.4316755	5.431648	0	
0.08400001	0	-0.4300507	5.430023	0	
0.085	0	-0.4284074	5.42838	0	
0.086	0	-0.4267457	5.426718	0	
0.087	0	-0.4250655	5.425038	0	
0.08800001	0	-0.423367	5.423339	0	
0.089	0	-0.4216502	5.421622	0	
0.09	0	-0.419915	5.419888	0	
0.09100001	0	-0.4181615	5.418134	0	
0.09200001	0	-0.4163897	5.416362	0	
0.093	0	-0.4145997	5.414572	0	
0.094	0	-0.4127914	5.412764	0	
0.09500001	0	-0.4109649	5.410937	0	
0.096	0	-0.4091203	5.409093	0	
0.097	0	-0.4072576	5.40723	0	
0.098	0	-0.4053767	5.405349	0	
0.09900001	0	-0.4034777	5.40345	0	
0.1	0	-0.4015607	5.401533	0	
0.101	0	-0.3996257	5.399598	0	
0.102	0	-0.3976727	5.397645	0	
0.103	0	-0.3957016	5.395674	0	
0.104	0	-0.3937127	5.393685	0	
0.105	0	-0.3917058	5.391678	0	
0.106	0	-0.3896811	5.389653	0	
0.107	0	-0.3876385	5.387611	0	
0.108	0	-0.385578	5.38555	0	
0.109	0	-0.3834998	5.383472	0	
0.11	0	-0.3814038	5.381376	0	
0.111	0	-0.3792901	5.379262	0	
0.112	0	-0.3771586	5.377131	0	
0.113	0	-0.3750095	5.374982	0	
0.114	0	-0.3728428	5.372815	0	
0.115	0	-0.3706584	5.370631	0	
0.116	0	-0.3684565	5.368429	0	
0.117	0	-0.366237	5.36621	0	
0.118	0	-0.364	5.363972	0	
0.119	0	-0.3617454	5.361718	0	
0.12	0	-0.3594735	5.359446	0	
0.121	0	-0.3571841	5.357156	0	
0.122	0	-0.3548773	5.35485	0	
0.123	0	-0.3525531	5.352525	0	
0.124	0	-0.3502116	5.350184	0	
0.125	0	-0.3478528	5.347825	0	
0.126	0	-0.3454768	5.345449	0	
0.127	0	-0.3430835	5.343056	0	
0.128	0	-0.340673	5.340645	0	
0.129	0	-0.3382453	5.338218	0	
0.13	0	-0.3358005	5.335773	0	
0.131	0	-0.3333386	5.333311	0	
0.132	0	-0.3308596	5.330832	0	
0.133	0	-0.3283636	5.328336	0	
0.134	0	-0.3258506	5.325823	0	
0.135	0	-0.3233207	5.323293	0	
0.136	0	-0.3207738	5.320746	0	
0.137	0	-0.3182099	5.318182	0	
0.138	0	-0.3156293	5.315602	0	
0.139	0	-0.3130318	5.313004	0	
0.14	0	-0.3104175	5.31039	0	
0.141	0	-0.3077864	5.307759	0	
0.142	0	-0.3051386	5.305111	0	
0.143	0	-0.3024741	5.302446	0	
0.144	0	-0.299793	5.299766	0	
0.145	0	-0.2970952	5.297068	0	
0.146	0	-0.2943809	5.294353	0	
0.147	0	-0.29165	5.291622	0	
0.148	0	-0.2889026	5.288875	0	
0.149	0	-0.2861387	5.286111	0	
0.15	0	-0.2833583	5.283331	0	
0.151	0	-0.2805616	5.280534	0	
0.152	0	-0.2777485	5.277721	0	
0.153	0	-0.274919	5.274891	0	
0.154	0	-0.2720733	5.272046	0	
0.155	0	-0.2692113	5.269184	0	
0.156	0	-0.2663331	5.266305	0	
0.157	0	-0.2634386	5.263411	0	
0.158	0	-0.2605281	5.2605	0	
0.159	0	-0.2576014	5.257574	0	
0.16	0	-0.2546587	5.254631	0	
0.161	0	-0.2516999	5.251672	0	
0.162	0	-0.2487251	5.248697	0	
0.163	0	-0.2457343	5.245707	0	
0.164	0	-0.2427276	5.2427	0	
0.165	0	-0.2397051	5.239677	0	
0.166	0	-0.2366667	5.236639	0	
0.167	0	-0.2336124	5.233585	0	
0.168	0	-0.2305425	5.230515	0	
0.169	0	-0.2274567	5.227429	0	
0.17	0	-0.2243553	5.224328	0	
0.171	0	-0.2212383	5.22121	0	
0.172	0	-0.2181056	5.218078	0	
0.173	0	-0.2149573	5.21493	0	
0.174	0	-0.2117935	5.211766	0	
0.175	0	-0.2086142	5.208587	0	
0.176	0	-0.2054195	5.205392	0	
0.177	0	-0.2022093	5.202182	0	
0.178	0	-0.1989838	5.198956	0	
0.179	0	-0.1957429	5.195716	0	
0.18	0	-0.1924867	5.19246	0	
0.181	0	-0.1892153	5.189188	0	
0.182	0	-0.1859286	5.185902	0	
0.183	0	-0.1826268	5.1826	0	
0.184	0	-0.1793099	5.179283	0	
0.185	0	-0.1759778	5.175951	0	
0.186	0	-0.1726307	5.172605	0	
0.187	0	-0.1692686	5.169242	0	
0.188	0	-0.1658915	5.165865	0	
0.189	0	-0.1624995	5.162473	0	
0.19	0	-0.1590926	5.159066	0	
0.191	0	-0.1556709	5.155644	0	
0.192	0	-0.1522343	5.152208	0	
0.193	0	-0.148783	5.148757	0	
0.194	0	-0.145317	5.145291	0	
0.195	0	-0.1418363	5.14181	0	
0.196	0	-0.1383409	5.138316	0	
0.197	0	-0.134831	5.134806	0	
0.198	0	-0.1313065	5.131281	0	
0.199	0	-0.1277675	5.127742	0	
0.2	0	-0.1242141	5.124189	0	
0.201	0	-0.1206462	5.120621	0	
0.202	0	-0.1170639	5.117039	0	
0.203	0	-0.1134673	5.113442	0	
0.204	0	-0.1098564	5.109832	0	
0.205	0	-0.1062313	5.106206	0	
0.206	0	-0.1025919	5.102568	0	
0.207	0	-0.09893842	5.098914	0	
0.208	0	-0.09527079	5.095246	0	
0.209	0	-0.09158909	5.091565	0	
0.21	0	-0.08789335	5.087869	0	
0.211	0	-0.08418363	5.084159	0	
0.212	0	-0.08045997	5.080436	0	
0.213	0	-0.07672241	5.076699	0	
0.214	0	-0.07297099	5.072947	0	
0.215	0	-0.06920576	5.069182	0	
0.216	0	-0.06542677	5.065403	0	
0.217	0	-0.06163406	5.061611	0	
0.218	0	-0.05782767	5.057804	0	
0.219	0	-0.05400765	5.053984	0	
0.22	0	-0.05017405	5.050151	0	
0.221	0	-0.04632691	5.046304	0	
0.222	0	-0.04246628	5.042443	0	
0.223	0	-0.0385922	5.038569	0	
0.224	0	-0.03470471	5.034682	0	
0.225	0	-0.03080387	5.030781	0	
0.226	0	-0.02688971	5.026867	0	
0.227	0	-0.02296229	5.02294	0	
0.228	0	-0.01902165	5.018999	0	
0.229	0	-0.01506783	5.015046	0	
0.23	0	-0.01110089	5.011079	0	
0.231	0	-0.007120869	5.007099	0	
0.232	0	-0.003127811	5.003106	0	
0.233	0	0.0008782349	4.9991	0	
0.234	0	0.004897222	4.995081	0	
0.235	0	0.008929105	4.991049	0	
0.236	0	0.01297383	4.987005	0	
0.237	0	0.01703136	4.982947	0	
0.238	0	0.02110165	4.978878	0	
0.239	0	0.02518464	4.974794	0	
0.24	0	0.02928029	4.970699	0	
0.241	0	0.03338855	4.96659	0	
0.242	0	0.03750938	4.96247	0	
0.243	0	0.04164272	4.958336	0	
0.244	0	0.04578853	4.95419	0	
0.245	0	0.04994677	4.950032	0	
0.246	0	0.05411737	4.945862	0	
0.247	0	0.05830031	4.941679	0	
0.248	0	0.06249551	4.937484	0	
0.249	0	0.06670295	4.933277	0	
0.25	0	0.07092258	4.929058	0	
0.251	0	0.07515433	4.924826	0	
0.252	0	0.07939816	4.920582	0	
0.253	0	0.08365403	4.916326	0	
0.254	0	0.08792189	4.912058	0	
0.255	0	0.09220169	4.907779	0	
0.256	0	0.09649337	4.903488	0	
0.257	0	0.1007969	4.899184	0	
0.258	0	0.1051122	4.894869	0	
