Time	Position	Length2	2	
0	-0.5	0	0	
0.001	-0.5	0	0	
0.002	-0.5	0	0	
0.003	-0.5	0	0	
0.004	-0.5	0	0	
0.005	-0.5	0	0	
0.006	-0.5	0	0	
0.007	-0.5	0	0	
0.008	-0.5	0	0	
0.009000001	-0.5	0	0	
0.01	-0.5	0	0	
0.011	-0.5	0	0	
0.012	-0.5	0	0	
0.013	-0.5	0	0	
0.014	-0.5	0	0	
0.015	-0.5	0	0	
0.016	-0.5	0	0	
0.017	-0.5	0	0	
0.018	-0.5	0	0	
0.019	-0.5	0	0	
0.02	-0.5	0	0	
0.021	-0.5	0	0	
0.022	-0.5	0	0	
0.023	-0.5	0	0	
0.024	-0.5	0	0	
0.025	-0.5	0	0	
0.026	-0.5	0	0	
0.027	-0.5	0	0	
0.028	-0.5	0	0	
0.029	-0.5	0	0	
0.03	-0.5	0	0	
0.031	-0.5	0	0	
0.032	-0.5	0	0	
0.033	-0.5	0	0	
0.034	-0.5	0	0	
0.035	-0.5	0	0	
0.036	-0.5	0	0	
0.037	-0.5	0	0	
0.038	-0.5	0	0	
0.039	-0.5	0	0	
0.04	-0.5	0	0	
0.041	-0.5	0	0	
0.042	-0.5	0	0	
0.043	-0.5	0	0	
0.044	-0.5	0	0	
0.045	-0.5	0	0	
0.046	-0.5	0	0	
0.047	-0.5	0	0	
0.048	-0.5	0	0	
0.049	-0.5	0	0	
0.05	-0.5	0	0	
0.051	-0.5	0	0	
0.052	-0.5	0	0	
0.053	-0.5	0	0	
0.054	-0.5	0	0	
0.055	-0.5	0	0	
0.056	-0.5	0	0	
0.057	-0.5	0	0	
0.058	-0.5	0	0	
0.059	-0.5	0	0	
0.06	-0.5	0	0	
0.061	-0.5	0	0	
0.062	-0.5	0	0	
0.063	-0.5	0	0	
0.064	-0.5	0	0	
0.06500001	-0.5	0	0	
0.066	-0.5	0	0	
0.067	-0.5	0	0	
0.068	-0.5	0	0	
0.06900001	-0.5	0	0	
0.07	-0.5	0	0	
0.071	-0.5	0	0	
0.072	-0.5	0	0	
0.07300001	-0.5	0	0	
0.074	-0.5	0	0	
0.075	-0.5	0	0	
0.07600001	-0.5	0	0	
0.07700001	-0.5	0	0	
0.078	-0.5	0	0	
0.079	-0.5	0	0	
0.08000001	-0.5	0	0	
0.081	-0.5	0	0	
0.082	-0.5	0	0	
0.083	-0.5	0	0	
0.08400001	-0.5	0	0	
0.085	-0.5	0	0	
0.086	-0.5	0	0	
0.087	-0.5	0	0	
0.08800001	-0.5	0	0	
0.089	-0.5	0	0	
0.09	-0.5	0	0	
0.09100001	-0.5	0	0	
0.09200001	-0.5	0	0	
0.093	-0.5	0	0	
0.094	-0.5	0	0	
0.09500001	-0.5	0	0	
0.096	-0.5	0	0	
0.097	-0.5	0	0	
0.098	-0.5	0	0	
0.09900001	-0.5	0	0	
0.1	-0.5	0	0	
0.101	-0.5	0	0	
0.102	-0.5	0	0	
0.103	-0.5	0	0	
0.104	-0.5	0	0	
0.105	-0.5	0	0	
0.106	-0.5	0	0	
0.107	-0.5	0	0	
0.108	-0.5	0	0	
0.109	-0.5	0	0	
0.11	-0.5	0	0	
0.111	-0.5	0	0	
0.112	-0.5	0	0	
0.113	-0.5	0	0	
0.114	-0.5	0	0	
0.115	-0.5	0	0	
