Time	Length	Position	2	
0	5	0	0	
0.001	4.99999	9.989353E-06	0	
0.002	4.999969	2.995785E-05	0	
0.003	4.999938	5.989523E-05	0	
0.004	4.999898	9.979112E-05	0	
0.005	4.999848	0.0001496351	0	
0.006	4.999788	0.0002094167	0	
0.007	4.999718	0.0002791252	0	
0.008	4.999638	0.0003587501	0	
0.009000001	4.999547	0.0004482805	0	
0.01	4.999447	0.0005477055	0	
0.011	4.999338	0.0006570143	0	
0.012	4.999218	0.0007761958	0	
0.013	4.999089	0.000905239	0	
0.014	4.99895	0.001044132	0	
0.015	4.998801	0.001192865	0	
0.016	4.998642	0.001351425	0	
0.017	4.998474	0.001519802	0	
0.018	4.998296	0.001697982	0	
0.019	4.998108	0.001885956	0	
0.02	4.99791	0.002083711	0	
0.021	4.997703	0.002291236	0	
0.022	4.997485	0.002508517	0	
0.023	4.997258	0.002735544	0	
0.024	4.997022	0.002972305	0	
0.025	4.996775	0.003218786	0	
0.026	4.996519	0.003474976	0	
0.027	4.996253	0.003740863	0	
0.028	4.995977	0.004016433	0	
0.029	4.995692	0.004301676	0	
0.03	4.995397	0.004596577	0	
0.031	4.995093	0.004901124	0	
0.032	4.994779	0.005215304	0	
0.033	4.994455	0.005539106	0	
0.034	4.994121	0.005872515	0	
0.035	4.993778	0.006215518	0	
0.036	4.993426	0.006568103	0	
0.037	4.993063	0.006930256	0	
0.038	4.992692	0.007301964	0	
0.039	4.992311	0.007683214	0	
0.04	4.99192	0.008073992	0	
0.041	4.991519	0.008474285	0	
0.042	4.99111	0.008884079	0	
0.043	4.99069	0.00930336	0	
0.044	4.990262	0.009732115	0	
0.045	4.989823	0.01017033	0	
0.046	4.989376	0.01061799	0	
0.047	4.988919	0.01107508	0	
0.048	4.988452	0.01154159	0	
0.049	4.987976	0.01201751	0	
0.05	4.987491	0.01250281	0	
0.051	4.986996	0.01299749	0	
0.052	4.986492	0.01350153	0	
0.053	4.985979	0.01401492	0	
0.054	4.985456	0.01453763	0	
0.055	4.984924	0.01506967	0	
0.056	4.984383	0.015611	0	
0.057	4.983832	0.01616163	0	
0.058	4.983272	0.01672152	0	
0.059	4.982703	0.01729068	0	
0.06	4.982125	0.01786908	0	
0.061	4.981537	0.0184567	0	
0.062	4.98094	0.01905354	0	
0.063	4.980334	0.01965958	0	
0.064	4.979719	0.02027479	0	
0.06500001	4.979095	0.02089917	0	
0.066	4.978461	0.02153271	0	
0.067	4.977818	0.02217538	0	
0.068	4.977167	0.02282717	0	
0.06900001	4.976506	0.02348806	0	
0.07	4.975836	0.02415804	0	
0.071	4.975157	0.02483709	0	
0.072	4.974469	0.0255252	0	
0.07300001	4.973772	0.02622235	0	
0.074	4.973065	0.02692853	0	
0.075	4.97235	0.02764371	0	
0.07600001	4.971626	0.02836789	0	
0.07700001	4.970893	0.02910104	0	
0.078	4.97015	0.02984315	0	
0.079	4.969399	0.0305942	0	
0.08000001	4.96864	0.03135418	0	
0.081	4.967871	0.03212307	0	
0.082	4.967093	0.03290085	0	
0.083	4.966306	0.03368751	0	
0.08400001	4.965511	0.03448302	0	
0.085	4.964706	0.03528738	0	
0.086	4.963893	0.03610057	0	
0.087	4.963071	0.03692256	0	
0.08800001	4.96224	0.03775335	0	
0.089	4.961401	0.03859291	0	
0.09	4.960553	0.03944122	0	
0.09100001	4.959695	0.04029828	0	
0.09200001	4.95883	0.04116406	0	
0.093	4.957955	0.04203855	0	
0.094	4.957072	0.04292172	0	
0.09500001	4.95618	0.04381356	0	
0.096	4.95528	0.04471406	0	
0.097	4.95437	0.04562319	0	
0.098	4.953453	0.04654093	0	
0.09900001	4.952527	0.04746728	0	
0.1	4.951591	0.0484022	0	
0.101	4.950648	0.04934569	0	
0.102	4.949696	0.05029772	0	
0.103	4.948736	0.05125828	0	
0.104	4.947766	0.05222735	0	
0.105	4.946789	0.05320491	0	
0.106	4.945803	0.05419093	0	
0.107	4.944808	0.05518542	0	
0.108	4.943806	0.05618834	0	
0.109	4.942794	0.05719967	0	
0.11	4.941774	0.05821941	0	
0.111	4.940746	0.05924752	0	
0.112	4.93971	0.06028399	0	
0.113	4.938665	0.06132881	0	
0.114	4.937612	0.06238195	0	
0.115	4.936551	0.06344339	0	
0.116	4.935481	0.06451311	0	
0.117	4.934402	0.0655911	0	
0.118	4.933316	0.06667735	0	
0.119	4.932222	0.06777181	0	
0.12	4.931119	0.06887449	0	
0.121	4.930008	0.06998536	0	
0.122	4.928889	0.07110439	0	
0.123	4.927762	0.07223158	0	
0.124	4.926627	0.0733669	0	
0.125	4.925484	0.07451032	0	
0.126	4.924332	0.07566184	0	
0.127	4.923172	0.07682143	0	
0.128	4.922005	0.07798908	0	
0.129	4.920829	0.07916476	0	
0.13	4.919645	0.08034845	0	
0.131	4.918454	0.08154013	0	
0.132	4.917254	0.08273979	0	
0.133	4.916047	0.08394739	0	
0.134	4.914831	0.08516293	0	
0.135	4.913608	0.08638638	0	
0.136	4.912376	0.08761773	0	
0.137	4.911137	0.08885694	0	
0.138	4.90989	0.09010401	0	
0.139	4.908635	0.09135891	0	
0.14	4.907372	0.09262162	0	
0.141	4.906102	0.09389213	0	
0.142	4.904823	0.0951704	0	
0.143	4.903537	0.09645642	0	
0.144	4.902244	0.09775017	0	
0.145	4.900942	0.09905163	0	
0.146	4.899633	0.1003608	0	
0.147	4.898316	0.1016776	0	
0.148	4.896992	0.1030021	0	
0.149	4.895659	0.1043341	0	
0.15	4.89432	0.1056738	0	
0.151	4.892973	0.1070211	0	
0.152	4.891618	0.1083759	0	
0.153	4.890255	0.1097383	0	
0.154	4.888885	0.1111082	0	
0.155	4.887508	0.1124856	0	
0.156	4.886123	0.1138704	0	
0.157	4.884731	0.1152627	0	
0.158	4.883331	0.1166625	0	
0.159	4.881924	0.1180697	0	
0.16	4.880509	0.1194842	0	
0.161	4.879087	0.1209061	0	
0.162	4.877658	0.1223354	0	
0.163	4.876222	0.123772	0	
0.164	4.874778	0.1252159	0	
0.165	4.873327	0.1266671	0	
0.166	4.871868	0.1281255	0	
0.167	4.870403	0.1295912	0	
0.168	4.86893	0.1310641	0	
0.169	4.86745	0.1325442	0	
0.17	4.865963	0.1340314	0	
0.171	4.864468	0.1355259	0	
0.172	4.862967	0.1370274	0	
0.173	4.861458	0.1385361	0	
0.174	4.859942	0.1400518	0	
0.175	4.858419	0.1415746	0	
0.176	4.856889	0.1431044	0	
0.177	4.855352	0.1446413	0	
0.178	4.853809	0.1461851	0	
0.179	4.852258	0.1477359	0	
0.18	4.8507	0.1492937	0	
0.181	4.849135	0.1508584	0	
0.182	4.847564	0.15243	0	
0.183	4.845985	0.1540085	0	
0.184	4.8444	0.1555938	0	
0.185	4.842808	0.157186	0	
0.186	4.841209	0.158785	0	
0.187	4.839603	0.1603907	0	
0.188	4.837991	0.1620033	0	
0.189	4.836371	0.1636226	0	
0.19	4.834745	0.1652486	0	
0.191	4.833113	0.1668813	0	
0.192	4.831473	0.1685207	0	
0.193	4.829827	0.1701667	0	
0.194	4.828175	0.1718194	0	
0.195	4.826515	0.1734787	0	
0.196	4.824849	0.1751445	0	
0.197	4.823177	0.1768169	0	
0.198	4.821498	0.1784959	0	
0.199	4.819812	0.1801814	0	
0.2	4.81812	0.1818733	0	
0.201	4.816422	0.1835717	0	
0.202	4.814717	0.1852766	0	
0.203	4.813006	0.1869879	0	
0.204	4.811288	0.1887055	0	
0.205	4.809564	0.1904296	0	
0.206	4.807834	0.19216	0	
0.207	4.806097	0.1938967	0	
0.208	4.804354	0.1956397	0	
0.209	4.802605	0.197389	0	
0.21	4.800849	0.1991446	0	
0.211	4.799088	0.2009063	0	
0.212	4.797319	0.2026743	0	
0.213	4.795545	0.2044485	0	
0.214	4.793765	0.2062288	0	
0.215	4.791978	0.2080153	0	
0.216	4.790186	0.2098078	0	
0.217	4.788387	0.2116065	0	
0.218	4.786582	0.2134112	0	
0.219	4.784772	0.2152219	0	
0.22	4.782955	0.2170387	0	
0.221	4.781132	0.2188615	0	
0.222	4.779304	0.2206902	0	
0.223	4.777469	0.2225248	0	
0.224	4.775629	0.2243654	0	
0.225	4.773782	0.2262119	0	
0.226	4.77193	0.2280642	0	
0.227	4.770072	0.2299224	0	
0.228	4.768208	0.2317864	0	
0.229	4.766338	0.2336562	0	
0.23	4.764462	0.2355317	0	
0.231	4.762581	0.237413	0	
0.232	4.760694	0.2393	0	
0.233	4.758801	0.2411927	0	
0.234	4.756903	0.2430911	0	
0.235	4.754999	0.2449952	0	
0.236	4.753089	0.2469048	0	
0.237	4.751174	0.2488201	0	
0.238	4.749253	0.2507409	0	
0.239	4.747327	0.2526673	0	
0.24	4.745395	0.2545992	0	
0.241	4.743458	0.2565366	0	
0.242	4.741515	0.2584794	0	
0.243	4.739566	0.2604277	0	
0.244	4.737613	0.2623815	0	
0.245	4.735654	0.2643406	0	
0.246	4.73369	0.2663051	0	
0.247	4.73172	0.268275	0	
0.248	4.729744	0.2702501	0	
0.249	4.727764	0.2722306	0	
0.25	4.725779	0.2742164	0	
0.251	4.723787	0.2762074	0	
0.252	4.721791	0.2782036	0	
0.253	4.71979	0.280205	0	
0.254	4.717783	0.2822116	0	
0.255	4.715772	0.2842233	0	
0.256	4.713755	0.2862401	0	
0.257	4.711733	0.2882621	0	
0.258	4.709706	0.2902891	0	
0.259	4.707674	0.2923211	0	
0.26	4.705637	0.2943582	0	
0.261	4.703595	0.2964003	0	
0.262	4.701549	0.2984473	0	
0.263	4.699496	0.3004993	0	
0.264	4.69744	0.3025562	0	
0.265	4.695378	0.304618	0	
0.266	4.693311	0.3066847	0	
0.267	4.691239	0.3087562	0	
0.268	4.689163	0.3108325	0	
0.269	4.687082	0.3129136	0	
0.27	4.684996	0.3149995	0	
0.271	4.682906	0.3170901	0	
0.272	4.680811	0.3191854	0	
0.273	4.678711	0.3212854	0	
0.274	4.676606	0.3233901	0	
0.275	4.674497	0.3254994	0	
0.276	4.672383	0.3276133	0	
0.277	4.670265	0.3297318	0	
0.278	4.668142	0.3318549	0	
0.279	4.666014	0.3339824	0	
0.28	4.663882	0.3361145	0	
0.281	4.661746	0.3382511	0	
0.282	4.659605	0.3403921	0	
0.283	4.657459	0.3425376	0	
0.284	4.655309	0.3446875	0	
0.285	4.653155	0.3468418	0	
0.286	4.650996	0.3490004	0	
0.287	4.648833	0.3511633	0	
0.288	4.646666	0.3533305	0	
0.289	4.644495	0.355502	0	
0.29	4.642319	0.3576778	0	
0.291	4.64014	0.3598577	0	
0.292	4.637956	0.3620419	0	
0.293	4.635767	0.3642302	0	
0.294	4.633575	0.3664227	0	
0.295	4.631378	0.3686193	0	
0.296	4.629178	0.37082	0	
0.297	4.626973	0.3730247	0	
0.298	4.624764	0.3752335	0	
0.299	4.622551	0.3774463	0	
0.3	4.620335	0.3796631	0	
0.301	4.618114	0.3818838	0	
0.302	4.615889	0.3841085	0	
0.303	4.61366	0.3863371	0	
0.304	4.611428	0.3885696	0	
0.305	4.609192	0.3908059	0	
0.306	4.606952	0.3930461	0	
0.307	4.604708	0.39529	0	
0.308	4.602461	0.3975378	0	
0.309	4.600209	0.3997892	0	
0.31	4.597954	0.4020444	0	
0.311	4.595695	0.4043034	0	
0.312	4.593432	0.406566	0	
0.313	4.591166	0.4088322	0	
0.314	4.588897	0.4111021	0	
0.315	4.586623	0.4133755	0	
0.316	4.584346	0.4156525	0	
0.317	4.582066	0.4179331	0	
0.318	4.579782	0.4202171	0	
0.319	4.577494	0.4225047	0	
0.32	4.575203	0.4247957	0	
0.321	4.572909	0.4270902	0	
0.322	4.570611	0.429388	0	
0.323	4.56831	0.4316893	0	
0.324	4.566005	0.4339938	0	
0.325	4.563697	0.4363018	0	
0.326	4.561387	0.438613	0	
0.327	4.559072	0.4409275	0	
0.328	4.556754	0.4432453	0	
0.329	4.554433	0.4455662	0	
0.33	4.552109	0.4478904	0	
0.331	4.549782	0.4502178	0	
0.332	4.547451	0.4525482	0	
0.333	4.545118	0.4548818	0	
0.334	4.542781	0.4572186	0	
0.335	4.540441	0.4595583	0	
0.336	4.538099	0.4619011	0	
0.337	4.535753	0.4642469	0	
0.338	4.533404	0.4665957	0	
0.339	4.531053	0.4689475	0	
0.34	4.528698	0.4713022	0	
0.341	4.52634	0.4736598	0	
0.342	4.52398	0.4760202	0	
0.343	4.521616	0.4783835	0	
0.344	4.519251	0.4807497	0	
0.345	4.516882	0.4831187	0	
0.346	4.51451	0.4854904	0	
0.347	4.512136	0.4878649	0	
0.348	4.509758	0.4902421	0	
0.349	4.507379	0.492622	0	
0.35	4.504996	0.4950045	0	
0.351	4.502611	0.4973897	0	
0.352	4.500224	0.4997775	0	
0.353	4.497833	0.5021679	0	
0.354	4.49544	0.5045609	0	
0.355	4.493044	0.5069564	0	
0.356	4.490646	0.5093544	0	
0.357	4.488246	0.5117549	0	
0.358	4.485843	0.5141579	0	
0.359	4.483438	0.5165633	0	
0.36	4.48103	0.5189711	0	
0.361	4.47862	0.5213813	0	
0.362	4.476208	0.5237938	0	
0.363	4.473793	0.5262086	0	
0.364	4.471375	0.5286257	0	
0.365	4.468956	0.5310451	0	
0.366	4.466535	0.5334668	0	
