Time	Rotation	PendulumY	PendulumX	PendulumZ	
0	0	-0.7	0	0	
0.001	0	-0.7000081	4.983321E-06	0	
0.002	-7.004562E-06	-0.7000229	1.494966E-05	0	
0.003	-2.113114E-05	-0.700043	2.989895E-05	0	
0.004	-4.238099E-05	-0.7000673	4.983104E-05	0	
0.005	-7.075325E-05	-0.7000951	7.474572E-05	0	
0.006	-0.0001062469	-0.7001252	0.0001046427	0	
0.007	-0.0001488606	-0.7001573	0.0001395215	0	
0.008	-0.000198593	-0.7001905	0.0001793816	0	
0.009000001	-0.0002554427	-0.7002246	0.0002242226	0	
0.01	-0.0003194081	-0.700259	0.0002740435	0	
0.011	-0.0003904874	-0.7002934	0.0003288437	0	
0.012	-0.0004686789	-0.7003275	0.0003886223	0	
0.013	-0.0005539808	-0.700361	0.0004533781	0	
0.014	-0.000646391	-0.7003939	0.0005231103	0	
0.015	-0.0007459074	-0.7004259	0.0005978176	0	
0.016	-0.0008525283	-0.7004569	0.0006774988	0	
0.017	-0.0009662512	-0.7004868	0.0007621525	0	
0.018	-0.001087074	-0.7005156	0.0008517775	0	
0.019	-0.001214995	-0.7005433	0.0009463722	0	
0.02	-0.001350011	-0.7005697	0.001045935	0	
0.021	-0.001492119	-0.7005949	0.001150465	0	
0.022	-0.001641318	-0.7006189	0.001259959	0	
0.023	-0.001797605	-0.7006417	0.001374417	0	
0.024	-0.001960977	-0.7006633	0.001493837	0	
0.025	-0.002131432	-0.7006837	0.001618216	0	
0.026	-0.002308967	-0.7007029	0.001747553	0	
0.027	-0.002493579	-0.700721	0.001881846	0	
0.028	-0.002685265	-0.7007381	0.002021093	0	
0.029	-0.002884023	-0.7007541	0.002165292	0	
0.03	-0.003089848	-0.7007691	0.00231444	0	
0.031	-0.003302739	-0.7007832	0.002468536	0	
0.032	-0.003522692	-0.7007963	0.002627578	0	
0.033	-0.003749703	-0.7008085	0.002791562	0	
0.034	-0.00398377	-0.7008198	0.002960488	0	
0.035	-0.004224889	-0.7008304	0.003134351	0	
0.036	-0.004473056	-0.7008402	0.00331315	0	
0.037	-0.004728267	-0.7008492	0.003496883	0	
0.038	-0.00499052	-0.7008575	0.003685547	0	
0.039	-0.005259812	-0.7008651	0.003879139	0	
0.04	-0.005536136	-0.7008721	0.004077656	0	
0.041	-0.00581949	-0.7008785	0.004281095	0	
0.042	-0.00610987	-0.7008843	0.004489454	0	
0.043	-0.006407271	-0.7008895	0.004702731	0	
0.044	-0.00671169	-0.7008942	0.004920921	0	
0.045	-0.007023121	-0.7008984	0.005144022	0	
