Time	AVm	BVm	1Vm	2Vm	1Ia	BIa	2FF	1FF	
0	-0.1	-0.1	-0.07	-0.07	0	6.69285E-11	0	0	
0.0002	-0.09999843	-0.09999738	-0.07	-0.07	0	6.69285E-11	0	0	
0.0004	-0.09999535	-0.09999486	-0.07	-0.07	0	6.69285E-11	0	0	
0.0006	-0.09999083	-0.09999243	-0.07	-0.07	0	6.69285E-11	0	0	
0.0008	-0.09998491	-0.09999011	-0.07	-0.07	0	6.69285E-11	0	0	
0.0009999999	-0.09997767	-0.09998787	-0.07	-0.07	0	6.69285E-11	0	0	
0.0012	-0.09996913	-0.09998572	-0.07	-0.07	0	6.69285E-11	0	0	
0.0014	-0.09995937	-0.09998365	-0.07	-0.07	0	6.69285E-11	0	0	
0.0016	-0.09994841	-0.09998167	-0.07	-0.07	0	6.69285E-11	0	0	
0.0018	-0.09993631	-0.09997976	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.002	-0.09992313	-0.09997793	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0022	-0.0999089	-0.09997617	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0024	-0.09989364	-0.09997448	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0026	-0.09987742	-0.09997285	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0028	-0.09986027	-0.0999713	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.003	-0.09984222	-0.0999698	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0032	-0.09982332	-0.09996836	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0034	-0.09980358	-0.09996698	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0036	-0.09978305	-0.09996565	-0.07	-0.0699928	0	6.69285E-11	3.599999E-05	0	
0.0038	-0.09976175	-0.09996438	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.004	-0.09973973	-0.09996315	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0042	-0.09971701	-0.09996197	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0044	-0.0996936	-0.09996083	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0046	-0.09966953	-0.09995974	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0048	-0.09964485	-0.0999587	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.005	-0.09961957	-0.09995769	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0052	-0.09959371	-0.09995672	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0054	-0.09956729	-0.09995579	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0056	-0.09954035	-0.0999549	-0.06999928	-0.06997775	0	6.692993E-11	0.00011128	2.159999E-06	
0.0058	-0.09951288	-0.09995404	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.006	-0.09948494	-0.09995322	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0062	-0.0994565	-0.09995242	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0064	-0.09942763	-0.09995167	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0066	-0.09939831	-0.09995093	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0068	-0.09936859	-0.09995023	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.007	-0.09933845	-0.09994956	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0072	-0.09930792	-0.09994891	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0074	-0.09927703	-0.09994829	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0076	-0.09924578	-0.0999477	-0.06999707	-0.06995499	0	6.693435E-11	0.0002250544	8.793599E-06	
0.0078	-0.09921419	-0.09994712	-0.06999262	-0.06992469	0	6.694321E-11	0.0003765533	2.212099E-05	
0.007999999	-0.09918226	-0.09994658	-0.06999262	-0.06992469	0	6.694321E-11	0.0003765533	2.212099E-05	
