Time	AVm	BVm	1Vm	2Vm	1Ia	BIa	2FF	1FF	
0	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0002	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0004	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0006	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0008	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0009999999	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0012	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0014	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0016	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0018	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.002	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0022	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0024	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0026	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0028	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.003	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0032	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0034	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0036	-0.1	-0.1	-0.07	-0.0699928	0	0	3.599999E-05	0	
0.0038	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.004	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0042	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0044	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0046	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0048	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.005	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0052	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0054	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0056	-0.1	-0.1	-0.06999928	-0.06997775	0	0	0.00011128	2.159999E-06	
0.0058	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.006	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0062	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0064	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0066	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0068	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.007	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0072	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0074	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0076	-0.1	-0.1	-0.06999707	-0.06995499	0	0	0.0002250544	8.793599E-06	
0.0078	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.007999999	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.0082	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.0084	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.008599999	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.0088	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.009	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.0092	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.0094	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.0096	-0.1	-0.1	-0.06999262	-0.06992469	0	0	0.0003765533	2.212099E-05	
0.0098	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.01	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0102	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0104	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0106	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0108	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.011	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0112	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0114	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0116	-0.1	-0.1	-0.06998524	-0.069887	0	0	0.0005650222	4.427176E-05	
0.0118	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.012	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0122	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0124	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0126	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0128	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.013	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0132	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0134	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0136	-0.1	-0.1	-0.06997424	-0.06984206	0	0	0.0007897217	7.728767E-05	
0.0138	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.014	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0142	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0144	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0146	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0148	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.015	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0152	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0154	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0156	-0.1	-0.1	-0.06995896	-0.06979001	0	0	0.001049927	0.0001231252	
0.0158	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.016	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0162	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0164	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0166	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0168	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.017	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0172	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0174	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0176	-0.1	-0.1	-0.06993878	-0.06973101	0	0	0.001344929	0.0001836584	
0.0178	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.018	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0182	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0184	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0186	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0188	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.019	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0192	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0194	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0196	-0.1	-0.1	-0.0699131	-0.06966519	0	0	0.00167403	0.0002606809	
0.0198	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.02	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0202	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0204	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0206	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0208	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.021	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0212	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0214	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0216	-0.1	-0.1	-0.06988136	-0.06959269	0	0	0.00203655	0.0003559091	
0.0218	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.022	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0222	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0224	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0226	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0228	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.023	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0232	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0234	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0236	-0.1	-0.1	-0.06984301	-0.06951363	0	0	0.002431819	0.0004709839	
0.0238	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.024	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0242	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0244	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0246	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0248	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.025	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0252	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0254	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0256	-0.1	-0.1	-0.06979751	-0.06942816	0	0	0.002859182	0.0006074733	
0.0258	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.026	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0262	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0264	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0266	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0268	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.027	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0272	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0274	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0276	-0.1	-0.1	-0.06974438	-0.0693364	0	0	0.003317998	0.0007668748	
0.0278	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.028	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0282	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0284	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0286	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0288	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.029	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0292	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0294	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0296	-0.1	-0.1	-0.06968313	-0.06923847	0	0	0.003807638	0.0009506173	
0.0298	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.03	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0302	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0304	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0306	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0308	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.031	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0312	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0314	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0316	-0.1	-0.1	-0.06961332	-0.0691345	0	0	0.004327486	0.001160063	
0.0318	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.032	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0322	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0324	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0326	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0328	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.033	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0332	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0334	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0336	-0.1	-0.1	-0.0695345	-0.06902461	0	0	0.004876936	0.001396511	
0.0338	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.034	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0342	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0344	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0346	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0348	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.035	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0352	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0354	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0356	-0.1	-0.1	-0.06944627	-0.06890892	0	0	0.005455397	0.001661197	
0.0358	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.036	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0362	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0364	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0366	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0368	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.037	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0372	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0374	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0376	-0.1	-0.1	-0.06934823	-0.06878754	0	0	0.00606229	0.001955297	
0.0378	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.038	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0382	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0384	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0386	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0388	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.039	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0392	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0394	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0396	-0.1	-0.1	-0.06924003	-0.06866059	0	0	0.006697043	0.002279928	
0.0398	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.04	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0402	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0404	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0406	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0408	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.041	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0412	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0414	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0416	-0.1	-0.1	-0.06912129	-0.06852818	0	0	0.007359102	0.002636152	
0.0418	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.042	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0422	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0424	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0426	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0428	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.043	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0432	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0434	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0436	-0.1	-0.1	-0.06899168	-0.06839041	0	0	0.008047921	0.003024975	
0.0438	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.044	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0442	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0444	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0446	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0448	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.045	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0452	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0454	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0456	-0.1	-0.1	-0.06885088	-0.06824741	0	0	0.008762962	0.003447351	
0.0458	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.046	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0462	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0464	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0466	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0468	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.047	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0472	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0474	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0476	-0.1	-0.1	-0.06869861	-0.06809926	0	0	0.009503703	0.003904182	
0.0478	-0.1	-0.1	-0.06853456	-0.06794608	0	0	0.01026963	0.00439632	
0.048	-0.1	-0.1	-0.06853456	-0.06794608	0	0	0.01026963	0.00439632	
0.0482	-0.1	-0.1	-0.06853456	-0.06794608	0	0	0.01026963	0.00439632	
