Time	AVm	BVm	1Vm	2Vm	1Ia	BIa	2FF	1FF	
0	-0.1	-0.1	-0.07	-0.07	0	0	0	0	
0.0001	-0.09999961	-0.1	-0.07	-0.07	0	0	0	0	
0.0002	-0.09999882	-0.1	-0.07	-0.07	0	0	0	0	
0.0003	-0.09999765	-0.1	-0.07	-0.07	0	0	0	0	
0.0004	-0.09999611	-0.1	-0.07	-0.07	0	0	0	0	
0.0005	-0.09999421	-0.1	-0.07	-0.07	0	0	0	0	
0.0006	-0.09999195	-0.1	-0.07	-0.07	0	0	0	0	
0.0007	-0.09998934	-0.1	-0.07	-0.07	0	0	0	0	
0.0008	-0.09998638	-0.1	-0.07	-0.07	0	0	0	0	
0.0009	-0.09998309	-0.1	-0.07	-0.07	0	0	0	0	
0.0009999999	-0.09997946	-0.1	-0.07	-0.07	0	0	0	0	
0.0011	-0.09997551	-0.1	-0.07	-0.07	0	0	0	0	
0.0012	-0.09997124	-0.1	-0.07	-0.07	0	0	0	0	
0.0013	-0.09996667	-0.1	-0.07	-0.07	0	0	0	0	
0.0014	-0.09996179	-0.1	-0.07	-0.07	0	0	0	0	
0.0015	-0.0999566	-0.1	-0.07	-0.07	0	0	0	0	
0.0016	-0.09995113	-0.1	-0.07	-0.07	0	0	0	0	
0.0017	-0.09994536	-0.1	-0.07	-0.07	0	0	0	0	
0.0018	-0.09993931	-0.1	-0.07	-0.07	0	0	0	0	
0.0019	-0.09993298	-0.1	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.002	-0.09992639	-0.09999999	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0021	-0.09991954	-0.09999997	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0022	-0.09991241	-0.09999996	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0023	-0.09990504	-0.09999994	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0024	-0.09989741	-0.09999993	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0025	-0.09988955	-0.09999991	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0026	-0.09988144	-0.09999989	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0027	-0.0998731	-0.09999987	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0028	-0.09986452	-0.09999986	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0029	-0.09985571	-0.09999985	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.003	-0.09984669	-0.09999983	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0031	-0.09983744	-0.09999982	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0032	-0.099828	-0.09999981	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0033	-0.09981833	-0.0999998	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0034	-0.09980846	-0.09999979	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0035	-0.0997984	-0.09999979	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0036	-0.09978813	-0.09999978	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0037	-0.09977767	-0.09999977	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0038	-0.09976703	-0.09999976	-0.07	-0.0699924	6.701306E-12	7.599999E-13	3.799999E-05	0	
0.0039	-0.0997562	-0.09999976	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.004	-0.09974518	-0.09999972	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0041	-0.09973399	-0.09999968	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0042	-0.09972262	-0.09999964	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0043	-0.09971108	-0.09999961	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0044	-0.09969938	-0.09999956	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0045	-0.09968751	-0.09999952	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0046	-0.09967548	-0.09999949	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0047	-0.09966329	-0.09999945	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0048	-0.09965095	-0.09999941	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0049	-0.09963845	-0.09999938	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.005	-0.09962581	-0.09999935	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0051	-0.09961302	-0.09999932	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0052	-0.09960009	-0.09999929	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0053	-0.09958702	-0.09999926	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0054	-0.09957381	-0.09999923	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0055	-0.09956047	-0.0999992	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0056	-0.099547	-0.09999917	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0057	-0.09953339	-0.09999914	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0058	-0.09951966	-0.09999911	-0.06999866	-0.06997696	2.43805E-11	2.3048E-12	0.00011524	4.020783E-06	
0.0059	-0.0995058	-0.09999908	-0.06999381	-0.06995381	4.941914E-11	4.618704E-12	0.0002309352	1.856867E-05	
0.006	-0.09949183	-0.099999	-0.06999381	-0.06995381	4.941914E-11	4.618704E-12	0.0002309352	1.856867E-05	
0.0061	-0.09947774	-0.09999893	-0.06999381	-0.06995381	4.941914E-11	4.618704E-12	0.0002309352	1.856867E-05	
0.0062	-0.09946352	-0.09999886	-0.06999381	-0.06995381	4.941914E-11	4.618704E-12	0.0002309352	1.856867E-05	
0.0063	-0.09944919	-0.09999879	-0.06999381	-0.06995381	4.941914E-11	4.618704E-12	0.0002309352	1.856867E-05	
0.0064	-0.09943476	-0.09999873	-0.06999381	-0.06995381	4.941914E-11	4.618704E-12	0.0002309352	1.856867E-05	
