Time	Iext	
0	0	
0.002	0	
0.004	0	
0.006	0	
0.008	0	
0.01	1E-09	
0.012	1E-09	
0.014	1E-09	
0.016	1E-09	
0.018	1E-09	
0.02	1E-09	
0.022	1E-09	
0.024	1E-09	
0.026	1E-09	
0.028	1E-09	
0.03	1E-09	
0.032	1E-09	
0.034	1E-09	
0.036	1E-09	
0.038	1E-09	
0.04	1E-09	
0.042	1E-09	
0.044	1E-09	
0.046	1E-09	
0.048	1E-09	
0.05	1E-09	
0.052	1E-09	
0.054	1E-09	
0.056	1E-09	
0.058	1E-09	
0.06	1E-09	
0.062	1E-09	
0.064	1E-09	
0.066	1E-09	
0.068	1E-09	
0.07	1E-09	
0.072	1E-09	
0.074	1E-09	
0.07600001	1E-09	
0.078	1E-09	
0.08000001	1E-09	
0.082	1E-09	
0.08400001	1E-09	
0.086	1E-09	
0.08800001	1E-09	
0.09	1E-09	
0.09200001	1E-09	
0.094	1E-09	
0.096	1E-09	
0.098	1E-09	
0.1	1E-09	
0.102	1E-09	
0.104	1E-09	
0.106	1E-09	
0.108	1E-09	
0.11	1E-09	
0.112	1E-09	
0.114	1E-09	
0.116	1E-09	
0.118	1E-09	
0.12	1E-09	
0.122	1E-09	
0.124	1E-09	
0.126	1E-09	
0.128	1E-09	
0.13	1E-09	
0.132	1E-09	
0.134	1E-09	
0.136	1E-09	
0.138	1E-09	
0.14	1E-09	
0.142	1E-09	
0.144	1E-09	
0.146	1E-09	
0.148	1E-09	
0.15	1E-09	
0.152	1E-09	
0.154	1E-09	
0.156	1E-09	
0.158	1E-09	
0.16	1E-09	
0.162	1E-09	
0.164	1E-09	
0.166	1E-09	
0.168	1E-09	
0.17	1E-09	
0.172	1E-09	
0.174	1E-09	
0.176	1E-09	
0.178	1E-09	
0.18	1E-09	
0.182	1E-09	
0.184	1E-09	
0.186	1E-09	
0.188	1E-09	
0.19	1E-09	
0.192	1E-09	
0.194	1E-09	
0.196	1E-09	
0.198	1E-09	
0.2	1E-09	
0.202	1E-09	
0.204	1E-09	
0.206	1E-09	
0.208	1E-09	
0.21	1E-09	
0.212	1E-09	
0.214	1E-09	
0.216	1E-09	
0.218	1E-09	
0.22	1E-09	
0.222	1E-09	
0.224	1E-09	
0.226	1E-09	
0.228	1E-09	
0.23	1E-09	
0.232	1E-09	
0.234	1E-09	
0.236	1E-09	
0.238	1E-09	
0.24	1E-09	
0.242	1E-09	
0.244	1E-09	
0.246	1E-09	
0.248	1E-09	
0.25	1E-09	
0.252	1E-09	
0.254	1E-09	
0.256	1E-09	
0.258	1E-09	
0.26	1E-09	
0.262	1E-09	
0.264	1E-09	
0.266	1E-09	
0.268	1E-09	
0.27	1E-09	
0.272	1E-09	
0.274	1E-09	
0.276	1E-09	
0.278	1E-09	
0.28	1E-09	
0.282	1E-09	
0.284	1E-09	
0.286	1E-09	
0.288	1E-09	
0.29	1E-09	
0.292	1E-09	
0.294	1E-09	
0.296	1E-09	
