Time	FF	Vm	Intrinsic	External	
0	0	0	0	5E-10	
0.002	0	-0.0003	-2E-09	5E-10	
0.004	0	-0.000594	-2E-09	5E-10	
0.006	0	-0.00088212	-2E-09	5E-10	
0.008	0	-0.001164478	-2E-09	5E-10	
0.01	0	-0.001441188	-2E-09	5E-10	
0.012	0	-0.001712364	-2E-09	5E-10	
0.014	0	-0.001978117	-2E-09	5E-10	
0.016	0	-0.002238555	-2E-09	5E-10	
0.018	0	-0.002493784	-2E-09	5E-10	
0.02	0	-0.002743908	-2E-09	5E-10	
0.022	0	-0.00298903	-2E-09	5E-10	
0.024	0	-0.003229249	-2E-09	5E-10	
0.026	0	-0.003464664	-2E-09	5E-10	
0.028	0	-0.003695371	-2E-09	5E-10	
0.03	0	-0.003921464	-2E-09	5E-10	
0.032	0	-0.004143035	-2E-09	5E-10	
0.034	0	-0.004360174	-2E-09	5E-10	
0.036	0	-0.00457297	-2E-09	5E-10	
0.038	0	-0.004781511	-2E-09	5E-10	
0.04	0	-0.004985881	-2E-09	5E-10	
0.042	0	-0.005186163	-2E-09	5E-10	
0.044	0	-0.00538244	-2E-09	5E-10	
0.046	0	-0.005574791	-2E-09	5E-10	
0.048	0	-0.005763295	-2E-09	5E-10	
0.05	0	-0.005948029	-2E-09	5E-10	
0.052	0	-0.006129068	-2E-09	5E-10	
0.054	0	-0.006306487	-2E-09	5E-10	
0.056	0	-0.006480358	-2E-09	5E-10	
0.058	0	-0.006650751	-2E-09	5E-10	
0.06	0	-0.006817736	-2E-09	5E-10	
0.062	0	-0.006981381	-2E-09	5E-10	
0.064	0	-0.007141754	-2E-09	5E-10	
0.066	0	-0.007298918	-2E-09	5E-10	
0.068	0	-0.00745294	-2E-09	5E-10	
0.07	0	-0.007603881	-2E-09	5E-10	
0.072	0	-0.007751804	-2E-09	5E-10	
0.074	0	-0.007896768	-2E-09	5E-10	
0.07600001	0	-0.008038833	-2E-09	5E-10	
0.078	0	-0.008178056	-2E-09	5E-10	
0.08000001	0	-0.008314495	-2E-09	5E-10	
0.082	0	-0.008448205	-2E-09	5E-10	
0.08400001	0	-0.008579241	-2E-09	5E-10	
0.086	0	-0.008707657	-2E-09	5E-10	
0.08800001	0	-0.008833503	-2E-09	5E-10	
0.09	0	-0.008956833	-2E-09	5E-10	
0.09200001	0	-0.009077696	-2E-09	5E-10	
0.094	0	-0.009196142	-2E-09	5E-10	
0.096	0	-0.009312219	-2E-09	5E-10	
0.098	0	-0.009425974	-2E-09	5E-10	
0.1	0	-0.009537455	-2E-09	5E-10	
0.102	0	-0.009646705	-2E-09	5E-10	
0.104	0	-0.009753771	-2E-09	5E-10	
0.106	0	-0.009858696	-2E-09	5E-10	
0.108	0	-0.009961522	-2E-09	5E-10	
0.11	0	-0.01006229	-2E-09	5E-10	
0.112	0	-0.01016105	-2E-09	5E-10	
0.114	0	-0.01025782	-2E-09	5E-10	
0.116	0	-0.01035267	-2E-09	5E-10	
0.118	0	-0.01044561	-2E-09	5E-10	
0.12	0	-0.0105367	-2E-09	5E-10	
0.122	0	-0.01062597	-2E-09	5E-10	
0.124	0	-0.01071345	-2E-09	5E-10	
