Time	1Vm	Delayed_Rect_K	Fast_Na	1It	
0	-0.07040016	-4.501241E-11	4.997138E-12	-4.001527E-11	
1E-06	-0.07038199	-4.320382E-11	5.004741E-12	-3.819908E-11	
2E-06	-0.07038283	-4.327824E-11	4.994643E-12	-3.82836E-11	
3E-06	-0.07038281	-4.326709E-11	4.985489E-12	-3.828161E-11	
4E-06	-0.07038283	-4.325987E-11	4.976431E-12	-3.828344E-11	
5E-06	-0.07038285	-4.325244E-11	4.967505E-12	-3.828494E-11	
6E-06	-0.07038286	-4.324507E-11	4.958707E-12	-3.828636E-11	
7E-06	-0.07038287	-4.323769E-11	4.950036E-12	-3.828766E-11	
8E-06	-0.07038289	-4.323036E-11	4.941488E-12	-3.828887E-11	
9E-06	-0.07038289	-4.322298E-11	4.933065E-12	-3.828992E-11	
1E-05	-0.07038291	-4.321566E-11	4.924762E-12	-3.82909E-11	
1.1E-05	-0.07038292	-4.32083E-11	4.916578E-12	-3.829173E-11	
1.2E-05	-0.07038293	-4.320098E-11	4.908511E-12	-3.829247E-11	
1.3E-05	-0.07038294	-4.319366E-11	4.900559E-12	-3.82931E-11	
1.4E-05	-0.07038294	-4.318636E-11	4.892722E-12	-3.829364E-11	
1.5E-05	-0.07038295	-4.317909E-11	4.884996E-12	-3.829409E-11	
1.6E-05	-0.07038295	-4.317179E-11	4.877379E-12	-3.829441E-11	
1.7E-05	-0.07038295	-4.316452E-11	4.869871E-12	-3.829465E-11	
1.8E-05	-0.07038295	-4.315723E-11	4.862471E-12	-3.829476E-11	
1.9E-05	-0.07038295	-4.314998E-11	4.855175E-12	-3.82948E-11	
2E-05	-0.07038295	-4.314273E-11	4.847984E-12	-3.829475E-11	
2.1E-05	-0.07038295	-4.313548E-11	4.840894E-12	-3.829458E-11	
2.2E-05	-0.07038295	-4.312828E-11	4.833904E-12	-3.829437E-11	
2.3E-05	-0.07038295	-4.312104E-11	4.827014E-12	-3.829403E-11	
2.4E-05	-0.07038294	-4.311381E-11	4.820222E-12	-3.829359E-11	
2.5E-05	-0.07038294	-4.310663E-11	4.813525E-12	-3.82931E-11	
2.6E-05	-0.07038293	-4.309941E-11	4.806924E-12	-3.829249E-11	
2.7E-05	-0.07038292	-4.309223E-11	4.800415E-12	-3.829181E-11	
2.8E-05	-0.07038291	-4.308505E-11	4.793998E-12	-3.829105E-11	
2.9E-05	-0.0703829	-4.307788E-11	4.787672E-12	-3.829021E-11	
3E-05	-0.07038289	-4.307072E-11	4.781435E-12	-3.828928E-11	
3.1E-05	-0.07038288	-4.306355E-11	4.775286E-12	-3.828827E-11	
3.2E-05	-0.07038287	-4.305642E-11	4.769224E-12	-3.82872E-11	
3.3E-05	-0.07038286	-4.304928E-11	4.763246E-12	-3.828603E-11	
3.4E-05	-0.07038285	-4.304216E-11	4.757354E-12	-3.828481E-11	
3.5E-05	-0.07038283	-4.303502E-11	4.751544E-12	-3.828347E-11	
3.6E-05	-0.07038282	-4.302791E-11	4.745816E-12	-3.828209E-11	
3.7E-05	-0.0703828	-4.302081E-11	4.740167E-12	-3.828064E-11	
3.8E-05	-0.07038279	-4.301372E-11	4.734598E-12	-3.827912E-11	
3.9E-05	-0.07038277	-4.300662E-11	4.729107E-12	-3.827751E-11	
4E-05	-0.07038276	-4.299953E-11	4.723691E-12	-3.827584E-11	
4.1E-05	-0.07038274	-4.299248E-11	4.718353E-12	-3.827413E-11	
4.2E-05	-0.07038272	-4.298541E-11	4.71309E-12	-3.827232E-11	
4.3E-05	-0.07038271	-4.297836E-11	4.707899E-12	-3.827046E-11	
4.4E-05	-0.07038268	-4.29713E-11	4.702782E-12	-3.826852E-11	
4.5E-05	-0.07038267	-4.296428E-11	4.697735E-12	-3.826654E-11	
4.6E-05	-0.07038265	-4.295722E-11	4.69276E-12	-3.826446E-11	
4.7E-05	-0.07038262	-4.295019E-11	4.687853E-12	-3.826234E-11	
4.8E-05	-0.0703826	-4.294319E-11	4.683014E-12	-3.826017E-11	
4.9E-05	-0.07038257	-4.293618E-11	4.678244E-12	-3.825794E-11	
5E-05	-0.07038255	-4.292917E-11	4.673539E-12	-3.825563E-11	
5.1E-05	-0.07038253	-4.292217E-11	4.668899E-12	-3.825327E-11	
5.2E-05	-0.07038251	-4.291517E-11	4.664324E-12	-3.825085E-11	
5.3E-05	-0.07038248	-4.290818E-11	4.659814E-12	-3.824837E-11	
5.4E-05	-0.07038246	-4.290119E-11	4.655365E-12	-3.824583E-11	
5.5E-05	-0.07038243	-4.289421E-11	4.650978E-12	-3.824323E-11	
