Time	1Vm	Delayed_Rect_K	Fast_Na	1It	
0	-0.07042056	-4.501241E-11	2.957253E-12	-4.205515E-11	
1E-06	-0.0704015	-4.311195E-11	2.962428E-12	-4.014952E-11	
2E-06	-0.07040234	-4.319034E-11	2.956593E-12	-4.023374E-11	
3E-06	-0.07040227	-4.317917E-11	2.951341E-12	-4.022783E-11	
4E-06	-0.07040226	-4.317207E-11	2.946148E-12	-4.022592E-11	
5E-06	-0.07040223	-4.316477E-11	2.941034E-12	-4.022373E-11	
6E-06	-0.07040221	-4.31575E-11	2.935999E-12	-4.02215E-11	
7E-06	-0.07040219	-4.315023E-11	2.931041E-12	-4.021919E-11	
8E-06	-0.07040217	-4.314299E-11	2.926159E-12	-4.021683E-11	
9E-06	-0.07040215	-4.313573E-11	2.921352E-12	-4.021438E-11	
1E-05	-0.07040212	-4.312852E-11	2.916617E-12	-4.02119E-11	
1.1E-05	-0.07040209	-4.312129E-11	2.911955E-12	-4.020934E-11	
1.2E-05	-0.07040207	-4.311409E-11	2.907365E-12	-4.020672E-11	
1.3E-05	-0.07040204	-4.310686E-11	2.902845E-12	-4.020401E-11	
1.4E-05	-0.07040202	-4.309966E-11	2.898395E-12	-4.020127E-11	
1.5E-05	-0.07040198	-4.309245E-11	2.894012E-12	-4.019844E-11	
1.6E-05	-0.07040195	-4.308526E-11	2.889697E-12	-4.019557E-11	
1.7E-05	-0.07040192	-4.307809E-11	2.885447E-12	-4.019264E-11	
1.8E-05	-0.07040189	-4.307091E-11	2.881263E-12	-4.018965E-11	
1.9E-05	-0.07040186	-4.306375E-11	2.877143E-12	-4.018661E-11	
2E-05	-0.07040183	-4.305659E-11	2.873085E-12	-4.01835E-11	
2.1E-05	-0.0704018	-4.304946E-11	2.869091E-12	-4.018037E-11	
2.2E-05	-0.07040177	-4.304231E-11	2.865157E-12	-4.017716E-11	
2.3E-05	-0.07040174	-4.303517E-11	2.861284E-12	-4.017388E-11	
2.4E-05	-0.07040171	-4.302803E-11	2.857469E-12	-4.017055E-11	
2.5E-05	-0.07040168	-4.302092E-11	2.853714E-12	-4.01672E-11	
2.6E-05	-0.07040163	-4.301379E-11	2.850017E-12	-4.016378E-11	
2.7E-05	-0.0704016	-4.30067E-11	2.846375E-12	-4.016032E-11	
2.8E-05	-0.07040156	-4.299957E-11	2.84279E-12	-4.015678E-11	
2.9E-05	-0.07040153	-4.299248E-11	2.83926E-12	-4.015322E-11	
3E-05	-0.0704015	-4.298537E-11	2.835785E-12	-4.014959E-11	
3.1E-05	-0.07040146	-4.297833E-11	2.832362E-12	-4.014597E-11	
3.2E-05	-0.07040142	-4.297126E-11	2.828992E-12	-4.014226E-11	
3.3E-05	-0.07040139	-4.29642E-11	2.825674E-12	-4.013853E-11	
3.4E-05	-0.07040134	-4.295714E-11	2.822407E-12	-4.013473E-11	
3.5E-05	-0.0704013	-4.295008E-11	2.819191E-12	-4.013089E-11	
3.6E-05	-0.07040127	-4.294303E-11	2.816025E-12	-4.0127E-11	
3.7E-05	-0.07040123	-4.293599E-11	2.812907E-12	-4.012308E-11	
3.8E-05	-0.07040119	-4.292895E-11	2.809838E-12	-4.011911E-11	
3.9E-05	-0.07040115	-4.292194E-11	2.806815E-12	-4.011513E-11	
4E-05	-0.07040111	-4.29149E-11	2.80384E-12	-4.011106E-11	
4.1E-05	-0.07040107	-4.290791E-11	2.800911E-12	-4.0107E-11	
4.2E-05	-0.07040103	-4.290089E-11	2.798027E-12	-4.010287E-11	
4.3E-05	-0.07040098	-4.289387E-11	2.795188E-12	-4.009868E-11	
4.4E-05	-0.07040095	-4.28869E-11	2.792393E-12	-4.009451E-11	
4.5E-05	-0.0704009	-4.28799E-11	2.789641E-12	-4.009026E-11	
4.6E-05	-0.07040086	-4.287293E-11	2.786931E-12	-4.0086E-11	
4.7E-05	-0.07040082	-4.286596E-11	2.784265E-12	-4.008169E-11	
4.8E-05	-0.07040077	-4.2859E-11	2.781639E-12	-4.007737E-11	
4.9E-05	-0.07040073	-4.285205E-11	2.779055E-12	-4.0073E-11	
5E-05	-0.07040069	-4.28451E-11	2.776511E-12	-4.006859E-11	
5.1E-05	-0.07040064	-4.283811E-11	2.774007E-12	-4.006411E-11	
5.2E-05	-0.0704006	-4.283118E-11	2.771542E-12	-4.005963E-11	
5.3E-05	-0.07040055	-4.282424E-11	2.769116E-12	-4.005513E-11	
5.4E-05	-0.07040051	-4.281734E-11	2.766727E-12	-4.005061E-11	
5.5E-05	-0.07040046	-4.281043E-11	2.764377E-12	-4.004605E-11	
5.6E-05	-0.07040042	-4.28035E-11	2.762063E-12	-4.004144E-11	
5.7E-05	-0.07040036	-4.279659E-11	2.759786E-12	-4.00368E-11	
5.8E-05	-0.07040032	-4.278967E-11	2.757545E-12	-4.003213E-11	
5.9E-05	-0.07040028	-4.278277E-11	2.755339E-12	-4.002743E-11	
6E-05	-0.07040023	-4.277587E-11	2.753168E-12	-4.00227E-11	
6.1E-05	-0.07040018	-4.276901E-11	2.751032E-12	-4.001798E-11	
6.2E-05	-0.07040013	-4.276214E-11	2.748929E-12	-4.001321E-11	
6.3E-05	-0.07040009	-4.275526E-11	2.74686E-12	-4.00084E-11	
6.4E-05	-0.07040003	-4.274838E-11	2.744824E-12	-4.000355E-11	
6.5E-05	-0.07039998	-4.274153E-11	2.74282E-12	-3.999871E-11	
6.6E-05	-0.07039994	-4.273466E-11	2.740849E-12	-3.999381E-11	
6.7E-05	-0.07039989	-4.27278E-11	2.738909E-12	-3.998889E-11	
6.8E-05	-0.07039984	-4.2721E-11	2.737E-12	-3.9984E-11	
6.9E-05	-0.07039979	-4.271413E-11	2.735122E-12	-3.997901E-11	
7E-05	-0.07039974	-4.270732E-11	2.733273E-12	-3.997404E-11	
7.1E-05	-0.07039969	-4.270047E-11	2.731456E-12	-3.996901E-11	
7.2E-05	-0.07039964	-4.269366E-11	2.729667E-12	-3.996399E-11	
7.3E-05	-0.07039959	-4.268681E-11	2.727907E-12	-3.99589E-11	
7.4E-05	-0.07039954	-4.268005E-11	2.726175E-12	-3.995387E-11	
