Time	1Vm	Delayed_Rect_K	Fast_Na	1It	
0	-0.07008066	-1.575379E-11	7.687975E-12	-8.065814E-12	
1E-06	-0.07007937	-1.562385E-11	7.687355E-12	-7.936496E-12	
2E-06	-0.07007942	-1.562302E-11	7.681373E-12	-7.941646E-12	
3E-06	-0.07007945	-1.562009E-11	7.675559E-12	-7.944531E-12	
4E-06	-0.07007948	-1.561718E-11	7.669823E-12	-7.94736E-12	
5E-06	-0.0700795	-1.561428E-11	7.664164E-12	-7.95012E-12	
6E-06	-0.07007953	-1.56114E-11	7.65858E-12	-7.952815E-12	
7E-06	-0.07007955	-1.560849E-11	7.653071E-12	-7.955416E-12	
8E-06	-0.07007958	-1.56056E-11	7.647635E-12	-7.957963E-12	
9E-06	-0.0700796	-1.560271E-11	7.642273E-12	-7.960435E-12	
1E-05	-0.07007962	-1.559983E-11	7.636981E-12	-7.962847E-12	
1.1E-05	-0.07007965	-1.559695E-11	7.631761E-12	-7.965188E-12	
1.2E-05	-0.07007968	-1.559407E-11	7.626608E-12	-7.967463E-12	
1.3E-05	-0.0700797	-1.559119E-11	7.621527E-12	-7.969667E-12	
1.4E-05	-0.07007972	-1.558832E-11	7.616511E-12	-7.971812E-12	
1.5E-05	-0.07007974	-1.558545E-11	7.611562E-12	-7.973889E-12	
1.6E-05	-0.07007976	-1.558258E-11	7.60668E-12	-7.975902E-12	
1.7E-05	-0.07007978	-1.557973E-11	7.601863E-12	-7.977862E-12	
1.8E-05	-0.0700798	-1.557686E-11	7.597109E-12	-7.979754E-12	
1.9E-05	-0.07007982	-1.557401E-11	7.59242E-12	-7.981591E-12	
2E-05	-0.07007983	-1.557115E-11	7.587792E-12	-7.983358E-12	
2.1E-05	-0.07007985	-1.556829E-11	7.583227E-12	-7.985063E-12	
2.2E-05	-0.07007986	-1.556544E-11	7.578721E-12	-7.986721E-12	
2.3E-05	-0.07007988	-1.55626E-11	7.574275E-12	-7.988324E-12	
2.4E-05	-0.07007989	-1.555976E-11	7.569887E-12	-7.989869E-12	
2.5E-05	-0.07007991	-1.555692E-11	7.565559E-12	-7.991356E-12	
2.6E-05	-0.07007992	-1.555408E-11	7.561289E-12	-7.992786E-12	
2.7E-05	-0.07007994	-1.555124E-11	7.557075E-12	-7.994165E-12	
2.8E-05	-0.07007995	-1.554841E-11	7.552917E-12	-7.99549E-12	
2.9E-05	-0.07007997	-1.554558E-11	7.548813E-12	-7.996762E-12	
3E-05	-0.07007998	-1.554274E-11	7.544766E-12	-7.997976E-12	
3.1E-05	-0.07008	-1.553992E-11	7.540768E-12	-7.999153E-12	
3.2E-05	-0.07008	-1.55371E-11	7.536825E-12	-8.000272E-12	
3.3E-05	-0.07008002	-1.553428E-11	7.532934E-12	-8.00135E-12	
3.4E-05	-0.07008003	-1.553146E-11	7.529095E-12	-8.002364E-12	
3.5E-05	-0.07008003	-1.552865E-11	7.525306E-12	-8.003342E-12	
3.6E-05	-0.07008004	-1.552584E-11	7.521568E-12	-8.004276E-12	
3.7E-05	-0.07008006	-1.552304E-11	7.51788E-12	-8.005157E-12	
3.8E-05	-0.07008006	-1.552022E-11	7.51424E-12	-8.005982E-12	
3.9E-05	-0.07008007	-1.551742E-11	7.510649E-12	-8.006771E-12	
4E-05	-0.07008008	-1.551462E-11	7.507105E-12	-8.00751E-12	
4.1E-05	-0.07008009	-1.551182E-11	7.503608E-12	-8.008211E-12	
4.2E-05	-0.07008009	-1.550902E-11	7.500155E-12	-8.008868E-12	
4.3E-05	-0.07008009	-1.550624E-11	7.49675E-12	-8.009489E-12	
4.4E-05	-0.0700801	-1.550344E-11	7.493388E-12	-8.010054E-12	
4.5E-05	-0.07008011	-1.550066E-11	7.490072E-12	-8.010584E-12	
4.6E-05	-0.07008011	-1.549787E-11	7.486798E-12	-8.011069E-12	
4.7E-05	-0.07008012	-1.549509E-11	7.483568E-12	-8.011524E-12	
4.8E-05	-0.07008012	-1.549231E-11	7.480378E-12	-8.011927E-12	
4.9E-05	-0.07008012	-1.548953E-11	7.477232E-12	-8.012297E-12	
5E-05	-0.07008012	-1.548675E-11	7.474127E-12	-8.012624E-12	
5.1E-05	-0.07008013	-1.548398E-11	7.471065E-12	-8.012919E-12	
5.2E-05	-0.07008013	-1.54812E-11	7.468041E-12	-8.013164E-12	
5.3E-05	-0.07008013	-1.547844E-11	7.465057E-12	-8.013379E-12	
5.4E-05	-0.07008014	-1.547568E-11	7.462112E-12	-8.013566E-12	
5.5E-05	-0.07008014	-1.54729E-11	7.459208E-12	-8.013688E-12	
5.6E-05	-0.07008014	-1.547014E-11	7.456338E-12	-8.013797E-12	
5.7E-05	-0.07008014	-1.546738E-11	7.453508E-12	-8.013869E-12	
5.8E-05	-0.07008014	-1.546462E-11	7.450715E-12	-8.013904E-12	
5.9E-05	-0.07008014	-1.546187E-11	7.44796E-12	-8.013908E-12	
6E-05	-0.07008014	-1.545912E-11	7.445238E-12	-8.013881E-12	
6.1E-05	-0.07008014	-1.545637E-11	7.442554E-12	-8.013814E-12	
6.2E-05	-0.07008014	-1.545362E-11	7.439903E-12	-8.013713E-12	
6.3E-05	-0.07008014	-1.545087E-11	7.437289E-12	-8.013585E-12	
6.4E-05	-0.07008013	-1.544813E-11	7.434708E-12	-8.013422E-12	
6.5E-05	-0.07008013	-1.544541E-11	7.432162E-12	-8.013251E-12	
6.6E-05	-0.07008013	-1.544267E-11	7.429648E-12	-8.013023E-12	
6.7E-05	-0.07008012	-1.543993E-11	7.427168E-12	-8.012761E-12	
6.8E-05	-0.07008012	-1.543721E-11	7.424721E-12	-8.012485E-12	
6.9E-05	-0.07008012	-1.543447E-11	7.422304E-12	-8.012167E-12	
7E-05	-0.07008012	-1.543174E-11	7.41992E-12	-8.011818E-12	
7.1E-05	-0.07008012	-1.542902E-11	7.417567E-12	-8.011451E-12	
