Time	A	B	BVth	AVth	
0	0	0	0	0	
0.0024	0.0198804	0.0099402	5.980038E-06	1.196008E-05	
0.0048	0.03944318	0.01972159	1.784058E-05	3.568116E-05	
0.0072	0.05869232	0.02934616	3.548335E-05	7.096669E-05	
0.0096	0.07763176	0.03881588	5.881131E-05	0.0001176226	
0.012	0.1145969	0.05729844	0.0001221409	0.0002442817	
0.0144	0.1326302	0.0663151	0.0001619545	0.000323909	
0.0168	0.150369	0.07518452	0.0002070773	0.0004141547	
0.0192	0.1678171	0.08390857	0.0002574184	0.0005148369	
0.0216	0.1849781	0.09248904	0.0003128879	0.0006257758	
0.024	0.2184531	0.1092265	0.0004388583	0.0008777166	
0.0264	0.2347742	0.1173871	0.0005091852	0.00101837	
0.0288	0.2508225	0.1254113	0.0005842925	0.001168585	
0.0312	0.2666014	0.1333007	0.0006640957	0.001328191	
0.0336	0.2821142	0.1410571	0.000748512	0.001497024	
0.036	0.3123554	0.1561777	0.000930856	0.001861712	
0.0384	0.3270903	0.1635451	0.001028623	0.002057245	
0.0408	0.3415725	0.1707863	0.00113068	0.002261361	
0.0432	0.3558052	0.1779026	0.001236951	0.002473902	
0.0456	0.3697916	0.1848958	0.001347358	0.002694716	
0.048	0.3970381	0.1985191	0.001580277	0.003160554	
0.0504	0.4103044	0.2051522	0.001702641	0.003405281	
0.0528	0.4233368	0.2216086	0.001834823	0.003657685	
0.0552	0.4361383	0.2377908	0.001976651	0.003917622	
0.0576	0.4487119	0.2537021	0.002127958	0.004184949	
0.06	0.4731871	0.2847262	0.002458336	0.004741215	
0.0624	0.4850945	0.2998457	0.002637081	0.005029879	
0.0648	0.4967855	0.3147078	0.002824646	0.005325384	
0.0672	0.508263	0.329316	0.003020875	0.005627595	
0.0696	0.5195297	0.3436734	0.003225611	0.005936383	
0.072	0.5414419	0.3716487	0.003659983	0.006573171	
0.0744	0.5520927	0.3852729	0.003889317	0.006900917	
0.0768	0.5625436	0.3986588	0.004126551	0.007234731	
0.0792	0.5727971	0.4118098	0.004371538	0.00757449	
0.0816	0.5828558	0.4247286	0.004624133	0.007920074	
0.084	0.6023993	0.4498818	0.005151579	0.008628239	
0.08639999	0.611889	0.4621221	0.005426149	0.008990585	
0.0888	0.621194	0.4741421	0.005707766	0.009358287	
0.09119999	0.6303168	0.4859446	0.005996296	0.009731231	
0.0936	0.6392598	0.4975325	0.006291604	0.01010931	
0.096	0.6566157	0.5200753	0.006902029	0.01088041	
0.0984	0.6650334	0.5310357	0.007216888	0.01127322	
0.1008	0.6732807	0.5417925	0.007538007	0.01167073	
0.1032	0.6813598	0.5523483	0.007865261	0.01207284	
0.1056	0.6892729	0.5627056	0.008198529	0.01247944	
0.108	0.7046102	0.5828353	0.008882614	0.0133057	
0.1104	0.7120389	0.5926129	0.009233193	0.01372517	
0.1128	0.7193104	0.6022024	0.009589306	0.01414874	
0.1152	0.7264268	0.6116061	0.009950839	0.0145763	
0.1176	0.7333902	0.6208265	0.01031768	0.01500776	
0.12	0.7468665	0.6387274	0.01106682	0.01588203	
0.1224	0.7533835	0.6474126	0.01144891	0.01632465	
0.1248	0.7597556	0.6559241	0.01183586	0.01677081	
0.1272	0.7659848	0.6642641	0.01222757	0.01722042	
0.1296	0.7720732	0.6724351	0.01262394	0.01767339	
0.132	0.7838352	0.6882787	0.01343021	0.01858907	
0.1344	0.7895125	0.6959558	0.01383993	0.01905161	
0.1368	0.7950565	0.7034727	0.01425388	0.01951719	
0.1392	0.8004689	0.7108315	0.01467199	0.0199857	
0.1416	0.8057518	0.7180343	0.01509416	0.02045709	
0.144	0.815936	0.7319806	0.01595026	0.02140813	
0.1464	0.8208407	0.7387282	0.01638402	0.02188764	
0.1488	0.8256229	0.7453282	0.01682146	0.0223697	
0.1512	0.8302842	0.7517824	0.01726249	0.02285425	
0.1536	0.8348264	0.7580931	0.01770702	0.02334121	
0.156	0.84356	0.7702911	0.01860624	0.02432206	
0.1584	0.8477546	0.7761825	0.01906075	0.02481581	
0.1608	0.8518367	0.7819378	0.01951843	0.02531169	
0.1632	0.8558078	0.7875591	0.01997918	0.02580962	
0.1656	0.8596696	0.7930481	0.02044292	0.02630955	
0.168	0.8670709	0.8036368	0.02137907	0.02731511	
0.1704	0.8706136	0.80874	0.02185132	0.02782062	
0.1728	0.874053	0.8137183	0.02232625	0.02832785	
0.1752	0.8773906	0.8185731	0.02280378	0.02883675	
0.1776	0.8806279	0.8233064	0.02328384	0.02934727	
0.18	0.8868072	0.8324151	0.02425125	0.03037287	
0.1824	0.8897521	0.8367937	0.02473845	0.03088784	
0.1848	0.8926024	0.8410575	0.0252279	0.03140419	
0.1872	0.8953593	0.845208	0.02571951	0.03192184	
