Time	Length	Position	Velocity	FF	
0	0	0	0	0	
0.004	0	8.425428E-12	3.395008E-09	0	
0.008	0	3.059756E-11	6.831694E-09	0	
0.012	0	6.651395E-11	1.026739E-08	0	
0.016	0	1.161706E-10	1.370209E-08	0	
0.02	0	1.795644E-10	1.713605E-08	0	
0.024	0	2.566922E-10	2.056949E-08	0	
0.028	0	3.475523E-10	2.400221E-08	0	
0.032	0	4.521423E-10	2.743466E-08	0	
0.036	0	5.704618E-10	3.086688E-08	0	
0.04	0	7.02508E-10	3.429835E-08	0	
0.044	0	8.482801E-10	3.772982E-08	0	
0.048	0	1.007778E-09	4.116128E-08	0	
0.052	0	1.181002E-09	4.459275E-08	0	
0.056	0	1.367952E-09	4.802422E-08	0	
0.06	0	1.568625E-09	5.14547E-08	0	
0.064	0	1.78302E-09	5.488517E-08	0	
0.068	0	2.011137E-09	5.831564E-08	0	
0.072	0	2.252975E-09	6.174611E-08	0	
0.07600001	0	2.508536E-09	6.517659E-08	0	
0.08000001	0	2.777819E-09	6.860706E-08	0	
0.08400001	0	3.060823E-09	7.203753E-08	0	
0.08800001	0	3.357549E-09	7.5468E-08	0	
0.09200001	0	3.667997E-09	7.889847E-08	0	
0.096	0	3.992167E-09	8.232895E-08	0	
0.1	0	4.33006E-09	8.575942E-08	0	
0.104	0	4.681674E-09	8.918989E-08	0	
0.108	0	5.047009E-09	9.262036E-08	0	
0.112	0	5.426067E-09	9.605083E-08	0	
0.116	0	5.818847E-09	9.94813E-08	0	
0.12	0	6.225348E-09	1.029118E-07	0	
0.124	0	6.645571E-09	1.063422E-07	0	
0.128	0	7.079517E-09	1.097727E-07	0	
0.132	0	7.527183E-09	1.132032E-07	0	
0.136	0	7.988572E-09	1.166337E-07	0	
0.14	0	8.463683E-09	1.200641E-07	0	
0.144	0	8.952516E-09	1.234946E-07	0	
0.148	0	9.455071E-09	1.26925E-07	0	
0.152	0	9.971346E-09	1.303555E-07	0	
0.156	0	1.050134E-08	1.337859E-07	0	
0.16	0	1.104506E-08	1.372163E-07	0	
0.164	0	1.160251E-08	1.406468E-07	0	
0.168	0	1.217367E-08	1.440772E-07	0	
0.172	0	1.275855E-08	1.475077E-07	0	
0.176	0	1.335716E-08	1.509381E-07	0	
0.18	0	1.396949E-08	1.543686E-07	0	
0.184	0	1.459554E-08	1.57799E-07	0	
0.188	0	1.523531E-08	1.612295E-07	0	
0.192	0	1.58888E-08	1.646599E-07	0	
0.196	0	1.655602E-08	1.680903E-07	0	
0.2	0	1.723696E-08	1.715208E-07	0	
0.204	0	1.793162E-08	1.749512E-07	0	
0.208	0	1.864E-08	1.783817E-07	0	
0.212	0	1.93621E-08	1.818121E-07	0	
0.216	0	2.009793E-08	1.852426E-07	0	
0.22	0	2.084747E-08	1.88673E-07	0	
0.224	0	2.161074E-08	1.921034E-07	0	
0.228	0	2.238773E-08	1.955339E-07	0	
0.232	0	2.317844E-08	1.989643E-07	0	
0.236	0	2.398287E-08	2.023948E-07	0	
0.24	0	2.480103E-08	2.058252E-07	0	
0.244	0	2.563291E-08	2.092557E-07	0	
0.248	0	2.647851E-08	2.126861E-07	0	
0.252	0	2.733783E-08	2.161165E-07	0	
0.256	0	2.821087E-08	2.19547E-07	0	
0.26	0	2.909763E-08	2.229774E-07	0	
0.264	0	2.999812E-08	2.264079E-07	0	
0.268	0	3.091233E-08	2.298383E-07	0	
0.272	0	3.184026E-08	2.332688E-07	0	
0.276	0	3.278191E-08	2.366992E-07	0	
0.28	0	3.373729E-08	2.401297E-07	0	
0.284	0	3.470638E-08	2.435602E-07	0	
0.288	0	3.56892E-08	2.469907E-07	0	
0.292	0	3.668574E-08	2.504212E-07	0	
0.296	0	3.7696E-08	2.538517E-07	0	
0.3	0	3.871998E-08	2.572822E-07	0	
0.304	0	3.975769E-08	2.607127E-07	0	
0.308	0	4.080912E-08	2.641432E-07	0	
0.312	0	4.187426E-08	2.675737E-07	0	
0.316	0	4.295314E-08	2.710042E-07	0	
0.32	0	4.404573E-08	2.744347E-07	0	
0.324	0	4.515204E-08	2.778652E-07	0	
0.328	0	4.627208E-08	2.812957E-07	0	
0.332	0	4.740584E-08	2.847262E-07	0	
0.336	0	4.855332E-08	2.881567E-07	0	
0.34	0	4.971452E-08	2.915872E-07	0	
0.344	0	5.088945E-08	2.950177E-07	0	
0.348	0	5.20781E-08	2.984482E-07	0	
0.352	0	5.328046E-08	3.018787E-07	0	
0.356	0	5.449656E-08	3.053092E-07	0	
0.36	0	5.572637E-08	3.087397E-07	0	
0.364	0	5.69699E-08	3.121702E-07	0	
0.368	0	5.822716E-08	3.156007E-07	0	
0.372	0	5.949814E-08	3.190312E-07	0	
0.376	0	6.078284E-08	3.224617E-07	0	
0.38	0	6.208126E-08	3.258922E-07	0	
0.384	0	6.339341E-08	3.293227E-07	0	
0.388	0	6.471927E-08	3.327532E-07	0	
0.392	0	6.605887E-08	3.361837E-07	0	
0.396	0	6.741217E-08	3.396142E-07	0	
0.4	0	6.877921E-08	3.430447E-07	0	
0.404	0	7.015996E-08	3.464752E-07	0	
0.408	0	7.155444E-08	3.499057E-07	0	
0.412	0	7.296264E-08	3.533362E-07	0	
0.416	0	7.438456E-08	3.567667E-07	0	
0.42	0	7.58202E-08	3.601972E-07	0	
0.424	0	7.726957E-08	3.636277E-07	0	
0.428	0	7.873265E-08	3.670582E-07	0	
0.432	0	8.020947E-08	3.704887E-07	0	
0.436	0	8.169999E-08	3.739192E-07	0	
0.44	0	8.320425E-08	3.773497E-07	0	
0.444	0	8.472222E-08	3.807802E-07	0	
0.448	0	8.625392E-08	3.842107E-07	0	
0.452	0	8.779934E-08	3.876412E-07	0	
0.456	0	8.935848E-08	3.910717E-07	0	
0.46	0	9.093134E-08	3.945022E-07	0	
0.464	0	9.251793E-08	3.979327E-07	0	
0.468	0	9.411823E-08	4.013632E-07	0	
0.472	0	9.573227E-08	4.047937E-07	0	
0.476	0	9.736002E-08	4.082242E-07	0	
0.48	0	9.900149E-08	4.116547E-07	0	
0.484	0	1.006567E-07	4.150852E-07	0	
0.488	0	1.023256E-07	4.185157E-07	0	
0.492	0	1.040082E-07	4.219462E-07	0	
0.496	0	1.057046E-07	4.253767E-07	0	
0.5	0	1.074147E-07	4.288072E-07	0	
0.504	0	1.091385E-07	4.322377E-07	0	
0.508	0	1.10876E-07	4.356682E-07	0	
0.512	0	1.126273E-07	4.390987E-07	0	
0.516	0	1.143922E-07	4.425292E-07	0	
0.52	0	1.161709E-07	4.459597E-07	0	
0.524	0	1.179633E-07	4.493902E-07	0	
0.528	0	1.197695E-07	4.528207E-07	0	
0.532	0	1.215893E-07	4.562512E-07	0	
0.536	0	1.234229E-07	4.596817E-07	0	
0.54	0	1.252702E-07	4.631122E-07	0	
0.544	0	1.271313E-07	4.665427E-07	0	
0.548	0	1.29006E-07	4.699732E-07	0	
0.552	0	1.308945E-07	4.734037E-07	0	
0.5560001	0	1.327967E-07	4.768342E-07	0	
0.56	0	1.347126E-07	4.802646E-07	0	
0.564	0	1.366422E-07	4.83695E-07	0	
0.568	0	1.385856E-07	4.871254E-07	0	
0.572	0	1.405426E-07	4.905557E-07	0	
0.576	0	1.425134E-07	4.939861E-07	0	
0.58	0	1.44498E-07	4.974165E-07	0	
0.5840001	0	1.464962E-07	5.008469E-07	0	
0.588	0	1.485082E-07	5.042773E-07	0	
0.592	0	1.505339E-07	5.077077E-07	0	
0.596	0	1.525733E-07	5.111381E-07	0	
0.6	0	1.546264E-07	5.145685E-07	0	
0.604	0	1.566932E-07	5.179988E-07	0	
0.608	0	1.587738E-07	5.214292E-07	0	
0.612	0	1.608681E-07	5.248596E-07	0	
0.6160001	0	1.629761E-07	5.2829E-07	0	
0.62	0	1.650978E-07	5.317204E-07	0	
0.624	0	1.672333E-07	5.351508E-07	0	
0.628	0	1.693825E-07	5.385812E-07	0	
0.632	0	1.715454E-07	5.420115E-07	0	
0.636	0	1.73722E-07	5.454419E-07	0	
0.64	0	1.759123E-07	5.488723E-07	0	
0.6440001	0	1.781164E-07	5.523027E-07	0	
0.648	0	1.803342E-07	5.557331E-07	0	
0.652	0	1.825657E-07	5.591635E-07	0	
0.656	0	1.848109E-07	5.625939E-07	0	
0.66	0	1.870699E-07	5.660243E-07	0	
0.664	0	1.893425E-07	5.694546E-07	0	
0.668	0	1.916289E-07	5.72885E-07	0	
0.6720001	0	1.939291E-07	5.763154E-07	0	
0.6760001	0	1.962429E-07	5.797458E-07	0	
0.68	0	1.985705E-07	5.831762E-07	0	
0.684	0	2.009117E-07	5.866066E-07	0	
0.688	0	2.032667E-07	5.90037E-07	0	
0.692	0	2.056355E-07	5.934673E-07	0	
0.696	0	2.080179E-07	5.968977E-07	0	
0.7	0	2.104141E-07	6.003281E-07	0	
0.7040001	0	2.12824E-07	6.037585E-07	0	
0.708	0	2.152476E-07	6.071889E-07	0	
0.712	0	2.176849E-07	6.106193E-07	0	
0.716	0	2.20136E-07	6.140497E-07	0	
0.72	0	2.226007E-07	6.174801E-07	0	
0.724	0	2.250792E-07	6.209104E-07	0	
0.728	0	2.275715E-07	6.243408E-07	0	
0.7320001	0	2.300774E-07	6.277712E-07	0	
0.7360001	0	2.325971E-07	6.312016E-07	0	
0.74	0	2.351304E-07	6.34632E-07	0	
0.744	0	2.376776E-07	6.380624E-07	0	
0.748	0	2.402384E-07	6.414928E-07	0	
0.752	0	2.428129E-07	6.449231E-07	0	
0.756	0	2.454012E-07	6.483535E-07	0	
0.7600001	0	2.480032E-07	6.517839E-07	0	
0.7640001	0	2.506189E-07	6.552143E-07	0	
0.768	0	2.532483E-07	6.586447E-07	0	
0.772	0	2.558915E-07	6.620751E-07	0	
0.776	0	2.585484E-07	6.655055E-07	0	
0.78	0	2.61219E-07	6.689359E-07	0	
0.784	0	2.639033E-07	6.723662E-07	0	
0.788	0	2.666013E-07	6.757966E-07	0	
0.7920001	0	2.693131E-07	6.79227E-07	0	
0.7960001	0	2.720386E-07	6.826574E-07	0	
0.8	0	2.747778E-07	6.860878E-07	0	
0.804	0	2.775307E-07	6.895182E-07	0	
0.808	0	2.802974E-07	6.929486E-07	0	
0.812	0	2.830777E-07	6.963789E-07	0	
0.816	0	2.858718E-07	6.998093E-07	0	
0.8200001	0	2.886796E-07	7.032397E-07	0	
0.8240001	0	2.915012E-07	7.066701E-07	0	
0.8280001	0	2.943364E-07	7.101005E-07	0	
0.832	0	2.971854E-07	7.135309E-07	0	
0.836	0	3.000481E-07	7.169613E-07	0	
0.84	0	3.029245E-07	7.203917E-07	0	
0.844	0	3.058147E-07	7.23822E-07	0	
0.848	0	3.087185E-07	7.272524E-07	0	
0.8520001	0	3.116361E-07	7.306828E-07	0	
0.8560001	0	3.145674E-07	7.341132E-07	0	
0.86	0	3.175124E-07	7.375436E-07	0	
0.864	0	3.204712E-07	7.40974E-07	0	
0.868	0	3.234437E-07	7.444044E-07	0	
0.872	0	3.264299E-07	7.478347E-07	0	
0.876	0	3.294298E-07	7.512651E-07	0	
0.8800001	0	3.324434E-07	7.546955E-07	0	
0.8840001	0	3.354708E-07	7.581259E-07	0	
0.8880001	0	3.385119E-07	7.615563E-07	0	
0.892	0	3.415666E-07	7.649867E-07	0	
0.896	0	3.446352E-07	7.684171E-07	0	
0.9	0	3.477174E-07	7.718475E-07	0	
0.904	0	3.508134E-07	7.752778E-07	0	
0.9080001	0	3.53923E-07	7.787082E-07	0	
0.9120001	0	3.570465E-07	7.821386E-07	0	
0.9160001	0	3.601836E-07	7.85569E-07	0	
0.92	0	3.633344E-07	7.889994E-07	0	
0.924	0	3.66499E-07	7.924298E-07	0	
0.928	0	3.696773E-07	7.958602E-07	0	
0.932	0	3.728693E-07	7.992905E-07	0	
0.936	0	3.760751E-07	8.027209E-07	0	
0.9400001	0	3.792945E-07	8.061513E-07	0	
0.9440001	0	3.825277E-07	8.095817E-07	0	
0.9480001	0	3.857746E-07	8.130121E-07	0	
0.952	0	3.890352E-07	8.164425E-07	0	
0.956	0	3.923096E-07	8.198729E-07	0	
0.96	0	3.955976E-07	8.233033E-07	0	
0.964	0	3.988994E-07	8.267336E-07	0	
0.9680001	0	4.022149E-07	8.30164E-07	0	
0.9720001	0	4.055441E-07	8.335944E-07	0	
0.9760001	0	4.088871E-07	8.370248E-07	0	
0.98	0	4.122438E-07	8.404552E-07	0	
0.984	0	4.156142E-07	8.438856E-07	0	
0.988	0	4.189983E-07	8.47316E-07	0	
0.992	0	4.223961E-07	8.507463E-07	0	
0.9960001	0	4.258077E-07	8.541767E-07	0	
1	0	4.29233E-07	8.576071E-07	0	
1.004	0	4.32672E-07	8.610375E-07	0	
1.008	0	4.361247E-07	8.644679E-07	0	
1.012	0	4.395911E-07	8.678983E-07	0	
1.016	0	4.430713E-07	8.713287E-07	0	
1.02	0	4.465652E-07	8.747591E-07	0	
1.024	0	4.500728E-07	8.781894E-07	0	
1.028	0	4.535942E-07	8.816198E-07	0	
1.032	0	4.571292E-07	8.850502E-07	0	
1.036	0	4.60678E-07	8.884806E-07	0	
1.04	0	4.642405E-07	8.91911E-07	0	
1.044	0	4.678167E-07	8.953414E-07	0	
1.048	0	4.714067E-07	8.987718E-07	0	
1.052	0	4.750103E-07	9.022021E-07	0	
1.056	0	4.786277E-07	9.056325E-07	0	
1.06	0	4.822588E-07	9.090629E-07	0	
1.064	0	4.859036E-07	9.124933E-07	0	
1.068	0	4.895622E-07	9.159237E-07	0	
1.072	0	4.932344E-07	9.193541E-07	0	
1.076	0	4.969204E-07	9.227845E-07	0	
1.08	0	5.006202E-07	9.262149E-07	0	
1.084	0	5.043335E-07	9.296452E-07	0	
1.088	0	5.080607E-07	9.330756E-07	0	
1.092	0	5.118016E-07	9.36506E-07	0	
1.096	0	5.155562E-07	9.399364E-07	0	
1.1	0	5.193245E-07	9.433668E-07	0	
1.104	0	5.231066E-07	9.467972E-07	0	
1.108	0	5.269023E-07	9.502276E-07	0	
1.112	0	5.307118E-07	9.536579E-07	0	
1.116	0	5.34535E-07	9.570886E-07	0	
1.12	0	5.383719E-07	9.605192E-07	0	
1.124	0	5.422226E-07	9.639498E-07	0	
1.128	0	5.460869E-07	9.673804E-07	0	
1.132	0	5.499651E-07	9.70811E-07	0	
1.136	0	5.538569E-07	9.742416E-07	0	
1.14	0	5.577624E-07	9.776722E-07	0	
1.144	0	5.616817E-07	9.811029E-07	0	
1.148	0	5.656147E-07	9.845335E-07	0	
1.152	0	5.695613E-07	9.879641E-07	0	
1.156	0	5.735218E-07	9.913947E-07	0	
1.16	0	5.77496E-07	9.948253E-07	0	
1.164	0	5.814838E-07	9.982559E-07	0	
1.168	0	5.854855E-07	1.001687E-06	0	
1.172	0	5.895008E-07	1.005117E-06	0	
1.176	0	5.935298E-07	1.008548E-06	0	
1.18	0	5.975726E-07	1.011978E-06	0	
1.184	0	6.016291E-07	1.015409E-06	0	
1.188	0	6.056993E-07	1.01884E-06	0	
1.192	0	6.097833E-07	1.02227E-06	0	
1.196	0	6.138809E-07	1.025701E-06	0	
1.2	0	6.179923E-07	1.029131E-06	0	
1.204	0	6.221174E-07	1.032562E-06	0	
1.208	0	6.262562E-07	1.035993E-06	0	
1.212	0	6.304087E-07	1.039423E-06	0	
1.216	0	6.34575E-07	1.042854E-06	0	
1.22	0	6.38755E-07	1.046285E-06	0	
1.224	0	6.429487E-07	1.049715E-06	0	
1.228	0	6.471562E-07	1.053146E-06	0	
1.232	0	6.513773E-07	1.056576E-06	0	
1.236	0	6.556122E-07	1.060007E-06	0	
1.24	0	6.598608E-07	1.063438E-06	0	
1.244	0	6.641231E-07	1.066868E-06	0	
1.248	0	6.683992E-07	1.070299E-06	0	
1.252	0	6.726889E-07	1.073729E-06	0	
1.256	0	6.769924E-07	1.07716E-06	0	
1.26	0	6.813097E-07	1.080591E-06	0	
1.264	0	6.856406E-07	1.084021E-06	0	
1.268	0	6.899853E-07	1.087452E-06	0	
1.272	0	6.943437E-07	1.090883E-06	0	
1.276	0	6.987157E-07	1.094313E-06	0	
1.28	0	7.031016E-07	1.097744E-06	0	
1.284	0	7.075012E-07	1.101174E-06	0	
1.288	0	7.119144E-07	1.104605E-06	0	
1.292	0	7.163414E-07	1.108036E-06	0	
1.296	0	7.207822E-07	1.111466E-06	0	
1.3	0	7.252365E-07	1.114897E-06	0	
1.304	0	7.297048E-07	1.118327E-06	0	
1.308	0	7.341866E-07	1.121758E-06	0	
1.312	0	7.386822E-07	1.125189E-06	0	
1.316	0	7.431916E-07	1.128619E-06	0	
1.32	0	7.477146E-07	1.13205E-06	0	
1.324	0	7.522514E-07	1.13548E-06	0	
1.328	0	7.568019E-07	1.138911E-06	0	
1.332	0	7.613661E-07	1.142342E-06	0	
1.336	0	7.65944E-07	1.145772E-06	0	
1.34	0	7.705357E-07	1.149203E-06	0	
1.344	0	7.751411E-07	1.152634E-06	0	
1.348	0	7.797602E-07	1.156064E-06	0	
1.352	0	7.843931E-07	1.159495E-06	0	
1.356	0	7.890396E-07	1.162925E-06	0	
1.36	0	7.936999E-07	1.166356E-06	0	
1.364	0	7.983739E-07	1.169787E-06	0	
1.368	0	8.030615E-07	1.173217E-06	0	
1.372	0	8.077631E-07	1.176648E-06	0	
1.376	0	8.124782E-07	1.180078E-06	0	
1.38	0	8.172071E-07	1.183509E-06	0	
1.384	0	8.219498E-07	1.18694E-06	0	
1.388	0	8.267061E-07	1.19037E-06	0	
1.392	0	8.314761E-07	1.193801E-06	0	
1.396	0	8.362599E-07	1.197232E-06	0	
1.4	0	8.410574E-07	1.200662E-06	0	
1.404	0	8.458686E-07	1.204093E-06	0	
1.408	0	8.506936E-07	1.207523E-06	0	
1.412	0	8.555322E-07	1.210954E-06	0	
1.416	0	8.603847E-07	1.214385E-06	0	
1.42	0	8.652508E-07	1.217815E-06	0	
1.424	0	8.701306E-07	1.221246E-06	0	
1.428	0	8.750242E-07	1.224676E-06	0	
1.432	0	8.799315E-07	1.228107E-06	0	
1.436	0	8.848524E-07	1.231538E-06	0	
1.44	0	8.897872E-07	1.234968E-06	0	
1.444	0	8.947356E-07	1.238399E-06	0	
1.448	0	8.996977E-07	1.24183E-06	0	
1.452	0	9.046737E-07	1.24526E-06	0	
1.456	0	9.096633E-07	1.248691E-06	0	
1.46	0	9.146666E-07	1.252121E-06	0	
1.464	0	9.196837E-07	1.255552E-06	0	
1.468	0	9.247145E-07	1.258983E-06	0	
1.472	0	9.29759E-07	1.262413E-06	0	
1.476	0	9.348173E-07	1.265844E-06	0	
1.48	0	9.398892E-07	1.269274E-06	0	
1.484	0	9.449748E-07	1.272705E-06	0	
1.488	0	9.500743E-07	1.276136E-06	0	
1.492	0	9.551874E-07	1.279566E-06	0	
1.496	0	9.603142E-07	1.282997E-06	0	
1.5	0	9.654548E-07	1.286428E-06	0	
1.504	0	9.706091E-07	1.289858E-06	0	
1.508	0	9.757771E-07	1.293289E-06	0	
1.512	0	9.809588E-07	1.296719E-06	0	
1.516	0	9.861543E-07	1.30015E-06	0	
1.52	0	9.913634E-07	1.303581E-06	0	
1.524	0	9.965864E-07	1.307011E-06	0	
1.528	0	1.001823E-06	1.310442E-06	0	
1.532	0	1.007073E-06	1.313872E-06	0	
1.536	0	1.012337E-06	1.317303E-06	0	
1.54	0	1.017615E-06	1.320734E-06	0	
1.544	0	1.022907E-06	1.324164E-06	0	
1.548	0	1.028212E-06	1.327595E-06	0	
1.552	0	1.033531E-06	1.331025E-06	0	
1.556	0	1.038864E-06	1.334456E-06	0	
1.56	0	1.04421E-06	1.337887E-06	0	
1.564	0	1.04957E-06	1.341317E-06	0	
1.568	0	1.054944E-06	1.344748E-06	0	
1.572	0	1.060332E-06	1.348179E-06	0	
1.576	0	1.065733E-06	1.351609E-06	0	
1.58	0	1.071148E-06	1.35504E-06	0	
1.584	0	1.076577E-06	1.35847E-06	0	
1.588	0	1.082019E-06	1.361901E-06	0	
1.592	0	1.087475E-06	1.365332E-06	0	
1.596	0	1.092945E-06	1.368762E-06	0	
1.6	0	1.098429E-06	1.372193E-06	0	
1.604	0	1.103926E-06	1.375623E-06	0	
1.608	0	1.109437E-06	1.379054E-06	0	
1.612	0	1.114962E-06	1.382485E-06	0	
1.616	0	1.1205E-06	1.385915E-06	0	
1.62	0	1.126053E-06	1.389346E-06	0	
1.624	0	1.131619E-06	1.392777E-06	0	
1.628	0	1.137198E-06	1.396207E-06	0	
1.632	0	1.142792E-06	1.399638E-06	0	
1.636	0	1.148399E-06	1.403068E-06	0	
1.64	0	1.15402E-06	1.406499E-06	0	
1.644	0	1.159654E-06	1.40993E-06	0	
1.648	0	1.165303E-06	1.41336E-06	0	
1.652	0	1.170965E-06	1.416791E-06	0	
1.656	0	1.17664E-06	1.420221E-06	0	
1.66	0	1.18233E-06	1.423652E-06	0	
1.664	0	1.188033E-06	1.427083E-06	0	
1.668	0	1.19375E-06	1.430513E-06	0	
1.672	0	1.19948E-06	1.433944E-06	0	
1.676	0	1.205225E-06	1.437375E-06	0	
1.68	0	1.210983E-06	1.440805E-06	0	
1.684	0	1.216755E-06	1.444236E-06	0	
1.688	0	1.22254E-06	1.447666E-06	0	
1.692	0	1.228339E-06	1.451097E-06	0	
1.696	0	1.234152E-06	1.454528E-06	0	
1.7	0	1.239979E-06	1.457958E-06	0	
1.704	0	1.24582E-06	1.461389E-06	0	
1.708	0	1.251674E-06	1.464819E-06	0	
1.712	0	1.257542E-06	1.46825E-06	0	
1.716	0	1.263423E-06	1.471681E-06	0	
1.72	0	1.269318E-06	1.475111E-06	0	
1.724	0	1.275227E-06	1.478542E-06	0	
1.728	0	1.28115E-06	1.481973E-06	0	
1.732	0	1.287087E-06	1.485403E-06	0	
1.736	0	1.293037E-06	1.488834E-06	0	
1.74	0	1.299001E-06	1.492264E-06	0	
1.744	0	1.304978E-06	1.495695E-06	0	
1.748	0	1.31097E-06	1.499126E-06	0	
1.752	0	1.316975E-06	1.502556E-06	0	
1.756	0	1.322994E-06	1.505987E-06	0	
1.76	0	1.329026E-06	1.509417E-06	0	
1.764	0	1.335072E-06	1.512848E-06	0	
1.768	0	1.341132E-06	1.516279E-06	0	
1.772	0	1.347206E-06	1.519709E-06	0	
1.776	0	1.353294E-06	1.52314E-06	0	
1.78	0	1.359395E-06	1.52657E-06	0	
1.784	0	1.365509E-06	1.530001E-06	0	
1.788	0	1.371638E-06	1.533432E-06	0	
1.792	0	1.37778E-06	1.536862E-06	0	
1.796	0	1.383936E-06	1.540293E-06	0	
1.8	0	1.390106E-06	1.543724E-06	0	
1.804	0	1.39629E-06	1.547154E-06	0	
1.808	0	1.402487E-06	1.550585E-06	0	
1.812	0	1.408698E-06	1.554015E-06	0	
1.816	0	1.414922E-06	1.557446E-06	0	
1.82	0	1.421161E-06	1.560877E-06	0	
1.824	0	1.427413E-06	1.564307E-06	0	
1.828	0	1.433679E-06	1.567738E-06	0	
1.832	0	1.439958E-06	1.571168E-06	0	
1.836	0	1.446251E-06	1.574599E-06	0	
1.84	0	1.452558E-06	1.57803E-06	0	
1.844	0	1.458879E-06	1.58146E-06	0	
1.848	0	1.465213E-06	1.584891E-06	0	
1.852	0	1.471562E-06	1.588322E-06	0	
1.856	0	1.477923E-06	1.591752E-06	0	
1.86	0	1.484299E-06	1.595183E-06	0	
1.864	0	1.490688E-06	1.598613E-06	0	
1.868	0	1.497091E-06	1.602044E-06	0	
1.872	0	1.503508E-06	1.605475E-06	0	
1.876	0	1.509939E-06	1.608905E-06	0	
1.88	0	1.516383E-06	1.612336E-06	0	
1.884	0	1.522841E-06	1.615766E-06	0	
1.888	0	1.529312E-06	1.619197E-06	0	
1.892	0	1.535798E-06	1.622628E-06	0	
1.896	0	1.542297E-06	1.626058E-06	0	
1.9	0	1.54881E-06	1.629489E-06	0	
1.904	0	1.555336E-06	1.63292E-06	0	
1.908	0	1.561876E-06	1.63635E-06	0	
1.912	0	1.56843E-06	1.639781E-06	0	
1.916	0	1.574998E-06	1.643211E-06	0	
1.92	0	1.581579E-06	1.646642E-06	0	
1.924	0	1.588175E-06	1.650073E-06	0	
1.928	0	1.594783E-06	1.653503E-06	0	
1.932	0	1.601406E-06	1.656934E-06	0	
1.936	0	1.608042E-06	1.660364E-06	0	
1.94	0	1.614692E-06	1.663795E-06	0	
1.944	0	1.621356E-06	1.667226E-06	0	
1.948	0	1.628034E-06	1.670656E-06	0	
1.952	0	1.634725E-06	1.674087E-06	0	
1.956	0	1.64143E-06	1.677518E-06	0	
1.96	0	1.648149E-06	1.680948E-06	0	
1.964	0	1.654881E-06	1.684379E-06	0	
1.968	0	1.661627E-06	1.687809E-06	0	
1.972	0	1.668387E-06	1.69124E-06	0	
1.976	0	1.67516E-06	1.694671E-06	0	
1.98	0	1.681948E-06	1.698101E-06	0	
1.984	0	1.688749E-06	1.701532E-06	0	
1.988	0	1.695563E-06	1.704962E-06	0	
1.992	0	1.702392E-06	1.708393E-06	0	
1.996	0	1.709234E-06	1.711824E-06	0	
2	0	1.71609E-06	1.715254E-06	0	
2.004	0	1.722959E-06	1.718685E-06	0	
2.008	0	1.729843E-06	1.722115E-06	0	
2.012	0	1.73674E-06	1.725546E-06	0	
2.016	0	1.74365E-06	1.728977E-06	0	
2.02	0	1.750575E-06	1.732407E-06	0	
2.024	0	1.757513E-06	1.735838E-06	0	
2.028	0	1.764465E-06	1.739269E-06	0	
2.032	0	1.771431E-06	1.742699E-06	0	
2.036	0	1.77841E-06	1.74613E-06	0	
2.04	0	1.785403E-06	1.74956E-06	0	
2.044	0	1.79241E-06	1.752991E-06	0	
2.048	0	1.79943E-06	1.756422E-06	0	
2.052	0	1.806465E-06	1.759852E-06	0	
2.056	0	1.813513E-06	1.763283E-06	0	
2.06	0	1.820574E-06	1.766713E-06	0	
2.064	0	1.82765E-06	1.770144E-06	0	
2.068	0	1.834739E-06	1.773575E-06	0	
2.072	0	1.841842E-06	1.777005E-06	0	
2.076	0	1.848959E-06	1.780436E-06	0	
2.08	0	1.856089E-06	1.783867E-06	0	
2.084	0	1.863233E-06	1.787297E-06	0	
2.088	0	1.870391E-06	1.790728E-06	0	
2.092	0	1.877562E-06	1.794158E-06	0	
2.096	0	1.884747E-06	1.797589E-06	0	
2.1	0	1.891946E-06	1.80102E-06	0	
2.104	0	1.899159E-06	1.80445E-06	0	
2.108	0	1.906385E-06	1.807881E-06	0	
2.112	0	1.913625E-06	1.811311E-06	0	
2.116	0	1.920879E-06	1.814742E-06	0	
2.12	0	1.928147E-06	1.818173E-06	0	
2.124	0	1.935428E-06	1.821603E-06	0	
2.128	0	1.942723E-06	1.825034E-06	0	
2.132	0	1.950032E-06	1.828465E-06	0	
2.136	0	1.957354E-06	1.831895E-06	0	
2.14	0	1.96469E-06	1.835326E-06	0	
