Time	Length	Ia	II	
0	0.5	55.00001	162	
0.0009999999	0.5	55.00001	162	
0.002	0.5	55.00143	161.9995	
0.003	0.5	55.0029	161.9991	
0.004	0.5	55.00444	161.9986	
0.005	0.5	55.00605	161.998	
0.006	0.5	55.00772	161.9975	
0.007	0.5	55.00947	161.9969	
0.007999999	0.5	55.0113	161.9963	
0.009	0.5	55.0132	161.9957	
0.01	0.5	55.01517	161.995	
0.011	0.5	55.01723	161.9944	
0.012	0.5	55.01938	161.9937	
0.013	0.5	55.02162	161.9929	
0.014	0.5	55.02394	161.9922	
0.015	0.5	55.02636	161.9914	
0.016	0.5	55.02888	161.9906	
0.017	0.5	55.03149	161.9897	
0.018	0.5	55.03421	161.9888	
0.019	0.5	55.03703	161.9879	
0.02	0.5	55.03996	161.9869	
0.021	0.5	55.043	161.9859	
0.022	0.5	55.04615	161.9849	
0.023	0.5	55.04943	161.9838	
0.024	0.5	55.05283	161.9827	
0.025	0.5	55.05634	161.9816	
0.026	0.5	55.05999	161.9804	
0.027	0.5	55.06377	161.9791	
0.028	0.5	55.06768	161.9778	
0.029	0.5	55.07172	161.9765	
0.03	0.5	55.07592	161.9752	
0.031	0.5	55.08025	161.9737	
0.032	0.5	55.08473	161.9723	
0.033	0.5	55.08937	161.9707	
0.034	0.5	55.09416	161.9692	
0.035	0.5	55.0991	161.9676	
0.036	0.5	55.10421	161.9659	
0.037	0.5	55.10949	161.9642	
0.038	0.5	55.11493	161.9624	
0.039	0.5	55.12055	161.9605	
0.04	0.5	55.12635	161.9586	
0.041	0.5	55.13232	161.9567	
0.042	0.5	55.13848	161.9547	
0.043	0.5	55.14483	161.9526	
0.044	0.5	55.15137	161.9505	
0.045	0.5	55.1581	161.9483	
0.046	0.5	55.16503	161.946	
0.047	0.5	55.17217	161.9436	
0.048	0.5	55.17951	161.9413	
0.049	0.5	55.18706	161.9388	
0.05	0.5	55.19483	161.9362	
0.051	0.5	55.20281	161.9336	
0.052	0.5	55.21101	161.9309	
0.053	0.5	55.21944	161.9282	
0.054	0.5	55.2281	161.9253	
0.055	0.5	55.23699	161.9224	
0.056	0.5	55.24611	161.9194	
0.057	0.5	55.25547	161.9164	
0.058	0.5	55.26508	161.9132	
0.059	0.5	55.27494	161.91	
0.06	0.5	55.28504	161.9067	
0.061	0.5	55.29539	161.9033	
0.062	0.5	55.30601	161.8999	
0.063	0.5	55.31688	161.8963	
0.064	0.5	55.32802	161.8926	
0.065	0.5	55.33942	161.8889	
0.066	0.5	55.3511	161.8851	
0.067	0.5	55.36305	161.8812	
0.068	0.5	55.37527	161.8772	
0.069	0.5	55.38778	161.8731	
0.07	0.5	55.40057	161.8689	
0.07099999	0.5	55.41365	161.8646	
0.072	0.5	55.42701	161.8603	
0.073	0.5	55.44068	161.8558	
0.074	0.5	55.45463	161.8512	
0.075	0.5	55.46889	161.8466	
0.076	0.5	55.48344	161.8418	
0.077	0.5	55.49831	161.8369	
0.078	0.5	55.51348	161.832	
0.079	0.5	55.52896	161.8269	
0.08	0.5	55.54475	161.8217	
0.081	0.5	55.56086	161.8165	
0.08199999	0.5	55.57729	161.8111	
0.083	0.5	55.59403	161.8056	
0.084	0.5	55.6111	161.8	
0.085	0.5	55.6285	161.7943	
0.086	0.5	55.64622	161.7885	
0.087	0.5	55.66428	161.7826	
0.088	0.5	55.68267	161.7766	
0.08899999	0.5	55.70139	161.7704	
0.09	0.5	55.72045	161.7642	
0.091	0.5	55.73985	161.7579	
0.092	0.5	55.75959	161.7514	
0.09299999	0.5	55.77966	161.7448	
0.094	0.5	55.80009	161.7381	
0.095	0.5	55.82086	161.7314	
0.096	0.5	55.84198	161.7244	
0.097	0.5	55.86345	161.7174	
0.098	0.5	55.88527	161.7103	
0.099	0.5	55.90744	161.703	
0.09999999	0.5	55.92996	161.6956	
0.101	0.5	55.95284	161.6882	
0.102	0.5	55.97608	161.6806	
0.103	0.5	55.99967	161.6728	
0.104	0.5	56.02362	161.665	
0.105	0.5	56.04794	161.657	
0.106	0.5	56.07261	161.649	
0.107	0.5	56.09764	161.6408	
0.108	0.5	56.12304	161.6325	
0.109	0.5	56.1488	161.624	
0.11	0.5	56.17492	161.6155	
0.111	0.5	56.2014	161.6068	
0.112	0.5	56.22825	161.598	
0.113	0.5	56.25546	161.5891	
0.114	0.5	56.28304	161.5801	
0.115	0.5	56.31099	161.571	
0.116	0.5	56.3393	161.5617	
0.117	0.5	56.36798	161.5523	
0.118	0.5	56.39702	161.5428	
0.119	0.5	56.42642	161.5332	
0.12	0.5	56.4562	161.5234	
0.121	0.5	56.48634	161.5136	
0.122	0.5	56.51684	161.5036	
0.123	0.5	56.54771	161.4935	
0.124	0.5	56.57895	161.4832	
0.125	0.5	56.61054	161.4729	
0.126	0.5	56.64251	161.4624	
0.127	0.5	56.67483	161.4519	
0.128	0.5	56.70752	161.4412	
0.129	0.5	56.74057	161.4304	
0.13	0.5	56.77398	161.4194	
0.131	0.5	56.80775	161.4084	
0.132	0.5	56.84188	161.3972	
0.133	0.5	56.87637	161.3859	
0.134	0.5	56.91122	161.3745	
0.135	0.5	56.94642	161.363	
0.136	0.5	56.98198	161.3513	
0.137	0.5	57.01789	161.3396	
0.138	0.5	57.05416	161.3277	
0.139	0.5	57.09077	161.3158	
0.14	0.5	57.12774	161.3036	
0.141	0.5	57.16505	161.2914	
0.142	0.5	57.20271	161.2791	
0.143	0.5	57.24073	161.2667	
0.144	0.5	57.27908	161.2541	
0.145	0.5	57.31777	161.2415	
0.146	0.5	57.35681	161.2287	
0.147	0.5	57.39618	161.2158	
0.148	0.5	57.4359	161.2028	
0.149	0.5	57.47594	161.1897	
0.15	0.5	57.51632	161.1765	
0.151	0.5	57.55704	161.1631	
0.152	0.5	57.59808	161.1497	
0.153	0.5	57.63945	161.1362	
0.154	0.5	57.68115	161.1225	
0.155	0.5	57.72317	161.1088	
0.156	0.5	57.76551	161.0949	
0.157	0.5	57.80817	161.081	
0.158	0.5	57.85115	161.0669	
0.159	0.5	57.89445	161.0527	
0.16	0.5	57.93805	161.0385	
0.161	0.5	57.98197	161.0241	
0.162	0.5	58.02619	161.0096	
0.163	0.5	58.07072	160.995	
0.164	0.5	58.11555	160.9804	
0.165	0.5	58.16069	160.9656	
0.166	0.5	58.20612	160.9507	
0.167	0.5	58.25185	160.9358	
0.168	0.5	58.29787	160.9207	
0.169	0.5	58.34418	160.9055	
0.17	0.5	58.39078	160.8903	
0.171	0.5	58.43767	160.875	
0.172	0.5	58.48484	160.8595	
0.173	0.5	58.53229	160.844	
0.174	0.5	58.58002	160.8284	
0.175	0.5	58.62802	160.8127	
0.176	0.5	58.67629	160.7969	
0.177	0.5	58.72483	160.781	
0.178	0.5	58.77364	160.765	
0.179	0.5	58.82271	160.7489	
0.18	0.5	58.87205	160.7328	
0.181	0.5	58.92164	160.7166	
0.182	0.5	58.97149	160.7002	
0.183	0.5	59.02159	160.6839	
0.184	0.5	59.07194	160.6674	
0.185	0.5	59.12254	160.6508	
0.186	0.5	59.17337	160.6342	
0.187	0.5	59.22446	160.6174	
0.188	0.5	59.27578	160.6007	
0.189	0.5	59.32734	160.5838	
0.19	0.5	59.37912	160.5668	
0.191	0.5	59.43114	160.5498	
0.192	0.5	59.48338	160.5327	
0.193	0.5	59.53585	160.5155	
0.194	0.5	59.58854	160.4983	
0.195	0.5	59.64144	160.481	
0.196	0.5	59.69456	160.4636	
0.197	0.5	59.74789	160.4462	
0.198	0.5	59.80143	160.4286	
0.199	0.5	59.85518	160.411	
0.2	0.5	59.90913	160.3934	
0.201	0.5	59.96327	160.3757	
0.202	0.5	60.01762	160.3579	
0.203	0.5	60.07215	160.34	
0.204	0.5	60.12688	160.3221	
0.205	0.5	60.1818	160.3041	
0.206	0.5	60.2369	160.2861	
0.207	0.5	60.29219	160.268	
0.208	0.5	60.34765	160.2499	
0.209	0.5	60.40329	160.2316	
0.21	0.5	60.4591	160.2134	
0.211	0.5	60.51508	160.1951	
0.212	0.5	60.57123	160.1767	
0.213	0.5	60.62754	160.1583	
0.214	0.5	60.68402	160.1398	
0.215	0.5	60.74065	160.1212	
0.216	0.5	60.79744	160.1027	
0.217	0.5	60.85438	160.084	
0.218	0.5	60.91147	160.0653	
0.219	0.5	60.96871	160.0466	
0.22	0.5	61.02608	160.0278	
0.221	0.5	61.08361	160.009	
0.222	0.5	61.14127	159.9901	
0.223	0.5	61.19906	159.9712	
0.224	0.5	61.25699	159.9523	
0.225	0.5	61.31504	159.9333	
0.226	0.5	61.37323	159.9142	
0.227	0.5	61.43153	159.8951	
0.228	0.5	61.48996	159.876	
0.229	0.5	61.5485	159.8569	
0.23	0.5	61.60717	159.8376	
0.231	0.5	61.66594	159.8184	
0.232	0.5	61.72482	159.7991	
0.233	0.5	61.78381	159.7798	
0.234	0.5	61.8429	159.7605	
0.235	0.5	61.9021	159.7411	
0.236	0.5	61.9614	159.7217	
0.237	0.5	62.02079	159.7023	
0.238	0.5	62.08027	159.6828	
0.239	0.5	62.13984	159.6633	
0.24	0.5	62.19951	159.6438	
0.241	0.5	62.25926	159.6243	
0.242	0.5	62.31909	159.6047	
0.243	0.5	62.379	159.5851	
0.244	0.5	62.43899	159.5654	
0.245	0.5	62.49905	159.5458	
0.246	0.5	62.5592	159.5261	
0.247	0.5	62.6194	159.5064	
0.248	0.5	62.67968	159.4866	
0.249	0.5	62.74002	159.4669	
0.25	0.5	62.80042	159.4471	
0.251	0.5	62.86088	159.4274	
0.252	0.5	62.9214	159.4075	
0.253	0.5	62.98198	159.3877	
0.254	0.5	63.04261	159.3679	
0.255	0.5	63.10328	159.348	
0.256	0.5	63.16401	159.3281	
0.257	0.5	63.22478	159.3082	
0.258	0.5	63.2856	159.2883	
0.259	0.5	63.34645	159.2684	
0.26	0.5	63.40735	159.2485	
0.261	0.5	63.46828	159.2286	
0.262	0.5	63.52925	159.2086	
0.263	0.5	63.59024	159.1886	
0.264	0.5	63.65127	159.1687	
0.265	0.5	63.71232	159.1487	
0.266	0.5	63.7734	159.1287	
0.267	0.5	63.8345	159.1087	
0.268	0.5	63.89563	159.0887	
0.269	0.5	63.95676	159.0687	
0.27	0.5	64.01792	159.0487	
0.271	0.5	64.07909	159.0287	
0.272	0.5	64.14027	159.0086	
0.273	0.5	64.20147	158.9886	
0.274	0.5	64.26267	158.9686	
0.275	0.5	64.32388	158.9485	
0.276	0.5	64.38509	158.9285	
0.277	0.5	64.4463	158.9085	
0.278	0.5	64.50752	158.8885	
0.279	0.5	64.56873	158.8684	
0.28	0.5	64.62994	158.8484	
0.281	0.5	64.69114	158.8284	
0.282	0.5	64.75233	158.8083	
0.283	0.5	64.81352	158.7883	
0.284	0.5	64.87469	158.7683	
0.285	0.5	64.93585	158.7483	
0.286	0.5	64.99699	158.7283	
0.287	0.5	65.05812	158.7083	
0.288	0.5	65.11923	158.6882	
0.289	0.5	65.18032	158.6683	
0.29	0.5	65.24139	158.6483	
0.291	0.5	65.30243	158.6283	
0.292	0.5	65.36344	158.6083	
0.293	0.5	65.42443	158.5884	
