Time	Y	
0	0.1	
0.001	0.0999951	
0.002	0.09998529	
0.003	0.09997057	
0.004	0.09995095	
0.005	0.09992643	
0.006	0.099897	
0.007	0.09986266	
0.008	0.09982344	
0.009000001	0.0997793	
0.01	0.09973028	
0.011	0.09967634	
0.012	0.09961751	
0.013	0.09955379	
0.014	0.09948517	
0.015	0.09941165	
0.016	0.09933325	
0.017	0.09924995	
0.018	0.09916177	
0.019	0.09906869	
0.02	0.09897074	
0.021	0.09886792	
0.022	0.0987602	
0.023	0.09864762	
0.024	0.09853015	
0.025	0.09840782	
0.026	0.09828062	
0.027	0.09814855	
0.028	0.09801164	
0.029	0.09786985	
0.03	0.09772321	
0.031	0.09757172	
0.032	0.09741538	
0.033	0.0972542	
0.034	0.09708818	
0.035	0.09691732	
0.036	0.09674163	
0.037	0.09656111	
0.038	0.09637577	
0.039	0.09618562	
0.04	0.09599064	
0.041	0.09579086	
0.042	0.09558627	
0.043	0.09537688	
0.044	0.0951627	
0.045	0.09494372	
0.046	0.09471996	
0.047	0.09449141	
0.048	0.0942581	
0.049	0.09402002	
0.05	0.09377717	
0.051	0.09352957	
0.052	0.09327721	
0.053	0.09302011	
0.054	0.09275827	
0.055	0.09249169	
0.056	0.09222039	
0.057	0.09194437	
0.058	0.09166363	
0.059	0.09137818	
0.06	0.09108803	
0.061	0.09079319	
0.062	0.09049366	
0.063	0.09018945	
0.064	0.08988057	
0.06500001	0.08956702	
0.066	0.08924881	
0.067	0.08892595	
0.068	0.08859845	
0.06900001	0.08826631	
0.07	0.08792953	
0.071	0.08758814	
0.072	0.08724213	
0.07300001	0.08689152	
0.074	0.08653631	
0.075	0.08617651	
0.07600001	0.08581214	
0.07700001	0.08544318	
0.078	0.08506966	
0.079	0.08469159	
0.08000001	0.08430897	
0.081	0.08392181	
0.082	0.08353012	
0.083	0.0831339	
0.08400001	0.08273318	
0.085	0.08232795	
0.086	0.08191822	
0.087	0.08150401	
0.08800001	0.08108532	
0.089	0.08066218	
0.09	0.08023456	
0.09100001	0.07980251	
0.09200001	0.07936601	
0.093	0.07892509	
0.094	0.07847974	
0.09500001	0.07802999	
0.096	0.07757584	
0.097	0.0771173	
0.098	0.07665438	
0.09900001	0.0761871	
0.1	0.07571544	
0.101	0.07523945	
0.102	0.07475912	
0.103	0.07427445	
0.104	0.07378547	
0.105	0.07329218	
0.106	0.07279459	
0.107	0.07229272	
0.108	0.07178658	
0.109	0.07127617	
0.11	0.0707615	
0.111	0.0702426	
0.112	0.06971946	
0.113	0.0691921	
0.114	0.06866053	
0.115	0.06812476	
0.116	0.06758481	
0.117	0.06704067	
0.118	0.06649237	
0.119	0.06593993	
0.12	0.06538333	
0.121	0.06482261	
0.122	0.06425776	
0.123	0.06368881	
0.124	0.06311577	
0.125	0.06253864	
0.126	0.06195744	
0.127	0.06137217	
0.128	0.06078286	
0.129	0.06018952	
0.13	0.05959215	
0.131	0.05899076	
0.132	0.05838537	
0.133	0.057776	
0.134	0.05716265	
0.135	0.05654534	
0.136	0.05592407	
0.137	0.05529885	
0.138	0.05466972	
0.139	0.05403667	
0.14	0.05339971	
0.141	0.05275887	
0.142	0.05211414	
0.143	0.05146555	
0.144	0.05081311	
0.145	0.05015683	
0.146	0.04949671	
0.147	0.04883279	
0.148	0.04816506	
0.149	0.04749354	
0.15	0.04681824	
0.151	0.04613917	
0.152	0.04545636	
0.153	0.0447698	
0.154	0.04407952	
0.155	0.04338552	
0.156	0.04268783	
0.157	0.04198644	
