Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.002	0.003992385	0.004091262	0.004078031	0.004019109	0.004084748	0.004049781	0.003905358	0.004085924	0.003940912	0.003907952	0.003963275	0.003926142	0.003936784	0.004030636	0.003901678	0.003974784	0.004030714	0.004013545	0.004092903	0.004078469	0.004065287	0.004049543	0.004006416	0.003930995	0.004092261	
0.004	0.007740273	0.007885195	0.007700552	0.007732718	0.007813776	0.007811846	0.007596715	0.007743102	0.007667886	0.007641129	0.007645455	0.007587165	0.007699267	0.007639856	0.007529822	0.007719392	0.007817284	0.00779695	0.007861353	0.007744625	0.007828698	0.007724164	0.007783596	0.007628919	0.007831345	
0.006	0.01120617	0.01136712	0.01119389	0.01106384	0.01130163	0.01113968	0.01111862	0.01121203	0.01115005	0.01111266	0.01117103	0.01097583	0.01115715	0.01114467	0.01086722	0.01122283	0.01123783	0.01115525	0.01134463	0.01125268	0.01127238	0.01115605	0.01118164	0.01112397	0.01127483	
0.008	0.01431905	0.01445169	0.01444181	0.01427504	0.01441898	0.014336	0.01422267	0.01440901	0.01426409	0.01434319	0.0144018	0.01419104	0.0142432	0.01429371	0.01412247	0.01438197	0.01445574	0.01430058	0.01450744	0.01446272	0.01444025	0.01433794	0.01441345	0.01428686	0.01448118	
0.01	0.01730043	0.01736982	0.01727721	0.01713877	0.01732412	0.01733695	0.01712521	0.01734373	0.01728082	0.0172488	0.01726663	0.01719064	0.01722801	0.0171995	0.0170709	0.01731051	0.01746716	0.01725671	0.01743554	0.01734402	0.01733196	0.01724882	0.017247	0.01712456	0.01737471	
0.012	0.02004101	0.02017663	0.01992886	0.01989693	0.02011453	0.02003118	0.01984266	0.02011467	0.02004062	0.01999951	0.02006966	0.01983015	0.01986168	0.01999952	0.0197052	0.02002273	0.02014514	0.02006794	0.02023802	0.02010091	0.02010593	0.0200182	0.01997703	0.0198127	0.02005384	
0.014	0.02252315	0.02271516	0.0225209	0.02249893	0.02259816	0.02258492	0.02227441	0.02256677	0.02254777	0.02255156	0.02252947	0.02239958	0.02243146	0.02245853	0.02219162	0.02256237	0.02262677	0.02266254	0.02275283	0.02252765	0.02260529	0.02252985	0.02253946	0.02223927	0.02250902	
0.016	0.02476843	0.02512489	0.02487518	0.02474865	0.02500242	0.02482891	0.02451141	0.02494935	0.02479972	0.02492633	0.02476738	0.02468624	0.02469964	0.02476911	0.02444085	0.02485177	0.02491147	0.02502121	0.02502511	0.02493286	0.02498507	0.02482447	0.02493369	0.02463457	0.02488527	
0.018	0.02683906	0.02726157	0.02711276	0.02690551	0.02706409	0.02700919	0.02658093	0.02703544	0.02686661	0.02705798	0.0268797	0.02680264	0.02687574	0.02698977	0.02667801	0.0269668	0.02707678	0.02709871	0.02721251	0.02715227	0.02708979	0.02702048	0.02714229	0.02673023	0.02698727	
0.02	0.02883289	0.02928445	0.02909057	0.02897579	0.02913861	0.02905896	0.02860235	0.02903409	0.02894748	0.02913659	0.02888908	0.028699	0.02885898	0.02907741	0.02863172	0.02896094	0.02915483	0.02905914	0.02918839	0.02915703	0.02911273	0.02898995	0.02913527	0.02864357	0.02896126	
0.022	0.03076193	0.03116888	0.0309216	0.030812	0.03098429	0.03094274	0.03048081	0.03096192	0.03070779	0.03098881	0.03071766	0.03059766	0.030654	0.03095391	0.0305616	0.03080627	0.03103938	0.03089896	0.03093468	0.0309225	0.03093017	0.0308168	0.03099995	0.03041469	0.03070774	
0.024	0.03240447	0.03279867	0.0326838	0.03245107	0.03276056	0.03270631	0.03217556	0.03265235	0.03232992	0.03265097	0.03234123	0.03223867	0.03229127	0.03255506	0.03231189	0.03246919	0.03270062	0.03267965	0.03272351	0.03261771	0.03265624	0.03247165	0.03267432	0.03214591	0.03246926	
0.026	0.03405513	0.03431533	0.03433842	0.03411995	0.03441903	0.03419261	0.03382918	0.03430388	0.03382393	0.03416933	0.03396384	0.03390325	0.03382789	0.03422137	0.0338681	0.03408457	0.03429161	0.0341968	0.03437127	0.03414133	0.03421851	0.03404924	0.03418403	0.03371567	0.03395449	
0.028	0.03557712	0.03575368	0.03577962	0.03560279	0.03595423	0.035706	0.03534312	0.03581521	0.03538387	0.03566071	0.03547664	0.0353865	0.0353638	0.03563068	0.03542609	0.03549782	0.03583495	0.03563957	0.03587607	0.03567391	0.03574595	0.03558691	0.03569921	0.03528298	0.03534229	
