Time	Pos	
0	0.1500001	
0.0005	0	
0.001	2.431869E-06	
0.0015	7.343293E-06	
0.002	1.468659E-05	
0.0025	2.450943E-05	
0.003	3.676414E-05	
0.0035	5.149841E-05	
0.004	6.866455E-05	
0.0045	8.826256E-05	
0.005	0.0001103401	
0.0055	0.0001348496	
0.006	0.0001618385	
0.0065	0.0001912594	
0.007	0.0002231598	
0.0075	0.0002574921	
0.008	0.0002942562	
0.0085	0.0003334999	
0.009000001	0.0003751755	
0.009500001	0.0004193306	
0.01	0.0004659176	
0.0105	0.0005149841	
0.011	0.0005664826	
0.0115	0.0006204605	
0.012	0.0006768704	
0.0125	0.0007357121	
0.013	0.0007970333	
0.0135	0.0008607865	
0.014	0.0009270191	
0.0145	0.0009956837	
0.015	0.001066828	
0.0155	0.001140404	
0.016	0.001216412	
0.0165	0.001294899	
0.017	0.001375818	
0.0175	0.001459217	
0.018	0.001545048	
0.0185	0.001633358	
0.019	0.0017241	
0.0195	0.001817274	
0.02	0.001912928	
0.0205	0.002011013	
0.021	0.002111578	
0.0215	0.002214575	
0.022	0.002320051	
0.0225	0.00242796	
0.023	0.0025383	
0.0235	0.002651119	
0.024	0.002766371	
0.0245	0.002884102	
0.025	0.003004265	
0.0255	0.003126907	
0.026	0.003251982	
0.0265	0.003379488	
0.027	0.003509474	
0.0275	0.003641892	
0.028	0.003776789	
0.0285	0.003914118	
0.029	0.004053927	
0.0295	0.004196167	
0.03	0.004340887	
0.0305	0.004488039	
0.031	0.004637623	
0.0315	0.004789687	
0.032	0.004944182	
0.0325	0.005101157	
0.033	0.005260563	
0.0335	0.00542245	
0.034	0.005586768	
0.0345	0.005753518	
0.035	0.005922747	
0.0355	0.006094409	
0.036	0.006268549	
0.0365	0.006445122	
0.037	0.006624174	
0.0375	0.006805658	
0.038	0.006989575	
0.0385	0.00717597	
0.039	0.007364798	
0.0395	0.007556105	
0.04	0.007749844	
0.0405	0.007946062	
0.041	0.008144713	
0.0415	0.008345795	
0.042	0.008549357	
0.0425	0.00875535	
0.043	0.008963824	
0.0435	0.00917473	
0.044	0.009388114	
0.0445	0.009603931	
0.045	0.009822226	
0.0455	0.01004295	
0.046	0.01026611	
0.0465	0.01049175	
0.047	0.01071982	
0.0475	0.01095038	
0.048	0.01118336	
0.0485	0.01141882	
0.049	0.01165671	
0.0495	0.01189704	
0.05	0.01213985	
0.0505	0.01238508	
0.051	0.0126328	
0.0515	0.01288295	
0.052	0.01313558	
0.0525	0.01339064	
0.053	0.01364813	
0.0535	0.0139081	
0.054	0.0141705	
0.0545	0.01443539	
0.055	0.0147027	
0.0555	0.0149725	
0.056	0.01524472	
0.0565	0.01551938	
0.057	0.01579652	
0.0575	0.01607611	
0.058	0.01635816	
0.0585	0.01664264	
0.059	0.01692958	
0.0595	0.01721897	
0.06	0.01751082	
0.0605	0.01780512	
0.061	0.01810188	
0.0615	0.0184011	
0.062	0.01870275	
0.0625	0.01900685	
0.063	0.01931341	
0.0635	0.01962242	
0.064	0.01993389	
0.0645	0.02024782	
0.06500001	0.0205642	
0.06550001	0.02088301	
0.066	0.02120428	
0.0665	0.02152801	
0.067	0.02185419	
0.0675	0.02218282	
0.068	0.02251392	
0.0685	0.02284746	
0.06900001	0.02318347	
0.06950001	0.0235219	
0.07	0.02386279	
0.0705	0.02420614	
0.071	0.02455194	
0.0715	0.0249002	
0.072	0.02525091	
0.07250001	0.02560408	
0.07300001	0.02595968	
0.0735	0.02631774	
0.074	0.02667825	
0.0745	0.02704122	
0.075	0.02740665	
0.0755	0.02777453	
0.07600001	0.02814486	
0.07650001	0.02851765	
0.07700001	0.02889287	
0.0775	0.02927055	
0.078	0.02965069	
0.0785	0.03003328	
0.079	0.03041833	
0.0795	0.03080583	
0.08000001	0.03119578	
0.08050001	0.03158817	
0.081	0.03198302	
0.0815	0.03238032	
0.082	0.03278008	
0.0825	0.03318229	
0.083	0.03358696	
0.08350001	0.03399408	
0.08400001	0.03440363	
0.08450001	0.03481565	
0.085	0.03523011	
0.0855	0.03564703	
0.086	0.03606642	
0.0865	0.03648825	
0.087	0.03691254	
0.08750001	0.03733929	
0.08800001	0.03776846	
0.0885	0.0382001	
0.089	0.03863418	
0.0895	0.03907073	
0.09	0.03950973	
0.0905	0.03995119	
0.09100001	0.0403951	
0.09150001	0.04084144	
0.09200001	0.04129024	
0.0925	0.04174149	
0.093	0.0421952	
0.0935	0.04265137	
0.094	0.04310999	
0.09450001	0.04357107	
0.09500001	0.0440346	
0.09550001	0.04450057	
0.096	0.04496899	
0.0965	0.04543987	
0.097	0.0459132	
0.0975	0.04638899	
0.098	0.04686723	
0.09850001	0.04734793	
0.09900001	0.04783106	
0.09950001	0.04831665	
0.1	0.04880469	
0.1005	0.04929519	
0.101	0.04978814	
0.1015	0.05028355	
0.102	0.05078142	
0.1025	0.05128174	
0.103	0.05178449	
0.1035	0.0522897	
0.104	0.05279737	
0.1045	0.05330748	
0.105	0.05382006	
0.1055	0.05433509	
0.106	0.05485258	
0.1065	0.0553725	
0.107	0.05589488	
0.1075	0.05641971	
0.108	0.05694699	
0.1085	0.05747674	
0.109	0.05800894	
0.1095	0.05854359	
0.11	0.0590807	
0.1105	0.05962024	
0.111	0.06016224	
0.1115	0.06070669	
0.112	0.0612536	
0.1125	0.06180296	
0.113	0.06235478	
0.1135	0.06290906	
0.114	0.06346577	
0.1145	0.06402493	
0.115	0.06458654	
0.1155	0.06515062	
0.116	0.06571715	
0.1165	0.06628614	
0.117	0.06685758	
0.1175	0.06743147	
0.118	0.0680078	
0.1185	0.06858659	
0.119	0.06916783	
0.1195	0.06975152	
0.12	0.07033768	
0.1205	0.07092629	
0.121	0.07151735	
0.1215	0.07211085	
0.122	0.0727068	
0.1225	0.07330521	
0.123	0.07390607	
0.1235	0.07450939	
0.124	0.07511517	
0.1245	0.07572339	
0.125	0.07633408	
0.1255	0.0769472	
0.126	0.07756277	
0.1265	0.0781808	
0.127	0.07880128	
0.1275	0.07942422	
0.128	0.08004962	
0.1285	0.08067747	
0.129	0.08130775	
0.1295	0.08194049	
0.13	0.08257569	
0.1305	0.08321334	
0.131	0.08385345	
0.1315	0.08449601	
0.132	0.08514103	
0.1325	0.08578847	
0.133	0.08643838	
0.1335	0.08709074	
0.134	0.08774555	
0.1345	0.08840283	
0.135	0.08906256	
0.1355	0.08972474	
0.136	0.09038938	
0.1365	0.09105645	
0.137	0.09172598	
0.1375	0.09239796	
0.138	0.0930724	
0.1385	0.09374929	
0.139	0.09442864	
0.1395	0.09511045	
0.14	0.09579469	
0.1405	0.09648138	
0.141	0.09717052	
0.1415	0.09786213	
0.142	0.09855619	
0.1425	0.09925271	
0.143	0.09995168	
0.1435	0.1006531	
0.144	0.101357	
0.1445	0.1020633	
0.145	0.102772	
0.1455	0.1034833	
0.146	0.104197	
0.1465	0.1049131	
0.147	0.1056317	
0.1475	0.1063527	
0.148	0.1070762	
0.1485	0.1078021	
0.149	0.1085305	
0.1495	0.1092614	
0.15	0.1099947	
0.1505	0.1107304	
0.151	0.1114687	
0.1515	0.1122093	
0.152	0.1129524	
0.1525	0.113698	
0.153	0.114446	
0.1535	0.1151964	
0.154	0.1159494	
0.1545	0.1167048	
0.155	0.1174626	
0.1555	0.1182228	
0.156	0.1189856	
0.1565	0.1197507	
0.157	0.1205184	
0.1575	0.1212885	
0.158	0.122061	
0.1585	0.122836	
0.159	0.1236135	
0.1595	0.1243933	
0.16	0.1251757	
0.1605	0.1259605	
0.161	0.1267478	
0.1615	0.1275375	
0.162	0.1283296	
0.1625	0.1291242	
0.163	0.1299213	
0.1635	0.1307208	
0.164	0.1315228	
0.1645	0.1323272	
0.165	0.1331341	
0.1655	0.1339434	
0.166	0.1347552	
0.1665	0.1355694	
0.167	0.1363861	
0.1675	0.1372052	
0.168	0.1380268	
0.1685	0.1388509	
0.169	0.1396774	
0.1695	0.1405063	
0.17	0.1413377	
0.1705	0.1421716	
0.171	0.1430079	
0.1715	0.1438466	
0.172	0.1446879	
0.1725	0.1455315	
0.173	0.1463777	
0.1735	0.1472262	
0.174	0.1480772	
0.1745	0.1489307	
0.175	0.1497866	
0.1755	0.150645	
0.176	0.150516	
0.1765	0.1503894	
0.177	0.1502653	
0.1775	0.1501437	
0.178	0.1500245	
0.1785	0.1499078	
0.179	0.1497935	
0.1795	0.1496817	
0.18	0.1495723	
0.1805	0.1494654	
0.181	0.1493609	
0.1815	0.1492589	
0.182	0.1491593	
0.1825	0.1490622	
0.183	0.1489675	
0.1835	0.1488753	
