Time	Px	Py	Pz	
0	0.4	-0.4	-0.6	
0.0005	0.4000007	-0.4000007	-0.5999991	
0.001	0.4000019	-0.4000021	-0.5999974	
0.0015	0.4000039	-0.4000041	-0.5999947	
0.002	0.4000064	-0.4000068	-0.5999912	
0.0025	0.4000096	-0.4000102	-0.5999868	
0.003	0.4000135	-0.4000143	-0.5999815	
0.0035	0.400018	-0.400019	-0.5999753	
0.004	0.4000231	-0.4000245	-0.5999683	
0.0045	0.4000289	-0.4000306	-0.5999604	
0.005	0.4000353	-0.4000373	-0.5999516	
0.0055	0.4000424	-0.4000448	-0.5999419	
0.006	0.40005	-0.400053	-0.5999314	
0.0065	0.4000584	-0.4000618	-0.5999199	
0.007	0.4000674	-0.4000713	-0.5999076	
0.0075	0.400077	-0.4000815	-0.5998944	
0.008	0.4000872	-0.4000923	-0.5998803	
0.0085	0.4000981	-0.4001039	-0.5998654	
0.009000001	0.4001096	-0.4001161	-0.5998495	
0.009500001	0.4001218	-0.400129	-0.5998328	
0.01	0.4001347	-0.4001425	-0.5998152	
0.0105	0.4001481	-0.4001568	-0.5997967	
0.011	0.4001622	-0.4001717	-0.5997773	
0.0115	0.4001769	-0.4001873	-0.5997571	
0.012	0.4001923	-0.4002036	-0.599736	
0.0125	0.4002083	-0.4002205	-0.599714	
0.013	0.400225	-0.4002382	-0.5996911	
0.0135	0.4002423	-0.4002565	-0.5996673	
0.014	0.4002602	-0.4002755	-0.5996427	
0.0145	0.4002788	-0.4002951	-0.5996172	
0.015	0.400298	-0.4003155	-0.5995908	
0.0155	0.4003178	-0.4003365	-0.5995635	
0.016	0.4003384	-0.4003582	-0.5995353	
0.0165	0.4003595	-0.4003806	-0.5995063	
0.017	0.4003813	-0.4004036	-0.5994763	
0.0175	0.4004037	-0.4004273	-0.5994455	
0.018	0.4004267	-0.4004517	-0.5994138	
0.0185	0.4004504	-0.4004768	-0.5993813	
0.019	0.4004747	-0.4005025	-0.5993478	
0.0195	0.4004997	-0.400529	-0.5993134	
0.02	0.4005253	-0.4005561	-0.5992783	
0.0205	0.4005515	-0.4005838	-0.5992422	
