TimeSlice	Time	FB	P	D	ElbowPos	ElbowSetVel	ElbowActualVel	A	RealVsSim	PhysicsStep
0	0	0	0	0	0	0	0	-0.06	0.000141	0
1	0.00025	0	0	0	0	0	0	-0.06	0.000141	0
2	0.0005	0	0	0	0	0	0	-0.06	0.000141	0
3	0.00075	0	0	0	0	0	0	-0.06	0.000141	0
4	0.001	0	0	0	0	0	0	-0.06	0.000141	0
5	0.00125	0	0	0	0	0	0	-0.06	0.000141	0
6	0.0015	0	0	0	0	0	0	-0.06	0.000141	0
7	0.00175	0	0	0	0	0	0	-0.06	0.000141	0
8	0.002	0	0	0	0	0	0	-0.06	0.000141	0
9	0.00225	0.02	0	0	0	0	0	-0.06	0.000141	0
10	0.0025	0.02	0	0	0	0	0	-0.06	0.000141	0
11	0.00275	0.02	0	0	0	0	0	-0.06	0.000141	0
12	0.003	0.02	0	0	0	0	0	-0.06	0.000141	0
13	0.00325	0.02	0	0	0	0	0	-0.06	0.000141	0
14	0.0035	0.02	0	0	0	0	0	-0.06	0.000141	0
15	0.00375	0.02	0	0	0	0	0	-0.06	0.000141	0
16	0.004	0.02	0	0	0	0	0	-0.06	0.000141	0
17	0.00425	0.02	0	0	0	0	0	-0.06	0.000141	0
18	0.0045	0.02	0	0	0	0	0	-0.06	0.000141	0
19	0.00475	0.0395	0	0	0	0	0	-0.06	0.000141	0
20	0.005	0.0395	0	0	0	0	0	-0.06	0.000141	0
21	0.00525	0.0395	0	0	0	0	0	-0.06	0.000141	0
22	0.0055	0.0395	0	0	0	0	0	-0.06	0.000141	0
23	0.00575	0.0395	0	0	0	0	0	-0.06	0.000141	0
24	0.006	0.0395	0	0	0	0	0	-0.06	0.000141	0
25	0.00625	0.0395	0	0	0	0	0	-0.06	0.000141	0
26	0.0065	0.0395	0	0	0	0	0	-0.06	0.000141	0
27	0.00675	0.0395	0	0	0	0	0	-0.06	0.000141	0
28	0.007	0.0395	0	0	0	0	0	-0.06	0.000141	0
29	0.00725	0.0585125	0	0	0	0	0	-0.06	0.000141	0
30	0.0075	0.0585125	0	0	0	0	0	-0.06	0.000141	0
31	0.00775	0.0585125	0	0	0	0	0	-0.06	0.000141	0
32	0.008	0.0585125	0	0	0	0	0	-0.06	0.000141	0
33	0.00825	0.0585125	0	0	0	0	0	-0.06	0.000141	0
34	0.0085	0.0585125	0	0	0	0	0	-0.06	0.000141	0
35	0.00875	0.0585125	0	0	0	0	0	-0.06	0.000141	0
36	0.009	0.0585125	0	0	0	0	0	-0.06	0.000141	0
37	0.00925	0.0585125	0	0	0	0	0	-0.06	0.000141	0
38	0.0095	0.0585125	0	0	0	0	0	-0.06	0.000141	0
39	0.00975	0.0770497	0	0	0	0	0	-0.06	0.000141	0
40	0.01	0.0770497	0	0	0	0	0	-0.06	0.000141	0
41	0.01025	0.0770497	0	0	0	0	0	-0.06	0.000141	0
42	0.0105	0.0770497	0	0	0	0	0	-0.06	0.000141	0
43	0.01075	0.0770497	0	0	0	0	0	-0.06	0.000141	0
44	0.011	0.0770497	0	0	0	0	0	-0.06	0.000141	0
45	0.01125	0.0770497	0	0	0	0	0	-0.06	0.000141	0
46	0.0115	0.0770497	0	0	0	0	0	-0.06	0.000141	0
47	0.01175	0.0770497	0	0	0	0	0	-0.06	0.000141	0
48	0.012	0.0770497	0	0	0	0	0	-0.06	0.000141	0
49	0.01225	0.0951235	0	0	0	0	0	-0.06	0.000141	0
50	0.0125	0.0951235	0	0	0	0	0	-0.06	0.000141	0
51	0.01275	0.0951235	0	0	0	0	0	-0.06	0.000141	0
52	0.013	0.0951235	0	0	0	0	0	-0.06	0.000141	0
53	0.01325	0.0951235	0	0	0	0	0	-0.06	0.000141	0
54	0.0135	0.0951235	0	0	0	0	0	-0.06	0.000141	0
55	0.01375	0.0951235	0	0	0	0	0	-0.06	0.000141	0
56	0.014	0.0951235	0	0	0	0	0	-0.06	0.000141	0
57	0.01425	0.0951235	0	0	0	0	0	-0.06	0.000141	0
