Time	A	D	ElbowActualVel	ElbowPos	ElbowSetVel	FB	P	PhysicsStep	RealVsSim	
0	-0.06	0	0	0	0	0	0	0	0.00175	
0.00025	-0.06	0	0	0	1	0	0	0	0.00175	
0.0005	-0.06	0	0	0	1	0	0	0.000329	0.002307	
0.00075	-0.06	0	0	0	1	0	0	0.000329	0.002307	
0.001	-0.06	0	0	0	1	0	0	0.000243	0.002812	
0.00125	-0.06	0	1	0.0005	1	0	0	0.000243	0.002812	
0.0015	-0.06	0	1	0.0005	1	0	0	0.000246	0.003315	
0.00175	-0.06	0	0.9645019	0.000982251	1	0	0	0.000246	0.003315	
0.002	-0.06	0	0.9645019	0.000982251	1	0	0	0.000256	0.003821	
0.00225	-0.06	0	1.000291	0.001482397	1	0.02	0	0.000256	0.003821	
0.0025	-0.06	0	1.000291	0.001482397	1	0.02	0	0.000357	0.004349	
0.00275	-0.06	0	1.001123	0.001982958	1	0.02	0	0.000357	0.004349	
0.003	-0.06	0	1.001123	0.001982958	1	0.02	0	0.000246	0.004853	
0.00325	-0.06	0	1.000957	0.002483436	1	0.02	0	0.000246	0.004853	
0.0035	-0.06	0	1.000957	0.002483436	1	0.02	0	0.000239	0.005357	
0.00375	-0.06	0	1.0008	0.002983836	1	0.02	0	0.000239	0.005357	
0.004	-0.06	0	1.0008	0.002983836	1	0.02	0	0.000245	0.005861	
0.00425	-0.06	0	1.000674	0.003484173	1	0.02	0	0.000245	0.005861	
0.0045	-0.06	0	1.000674	0.003484173	1	0.02	0	0.000237	0.006365	
0.00475	-0.06	0	1.000572	0.003984459	1	0.03951853	0	0.000237	0.006365	
0.005	-0.06	0	1.000572	0.003984459	1	0.03951853	0	0.000253	0.006869	
0.00525	-0.06	0	1.000492	0.004484705	1	0.03951853	0	0.000253	0.006869	
0.0055	-0.06	0	1.000492	0.004484705	1	0.03951853	0	0.000241	0.007373	
0.00575	-0.06	0	1.000427	0.004984919	1	0.03951853	0	0.000241	0.007373	
0.006	-0.06	0	1.000427	0.004984919	1	0.03951853	0	0.000402	0.007956	
0.00625	-0.06	0	1.000375	0.005485106	1	0.03951853	0	0.000402	0.007956	
0.0065	-0.06	0	1.000375	0.005485106	1	0.03951853	0	0.00039	0.008596	
0.00675	-0.06	0	1.000334	0.005985273	1	0.03951853	0	0.00039	0.008596	
0.007	-0.06	0	1.000334	0.005985273	1	0.03951853	0	0.000242	0.0091	
0.00725	-0.06	0	1.0003	0.006485423	1	0.05858038	0	0.000242	0.0091	
0.0075	-0.06	0	1.0003	0.006485423	1	0.05858038	0	0.00024	0.009603	
0.00775	-0.06	0	1.000274	0.00698556	1	0.05858038	0	0.00024	0.009603	
0.008	-0.06	0	1.000274	0.00698556	1	0.05858038	0	0.000241	0.010107	
0.00825	-0.06	0	1.000252	0.007485686	1	0.05858038	0	0.000241	0.010107	
0.0085	-0.06	0	1.000252	0.007485686	1	0.05858038	0	0.000239	0.01061	
0.00875	-0.06	0	1.000236	0.007985804	1	0.05858038	0	0.000239	0.01061	
0.009000001	-0.06	0	1.000236	0.007985804	1	0.05858038	0	0.000239	0.011114	
0.00925	-0.06	0	1.000222	0.008485915	1	0.05858038	0	0.000239	0.011114	
0.009500001	-0.06	0	1.000222	0.008485915	1	0.05858038	0	0.000238	0.011619	
