TimeSlice	Time	FB	P	Input	Analog	D	A	Analog_Ie	Analog_Vm
0	0	0	0	0	0	0	-0.06	0	-0.07
1	0.00025	0	0	0	0	0	-0.06	0	-0.07
2	0.0005	0	0	0	0	0	-0.06	0	-0.07
3	0.00075	0	0	0	0	0	-0.06	0	-0.07
4	0.001	0	0	0	0	0	-0.06	0	-0.07
5	0.00125	0	0	0	0	0	-0.06	0	-0.07
6	0.0015	0	0	0	0	0	-0.06	0	-0.07
7	0.00175	0	0	0	0	0	-0.06	0	-0.07
8	0.002	0	0	0	0	0	-0.06	0	-0.07
9	0.00225	0.02	0	0	0	0	-0.06	0	-0.07
10	0.0025	0.02	0	0	0	0	-0.06	0	-0.07
11	0.00275	0.02	0	0	0	0	-0.06	0	-0.07
12	0.003	0.02	0	0	0	0	-0.06	0	-0.07
13	0.00325	0.02	0	0	0	0	-0.06	0	-0.07
14	0.0035	0.02	0	0	0	0	-0.06	0	-0.07
15	0.00375	0.02	0	0	0	0	-0.06	0	-0.07
16	0.004	0.02	0	0	0	0	-0.06	0	-0.07
17	0.00425	0.02	0	0	0	0	-0.06	0	-0.07
18	0.0045	0.02	0	0	0	0	-0.06	0	-0.07
19	0.00475	0.0395	0	0	0	0	-0.06	0	-0.07
20	0.005	0.0395	0	0	0	0	-0.06	0	-0.07
21	0.00525	0.0395	0	0	0	0	-0.06	0	-0.07
22	0.0055	0.0395	0	0	0	0	-0.06	0	-0.07
23	0.00575	0.0395	0	0	0	0	-0.06	0	-0.07
24	0.006	0.0395	0	0	0	0	-0.06	0	-0.07
25	0.00625	0.0395	0	0	0	0	-0.06	0	-0.07
26	0.0065	0.0395	0	0	0	0	-0.06	0	-0.07
27	0.00675	0.0395	0	0	0	0	-0.06	0	-0.07
28	0.007	0.0395	0	0	0	0	-0.06	0	-0.07
29	0.00725	0.0585125	0	0	0	0	-0.06	0	-0.07
30	0.0075	0.0585125	0	0	0	0	-0.06	0	-0.07
31	0.00775	0.0585125	0	0	0	0	-0.06	0	-0.07
32	0.008	0.0585125	0	0	0	0	-0.06	0	-0.07
33	0.00825	0.0585125	0	0	0	0	-0.06	0	-0.07
34	0.0085	0.0585125	0	0	0	0	-0.06	0	-0.07
35	0.00875	0.0585125	0	0	0	0	-0.06	0	-0.07
36	0.009	0.0585125	0	0	0	0	-0.06	0	-0.07
37	0.00925	0.0585125	0	0	0	0	-0.06	0	-0.07
38	0.0095	0.0585125	0	0	0	0	-0.06	0	-0.07
39	0.00975	0.0770497	0	0	0	0	-0.06	0	-0.07
40	0.01	0.0770497	0	0	0	0	-0.06	0	-0.07
41	0.01025	0.0770497	0	0	0	0	-0.06	0	-0.07
42	0.0105	0.0770497	0	0	0	0	-0.06	0	-0.07
43	0.01075	0.0770497	0	0	0	0	-0.06	0	-0.07
44	0.011	0.0770497	0	0	0	0	-0.06	0	-0.07
45	0.01125	0.0770497	0	0	0	0	-0.06	0	-0.07
46	0.0115	0.0770497	0	0	0	0	-0.06	0	-0.07
47	0.01175	0.0770497	0	0	0	0	-0.06	0	-0.07
48	0.012	0.0770497	0	0	0	0	-0.06	0	-0.07
49	0.01225	0.0951235	0	0	0	0	-0.06	0	-0.07
50	0.0125	0.0951235	0	0	0	0	-0.06	0	-0.07
51	0.01275	0.0951235	0	0	0	0	-0.06	0	-0.07
52	0.013	0.0951235	0	0	0	0	-0.06	0	-0.07
53	0.01325	0.0951235	0	0	0	0	-0.06	0	-0.07
54	0.0135	0.0951235	0	0	0	0	-0.06	0	-0.07
55	0.01375	0.0951235	0	0	0	0	-0.06	0	-0.07
56	0.014	0.0951235	0	0	0	0	-0.06	0	-0.07
57	0.01425	0.0951235	0	0	0	0	-0.06	0	-0.07
58	0.0145	0.0951235	0	0	0	0	-0.06	0	-0.07
59	0.01475	0.112745	0	0	0	0	-0.06	0	-0.07
60	0.015	0.112745	0	0	0	0	-0.0599941	0	-0.07
