TimeSlice	Time	ElbowPos	ElbowSetVel	ElbowVel	Contact	IO
0	0	0	0	0	0	0
2	0.0005	0	0	0	0	0
4	0.001	0	0	0	0	0
6	0.0015	0	0	0	0	0
8	0.002	0	0	0	0	0
10	0.0025	0	0	0	0	0
12	0.003	0	0	0	0	0
14	0.0035	0	0	0	0	0
16	0.004	0	0	0	0	0
18	0.0045	0	0	0	0	0
20	0.005	0	0	0	0	0
22	0.0055	0	0	0	0	0
24	0.006	0	0	0	0	0
26	0.0065	0	0	0	0	0
28	0.007	0	0	0	0	0
30	0.0075	0	0	0	0	0
32	0.008	0	0	0	0	0
34	0.0085	0	0	0	0	0
36	0.009	0	0	0	0	0
38	0.0095	0	0	0	0	0
40	0.01	0	0	0	0	0
42	0.0105	0	0	0	0	0
44	0.011	0	0	0	0	0
46	0.0115	0	0	0	0	0
48	0.012	0	0	0	0	0
50	0.0125	0	0	0	0	0
52	0.013	0	0	0	0	0
54	0.0135	0	0	0	0	0
56	0.014	0	0	0	0	0
58	0.0145	0	0	0	0	0
60	0.015	0	0	0	0	0
62	0.0155	0	0	0	0	0
64	0.016	0	0	0	0	0
66	0.0165	0	0	0	0	0
68	0.017	0	0	0	0	0
70	0.0175	0	0	0	0	0
72	0.018	0	0	0	0	0
74	0.0185	0	0	0	0	0
76	0.019	0	0	0	0	0
78	0.0195	0	0	0	0	0
80	0.02	0	0	0	0	0
82	0.0205	0	0	0	0	0
84	0.021	0	0	0	0	0
86	0.0215	0	0	0	0	0
88	0.022	0	0	0	0	0
90	0.0225	0	0	0	0	0
92	0.023	0	0	0	0	0
94	0.0235	0	0	0	0	0
96	0.024	0	0	0	0	0
98	0.0245	0	0	0	0	0
100	0.025	0	0	0	0	0
102	0.0255	0	0	0	0	0
104	0.026	0	0	0	0	0
106	0.0265	0	0	0	0	0
108	0.027	0	0	0	0	0
110	0.0275	0	0	0	0	0
112	0.028	0	0	0	0	0
114	0.0285	0	0	0	0	0
116	0.029	0	0	0	0	0
118	0.0295	0	0	0	0	0
120	0.03	0	0	0	0	0
122	0.0305	0	0	0	0	0
124	0.031	0	0	0	0	0
126	0.0315	0	0	0	0	0
128	0.032	0	0	0	0	0
130	0.0325	0	0	0	0	0
132	0.033	0	0	0	0	0
134	0.0335	0	0	0	0	0
136	0.034	0	0	0	0	0
138	0.0345	0	0	0	0	0
140	0.035	0	0	0	0	0
142	0.0355	0	0	0	0	0
144	0.036	0	0	0	0	0
146	0.0365	0	0	0	0	0
148	0.037	0	0	0	0	0
150	0.0375	0	0	0	0	0
152	0.038	0	0	0	0	0
154	0.0385	0	0	0	0	0
156	0.039	0	0	0	0	0
158	0.0395	0	0	0	0	0
160	0.04	0	0	0	0	0
162	0.0405	0	0	0	0	0
164	0.041	0	0	0	0	0
166	0.0415	0	0	0	0	0
168	0.042	0	0	0	0	0
170	0.0425	0	0	0	0	0
172	0.043	0	0	0	0	0
174	0.0435	0	0	0	0	0
176	0.044	0	0	0	0	0
178	0.0445	0	0	0	0	0
180	0.045	0	0	0	0	0
182	0.0455	0	0	0	0	0
184	0.046	0	0	0	0	0
186	0.0465	0	0	0	0	0
188	0.047	0	0	0	0	0
190	0.0475	0	0	0	0	0
192	0.048	0	0	0	0	0
194	0.0485	0	0	0	0	0
