TimeSlice	Time	BD30FD2B-9C21-4F8A-9254-2AD6E017A678
0	0	10
1	0.0005	10
2	0.001	9.99999
3	0.0015	9.99999
4	0.002	9.99998
5	0.0025	9.99996
6	0.003	9.99995
7	0.0035	9.99993
8	0.004	9.99991
9	0.0045	9.99989
10	0.005	9.99987
11	0.0055	9.99984
12	0.006	9.99981
13	0.0065	9.99978
14	0.007	9.99974
15	0.0075	9.99971
16	0.008	9.99967
17	0.0085	9.99963
18	0.009	9.99958
19	0.0095	9.99953
20	0.01	9.99949
21	0.0105	9.99943
22	0.011	9.99938
23	0.0115	9.99932
24	0.012	9.99926
25	0.0125	9.9992
26	0.013	9.99914
27	0.0135	9.99907
28	0.014	9.999
29	0.0145	9.99893
30	0.015	9.99886
31	0.0155	9.99878
32	0.016	9.9987
33	0.0165	9.99862
34	0.017	9.99854
35	0.0175	9.99846
36	0.018	9.99837
37	0.0185	9.99828
38	0.019	9.99818
39	0.0195	9.99809
40	0.02	9.99799
41	0.0205	9.99789
42	0.021	9.99779
43	0.0215	9.99768
44	0.022	9.99757
45	0.0225	9.99746
46	0.023	9.99735
47	0.0235	9.99723
48	0.024	9.99712
49	0.0245	9.997
50	0.025	9.99687
51	0.0255	9.99675
52	0.026	9.99662
53	0.0265	9.99649
54	0.027	9.99636
55	0.0275	9.99622
56	0.028	9.99609
57	0.0285	9.99595
58	0.029	9.9958
59	0.0295	9.99566
60	0.03	9.99551
61	0.0305	9.99536
62	0.031	9.99521
63	0.0315	9.99506
64	0.032	9.9949
65	0.0325	9.99474
66	0.033	9.99458
67	0.0335	9.99441
68	0.034	9.99425
69	0.0345	9.99408
70	0.035	9.99391
71	0.0355	9.99373
72	0.036	9.99356
73	0.0365	9.99338
74	0.037	9.99319
75	0.0375	9.99301
76	0.038	9.99282
77	0.0385	9.99263
78	0.039	9.99244
79	0.0395	9.99225
80	0.04	9.99205
81	0.0405	9.99186
82	0.041	9.99165
83	0.0415	9.99145
84	0.042	9.99124
85	0.0425	9.99104
86	0.043	9.99083
87	0.0435	9.99061
88	0.044	9.9904
89	0.0445	9.99018
90	0.045	9.98996
91	0.0455	9.98973
92	0.046	9.98951
93	0.0465	9.98928
94	0.047	9.98905
95	0.0475	9.98882
96	0.048	9.98858
97	0.0485	9.98834
98	0.049	9.9881
99	0.0495	9.98786
100	0.05	9.98761
101	0.0505	9.98737
102	0.051	9.98712
103	0.0515	9.98686
104	0.052	9.98661
105	0.0525	9.98635
106	0.053	9.98609
107	0.0535	9.98583
108	0.054	9.98556
109	0.0545	9.9853
110	0.055	9.98503
111	0.0555	9.98476
112	0.056	9.98448
113	0.0565	9.9842
114	0.057	9.98392
115	0.0575	9.98364
116	0.058	9.98336
117	0.0585	9.98307
118	0.059	9.98278
119	0.0595	9.98249
120	0.06	9.98219
121	0.0605	9.9819
122	0.061	9.9816
123	0.0615	9.9813
124	0.062	9.98099
125	0.0625	9.98069
126	0.063	9.98038
127	0.0635	9.98007
128	0.064	9.97975
129	0.0645	9.97944
130	0.065	9.97912
131	0.0655	9.9788
132	0.066	9.97847
133	0.0665	9.97815
134	0.067	9.97782
135	0.0675	9.97749
136	0.068	9.97715
137	0.0685	9.97682
138	0.069	9.97648
139	0.0695	9.97614
140	0.07	9.97579
141	0.0705	9.97545
142	0.071	9.9751
143	0.0715	9.97475
144	0.072	9.9744
145	0.0725	9.97404
146	0.073	9.97368
147	0.0735	9.97332
148	0.074	9.97296
149	0.0745	9.97259
150	0.075	9.97223
151	0.0755	9.97186
152	0.076	9.97148
153	0.0765	9.97111
154	0.077	9.97073
155	0.0775	9.97035
156	0.078	9.96997
157	0.0785	9.96958
158	0.079	9.96919
159	0.0795	9.9688
160	0.08	9.96841
161	0.0805	9.96802
162	0.081	9.96762
163	0.0815	9.96722
164	0.082	9.96682
165	0.0825	9.96641
166	0.083	9.96601
167	0.0835	9.9656
168	0.084	9.96518
169	0.0845	9.96477
170	0.085	9.96435
171	0.0855	9.96393
172	0.086	9.96351
173	0.0865	9.96309
174	0.087	9.96266
175	0.0875	9.96223
176	0.088	9.9618
177	0.0885	9.96137
178	0.089	9.96093
179	0.0895	9.96049
180	0.09	9.96005
181	0.0905	9.95961
182	0.091	9.95916
183	0.0915	9.95871
184	0.092	9.95826
185	0.0925	9.9578
186	0.093	9.95735
187	0.0935	9.95689
188	0.094	9.95643
189	0.0945	9.95597
190	0.095	9.9555
191	0.0955	9.95503
192	0.096	9.95456
193	0.0965	9.95409
194	0.097	9.95361
195	0.0975	9.95313
196	0.098	9.95265
197	0.0985	9.95217
198	0.099	9.95168
199	0.0995	9.9512
200	0.1	9.9507
201	0.1005	9.95021
202	0.101	9.94972
203	0.1015	9.94922
204	0.102	9.94872
205	0.1025	9.94822
206	0.103	9.94771
207	0.1035	9.9472
208	0.104	9.94669
209	0.1045	9.94618
210	0.105	9.94566
211	0.1055	9.94515
212	0.106	9.94463
213	0.1065	9.94411
214	0.107	9.94358
215	0.1075	9.94305
216	0.108	9.94252
217	0.1085	9.94199
218	0.109	9.94146
219	0.1095	9.94092
220	0.11	9.94038
221	0.1105	9.93984
222	0.111	9.93929
223	0.1115	9.93875
224	0.112	9.9382
225	0.1125	9.93764
226	0.113	9.93709
227	0.1135	9.93653
228	0.114	9.93598
229	0.1145	9.93541
230	0.115	9.93485
231	0.1155	9.93428
232	0.116	9.93371
233	0.1165	9.93314
234	0.117	9.93257
235	0.1175	9.93199
236	0.118	9.93141
237	0.1185	9.93083
238	0.119	9.93025
239	0.1195	9.92966
240	0.12	9.92907
241	0.1205	9.92848
242	0.121	9.92789
243	0.1215	9.92729
244	0.122	9.92669
245	0.1225	9.92609
246	0.123	9.92549
247	0.1235	9.92488
248	0.124	9.92428
249	0.1245	9.92367
250	0.125	9.92305
251	0.1255	9.92244
252	0.126	9.92182
253	0.1265	9.9212
254	0.127	9.92058
255	0.1275	9.91995
256	0.128	9.91932
257	0.1285	9.91869
258	0.129	9.91806
259	0.1295	9.91742
260	0.13	9.91679
261	0.1305	9.91615
262	0.131	9.9155
263	0.1315	9.91486
264	0.132	9.91421
265	0.1325	9.91356
266	0.133	9.91291
267	0.1335	9.91225
268	0.134	9.9116
269	0.1345	9.91094
270	0.135	9.91028
271	0.1355	9.90961
272	0.136	9.90894
273	0.1365	9.90827
274	0.137	9.9076
275	0.1375	9.90693
276	0.138	9.90625
277	0.1385	9.90557
278	0.139	9.90489
279	0.1395	9.90421
280	0.14	9.90352
281	0.1405	9.90283
282	0.141	9.90214
283	0.1415	9.90144
284	0.142	9.90075
285	0.1425	9.90005
286	0.143	9.89935
287	0.1435	9.89864
288	0.144	9.89794
289	0.1445	9.89723
290	0.145	9.89652
291	0.1455	9.8958
292	0.146	9.89509
293	0.1465	9.89437
294	0.147	9.89365
295	0.1475	9.89292
296	0.148	9.8922
297	0.1485	9.89147
298	0.149	9.89074
299	0.1495	9.89001
300	0.15	9.88927
301	0.1505	9.88853
302	0.151	9.88779
303	0.1515	9.88705
304	0.152	9.8863
305	0.1525	9.88555
306	0.153	9.8848
307	0.1535	9.88405
308	0.154	9.8833
309	0.1545	9.88254
310	0.155	9.88178
311	0.1555	9.88101
312	0.156	9.88025
313	0.1565	9.87948
314	0.157	9.87871
315	0.1575	9.87794
316	0.158	9.87716
317	0.1585	9.87639
