Time	Length	Ia	II	
0	0.5	55.00001	162	
0.0009999999	0.5	55.00001	162	
0.002	0.5	55.00001	162	
0.003	0.5	55.00001	162	
0.004	0.5	55.00001	162	
0.005	0.5	55.00001	162	
0.006	0.5	55.00001	162	
0.007	0.5	55.00001	162	
0.007999999	0.5	55.00001	162	
0.009	0.5	55.00001	162	
0.01	0.5	55.00001	162	
0.011	0.5	55.00001	162	
0.012	0.5	55.00001	162	
0.013	0.5	55.00001	162	
0.014	0.5	55.00001	162	
0.015	0.5	55.00001	162	
0.016	0.5	55.00001	162	
0.017	0.5	55.00001	162	
0.018	0.5	55.00001	162	
0.019	0.5	55.00001	162	
0.02	0.5	55.00001	162	
0.021	0.5	55.00001	162	
0.022	0.5	55.00001	162	
0.023	0.5	55.00001	162	
0.024	0.5	55.00001	162	
0.025	0.5	55.00001	162	
0.026	0.5	55.00001	162	
0.027	0.5	55.00001	162	
0.028	0.5	55.00001	162	
0.029	0.5	55.00001	162	
0.03	0.5	55.00001	162	
0.031	0.5	55.00001	162	
0.032	0.5	55.00001	162	
0.033	0.5	55.00001	162	
0.034	0.5	55.00001	162	
0.035	0.5	55.00001	162	
0.036	0.5	55.00001	162	
0.037	0.5	55.00001	162	
0.038	0.5	55.00001	162	
0.039	0.5	55.00001	162	
0.04	0.5	55.00001	162	
0.041	0.5	55.00001	162	
0.042	0.5	55.00001	162	
0.043	0.5	55.00001	162	
0.044	0.5	55.00001	162	
0.045	0.5	55.00001	162	
0.046	0.5	55.00001	162	
0.047	0.5	55.00001	162	
0.048	0.5	55.00001	162	
0.049	0.5	55.00001	162	
0.05	0.5	55.00001	162	
0.051	0.5	55.00001	162	
0.052	0.5	55.00001	162	
0.053	0.5	55.00001	162	
0.054	0.5	55.00001	162	
0.055	0.5	55.00001	162	
0.056	0.5	55.00001	162	
0.057	0.5	55.00001	162	
0.058	0.5	55.00001	162	
0.059	0.5	55.00001	162	
0.06	0.5	55.00001	162	
0.061	0.5	55.00001	162	
0.062	0.5	55.00001	162	
0.063	0.5	55.00001	162	
0.064	0.5	55.00001	162	
0.065	0.5	55.00001	162	
0.066	0.5	55.00001	162	
0.067	0.5	55.00001	162	
0.068	0.5	55.00001	162	
0.069	0.5	55.00001	162	
0.07	0.5	55.00001	162	
0.07099999	0.5	55.00001	162	
0.072	0.5	55.00001	162	
0.073	0.5	55.00001	162	
0.074	0.5	55.00001	162	
0.075	0.5	55.00001	162	
0.076	0.5	55.00001	162	
0.077	0.5	55.00001	162	
0.078	0.5	55.00001	162	
0.079	0.5	55.00001	162	
0.08	0.5	55.00001	162	
0.081	0.5	55.00001	162	
0.08199999	0.5	55.00001	162	
0.083	0.5	55.00001	162	
0.084	0.5	55.00001	162	
0.085	0.5	55.00001	162	
0.086	0.5	55.00001	162	
0.087	0.5	55.00001	162	
0.088	0.5	55.00001	162	
0.08899999	0.5	55.00001	162	
0.09	0.5	55.00001	162	
0.091	0.5	55.00001	162	
0.092	0.5	55.00001	162	
0.09299999	0.5	55.00001	162	
0.094	0.5	55.00001	162	
0.095	0.5	55.00001	162	
0.096	0.5	55.00001	162	
0.097	0.5	55.00001	162	
0.098	0.5	55.00001	162	
0.099	0.5	55.00001	162	
0.09999999	0.5	55.00001	162	
0.101	0.5	55.00001	162	
0.102	0.5	55.00001	162	
0.103	0.5	55.00001	162	
0.104	0.5	55.00001	162	
0.105	0.5	55.00001	162	
0.106	0.5	55.00001	162	
0.107	0.5	55.00001	162	
0.108	0.5	55.00001	162	
0.109	0.5	55.00001	162	
0.11	0.5	55.00001	162	
0.111	0.5	55.00001	162	
0.112	0.5	55.00001	162	
0.113	0.5	55.00001	162	
0.114	0.5	55.00001	162	
0.115	0.5	55.00001	162	
0.116	0.5	55.00001	162	
0.117	0.5	55.00001	162	
0.118	0.5	55.00001	162	
0.119	0.5	55.00001	162	
0.12	0.5	55.00001	162	
0.121	0.5	55.00001	162	
0.122	0.5	55.00001	162	
0.123	0.5	55.00001	162	
0.124	0.5	55.00001	162	
0.125	0.5	55.00001	162	
0.126	0.5	55.00001	162	
0.127	0.5	55.00001	162	
0.128	0.5	55.00001	162	
0.129	0.5	55.00001	162	
0.13	0.5	55.00001	162	
0.131	0.5	55.00001	162	
0.132	0.5	55.00001	162	
0.133	0.5	55.00001	162	
0.134	0.5	55.00001	162	
0.135	0.5	55.00001	162	
0.136	0.5	55.00001	162	
0.137	0.5	55.00001	162	
0.138	0.5	55.00001	162	
0.139	0.5	55.00001	162	
0.14	0.5	55.00001	162	
0.141	0.5	55.00001	162	
0.142	0.5	55.00001	162	
0.143	0.5	55.00001	162	
0.144	0.5	55.00001	162	
0.145	0.5	55.00001	162	
0.146	0.5	55.00001	162	
0.147	0.5	55.00001	162	
0.148	0.5	55.00001	162	
0.149	0.5	55.00001	162	
0.15	0.5	55.00001	162	
0.151	0.5	55.00001	162	
0.152	0.5	55.00001	162	
0.153	0.5	55.00001	162	
0.154	0.5	55.00001	162	
0.155	0.5	55.00001	162	
0.156	0.5	55.00001	162	
0.157	0.5	55.00001	162	
0.158	0.5	55.00001	162	
0.159	0.5	55.00001	162	
0.16	0.5	55.00001	162	
0.161	0.5	55.00001	162	
0.162	0.5	55.00001	162	
0.163	0.5	55.00001	162	
0.164	0.5	55.00001	162	
0.165	0.5	55.00001	162	
0.166	0.5	55.00001	162	
0.167	0.5	55.00001	162	
0.168	0.5	55.00001	162	
0.169	0.5	55.00001	162	
0.17	0.5	55.00001	162	
0.171	0.5	55.00001	162	
0.172	0.5	55.00001	162	
0.173	0.5	55.00001	162	
0.174	0.5	55.00001	162	
0.175	0.5	55.00001	162	
0.176	0.5	55.00001	162	
0.177	0.5	55.00001	162	
0.178	0.5	55.00001	162	
0.179	0.5	55.00001	162	
0.18	0.5	55.00001	162	
0.181	0.5	55.00001	162	
0.182	0.5	55.00001	162	
0.183	0.5	55.00001	162	
0.184	0.5	55.00001	162	
0.185	0.5	55.00001	162	
0.186	0.5	55.00001	162	
0.187	0.5	55.00001	162	
0.188	0.5	55.00001	162	
0.189	0.5	55.00001	162	
0.19	0.5	55.00001	162	
0.191	0.5	55.00001	162	
0.192	0.5	55.00001	162	
0.193	0.5	55.00001	162	
0.194	0.5	55.00001	162	
0.195	0.5	55.00001	162	
0.196	0.5	55.00001	162	
0.197	0.5	55.00001	162	
0.198	0.5	55.00001	162	
0.199	0.5	55.00001	162	
0.2	0.5	55.00001	162	
0.201	0.5	55.00001	162	
0.202	0.5	55.00001	162	
0.203	0.5	55.00001	162	
0.204	0.5	55.00001	162	
0.205	0.5	55.00001	162	
0.206	0.5	55.00001	162	
0.207	0.5	55.00001	162	
0.208	0.5	55.00001	162	
0.209	0.5	55.00001	162	
0.21	0.5	55.00001	162	
0.211	0.5	55.00001	162	
0.212	0.5	55.00001	162	
0.213	0.5	55.00001	162	
0.214	0.5	55.00001	162	
0.215	0.5	55.00001	162	
0.216	0.5	55.00001	162	
0.217	0.5	55.00001	162	
0.218	0.5	55.00001	162	
0.219	0.5	55.00001	162	
0.22	0.5	55.00001	162	
0.221	0.5	55.00001	162	
0.222	0.5	55.00001	162	
0.223	0.5	55.00001	162	
0.224	0.5	55.00001	162	
0.225	0.5	55.00001	162	
0.226	0.5	55.00001	162	
0.227	0.5	55.00001	162	
0.228	0.5	55.00001	162	
0.229	0.5	55.00001	162	
0.23	0.5	55.00001	162	
0.231	0.5	55.00001	162	
0.232	0.5	55.00001	162	
0.233	0.5	55.00001	162	
0.234	0.5	55.00001	162	
0.235	0.5	55.00001	162	
0.236	0.5	55.00001	162	
0.237	0.5	55.00001	162	
0.238	0.5	55.00001	162	
0.239	0.5	55.00001	162	
0.24	0.5	55.00001	162	
0.241	0.5	55.00001	162	
0.242	0.5	55.00001	162	
0.243	0.5	55.00001	162	
0.244	0.5	55.00001	162	
0.245	0.5	55.00001	162	
0.246	0.5	55.00001	162	
0.247	0.5	55.00001	162	
0.248	0.5	55.00001	162	
0.249	0.5	55.00001	162	
0.25	0.5	55.00001	162	
0.251	0.5	55.00001	162	
0.252	0.5	55.00001	162	
0.253	0.5	55.00001	162	
0.254	0.5	55.00001	162	
0.255	0.5	55.00001	162	
0.256	0.5	55.00001	162	
0.257	0.5	55.00001	162	
0.258	0.5	55.00001	162	
0.259	0.5	55.00001	162	
0.26	0.5	55.00001	162	
0.261	0.5	55.00001	162	
0.262	0.5	55.00001	162	
0.263	0.5	55.00001	162	
0.264	0.5	55.00001	162	
0.265	0.5	55.00001	162	
0.266	0.5	55.00001	162	
0.267	0.5	55.00001	162	
0.268	0.5	55.00001	162	
0.269	0.5	55.00001	162	
0.27	0.5	55.00001	162	
0.271	0.5	55.00001	162	
0.272	0.5	55.00001	162	
0.273	0.5	55.00001	162	
0.274	0.5	55.00001	162	
0.275	0.5	55.00001	162	
0.276	0.5	55.00001	162	
0.277	0.5	55.00001	162	
0.278	0.5	55.00001	162	
0.279	0.5	55.00001	162	
0.28	0.5	55.00001	162	
0.281	0.5	55.00001	162	
0.282	0.5	55.00001	162	
0.283	0.5	55.00001	162	
0.284	0.5	55.00001	162	
0.285	0.5	55.00001	162	
0.286	0.5	55.00001	162	
0.287	0.5	55.00001	162	
0.288	0.5	55.00001	162	
0.289	0.5	55.00001	162	
0.29	0.5	55.00001	162	
0.291	0.5	55.00001	162	
0.292	0.5	55.00001	162	
0.293	0.5	55.00001	162	
0.294	0.5	55.00001	162	
0.295	0.5	55.00001	162	
0.296	0.5	55.00001	162	
0.297	0.5	55.00001	162	
0.298	0.5	55.00001	162	
0.299	0.5	55.00001	162	
0.3	0.5	55.00001	162	
0.301	0.5	55.00001	162	
0.302	0.5	55.00001	162	
0.303	0.5	55.00001	162	
0.304	0.5	55.00001	162	
0.305	0.5	55.00001	162	
0.306	0.5	55.00001	162	
0.307	0.5	55.00001	162	
0.308	0.5	55.00001	162	
0.309	0.5	55.00001	162	
0.31	0.5	55.00001	162	
0.311	0.5	55.00001	162	
0.312	0.5	55.00001	162	
0.313	0.5	55.00001	162	
0.314	0.5	55.00001	162	
0.315	0.5	55.00001	162	
0.316	0.5	55.00001	162	
0.317	0.5	55.00001	162	
0.318	0.5	55.00001	162	
0.319	0.5	55.00001	162	
0.32	0.5	55.00001	162	
0.321	0.5	55.00001	162	
0.322	0.5	55.00001	162	
0.323	0.5	55.00001	162	
0.324	0.5	55.00001	162	
0.325	0.5	55.00001	162	
0.326	0.5	55.00001	162	
0.327	0.5	55.00001	162	
0.328	0.5	55.00001	162	
0.329	0.5	55.00001	162	
0.33	0.5	55.00001	162	
0.331	0.5	55.00001	162	
0.332	0.5	55.00001	162	
0.333	0.5	55.00001	162	
0.334	0.5	55.00001	162	
0.335	0.5	55.00001	162	
0.336	0.5	55.00001	162	
0.337	0.5	55.00001	162	
0.338	0.5	55.00001	162	
0.339	0.5	55.00001	162	
0.34	0.5	55.00001	162	
0.341	0.5	55.00001	162	
0.342	0.5	55.00001	162	
0.343	0.5	55.00001	162	
0.344	0.5	55.00001	162	
0.345	0.5	55.00001	162	
0.346	0.5	55.00001	162	
