Time	Tension	Length	Ia	II	
2	31.60703	0.3344964	65.14104	26.93553	
2.001	31.5772	0.3344957	65.11122	26.93845	
2.002	31.57848	0.3344951	65.1125	26.93826	
2.003	31.59781	0.3344944	65.13183	26.93626	
2.004	31.62464	0.3344938	65.15867	26.93351	
2.005	31.65131	0.3344931	65.18533	26.93078	
2.006	31.67238	0.3344925	65.20639	26.92861	
2.007	31.68418	0.3344918	65.21819	26.92736	
2.008	31.68466	0.3344912	65.21868	26.92725	
2.009	31.67244	0.3344905	65.20645	26.92841	
2.01	31.64714	0.3344899	65.18117	26.93087	
2.011	31.60865	0.3344892	65.14267	26.93466	
2.012	31.57881	0.3344886	65.11283	26.93757	
2.013	31.58008	0.3344879	65.1141	26.93738	
2.014	31.5994	0.3344873	65.13342	26.93539	
2.015	31.62629	0.3344867	65.1603	26.93264	
2.016	31.65295	0.334486	65.18697	26.9299	
2.017	31.67401	0.3344854	65.20802	26.92774	
2.018	31.68586	0.3344848	65.21988	26.92649	
2.019	31.68627	0.3344841	65.22029	26.92638	
2.02	31.67409	0.3344835	65.20811	26.92754	
2.021	31.64876	0.3344828	65.18278	26.93	
2.022	31.61025	0.3344822	65.14427	26.93379	
2.023	31.58046	0.3344816	65.11449	26.93671	
2.024	31.58172	0.3344809	65.11574	26.93652	
2.025	31.60103	0.3344803	65.13505	26.93452	
2.026	31.6279	0.3344797	65.16193	26.93177	
2.027	31.65461	0.3344791	65.18863	26.92904	
2.028	31.67566	0.3344784	65.20968	26.92688	
2.029	31.6875	0.3344778	65.22152	26.92563	
2.03	31.68793	0.3344772	65.22195	26.92552	
2.031	31.67574	0.3344766	65.20976	26.92668	
2.032	31.65045	0.334476	65.18446	26.92915	
2.033	31.61195	0.3344753	65.14597	26.93294	
2.034	31.58215	0.3344747	65.11617	26.93586	
2.035	31.58342	0.3344741	65.11744	26.93567	
2.036	31.60275	0.3344735	65.13677	26.93368	
2.037	31.62964	0.3344729	65.16367	26.93093	
2.038	31.65627	0.3344723	65.1903	26.9282	
2.039	31.67734	0.3344717	65.21136	26.92603	
2.04	31.68919	0.3344711	65.22322	26.92479	
2.041	31.68964	0.3344705	65.22366	26.92468	
2.042	31.67746	0.3344699	65.21148	26.92584	
2.043	31.65213	0.3344693	65.18614	26.92831	
2.044	31.61365	0.3344687	65.14767	26.9321	
2.045	31.58383	0.3344681	65.11785	26.93502	
2.046	31.58508	0.3344674	65.1191	26.93483	
2.047	31.60437	0.3344668	65.13839	26.93284	
2.048	31.63125	0.3344662	65.16527	26.93009	
2.049	31.6579	0.3344656	65.19192	26.92737	
2.05	31.67895	0.334465	65.21297	26.9252	
2.051	31.69079	0.3344644	65.22481	26.92396	
2.052	31.69119	0.3344638	65.2252	26.92386	
2.053	31.67897	0.3344631	65.21299	26.92501	
2.054	31.65362	0.3344625	65.18763	26.92749	
2.055	31.61509	0.3344619	65.14912	26.93128	
2.056	31.58526	0.3344613	65.11928	26.9342	
2.057	31.5865	0.3344607	65.12052	26.93402	
2.058	31.60577	0.33446	65.13979	26.93203	
2.059	31.63261	0.3344594	65.16663	26.92928	
2.06	31.65925	0.3344588	65.19327	26.92655	
2.061	31.68028	0.3344582	65.21431	26.92439	
2.062	31.69208	0.3344576	65.2261	26.92315	
2.063	31.69244	0.3344569	65.22646	26.92305	
2.064	31.68021	0.3344563	65.21423	26.92421	
2.065	31.65484	0.3344557	65.18887	26.92668	
2.066	31.61627	0.334455	65.15029	26.93047	
2.067	31.58639	0.3344544	65.12041	26.9334	
2.068	31.58763	0.3344538	65.12165	26.93321	
2.069	31.60682	0.3344531	65.14085	26.93122	
2.07	31.63368	0.3344525	65.16769	26.92848	
2.071	31.66025	0.3344518	65.19427	26.92575	
2.072	31.68124	0.3344512	65.21526	26.92359	
2.073	31.693	0.3344505	65.22702	26.92235	
2.074	31.69335	0.3344499	65.22736	26.92225	
2.075	31.68107	0.3344492	65.2151	26.92341	
2.076	31.65567	0.3344485	65.18969	26.92589	
2.077	31.61708	0.3344479	65.1511	26.92968	
2.078	31.58716	0.3344472	65.12118	26.93261	
2.079	31.58832	0.3344465	65.12234	26.93242	
2.08	31.60754	0.3344459	65.14156	26.93043	
2.081	31.6343	0.3344452	65.16832	26.92769	
2.082	31.66089	0.3344446	65.19491	26.92496	
2.083	31.68184	0.3344439	65.21587	26.9228	
2.084	31.69356	0.3344432	65.22758	26.92156	
