Time	LeftOdor	RightOdor	ROS	LOS	LO	RO	OS	
0	309.8391	309.8391	309.8391	309.8391	0	0	0	
0.001	309.8391	309.8391	309.8391	309.8391	0.01859034	0.01859034	0	
0.002	309.7626	309.9156	309.9156	309.7626	0.01859034	0.01859034	0	
0.003	309.6227	310.0551	310.0551	309.6227	0.0367959	0.03682184	0	
0.004	309.4316	310.2448	310.2448	309.4316	0.0367959	0.03682184	0	
0.005	309.1976	310.4755	310.4755	309.1976	0.05461184	0.05471393	0	
0.006	308.9292	310.738	310.738	308.9292	0.05461184	0.05471393	0	
0.007	308.6319	311.0263	311.0263	308.6319	0.07203751	0.07228123	0	
0.008	308.3116	311.3339	311.3339	308.3116	0.07203751	0.07228123	0	
0.009000001	307.9718	311.6569	311.6569	307.9718	0.08907507	0.08953503	0	
0.01	307.6169	311.9906	311.9906	307.6169	0.08907507	0.08953503	0	
0.011	307.249	312.3326	312.3326	307.249	0.1057285	0.1064843	0	
0.012	306.8714	312.6797	312.6797	306.8714	0.1057285	0.1064843	0	
0.013	306.4853	313.0304	313.0304	306.4853	0.1220031	0.1231364	0	
0.014	306.0933	313.3823	313.3823	306.0933	0.1220031	0.1231364	0	
0.015	305.696	313.7345	313.7345	305.696	0.1379048	0.1394978	0	
0.016	305.2953	314.0855	314.0855	305.2953	0.1379048	0.1394978	0	
0.017	304.8917	314.4349	314.4349	304.8917	0.1534402	0.1555739	0	
0.018	304.4865	314.7813	314.7813	304.4865	0.1534402	0.1555739	0	
0.019	304.0797	315.1247	315.1247	304.0797	0.1686162	0.1713699	0	
0.02	303.6728	315.4641	315.4641	303.6728	0.1686162	0.1713699	0	
0.021	303.2654	315.7998	315.7998	303.2654	0.1834398	0.1868905	0	
0.022	302.8589	316.1306	316.1306	302.8589	0.1834398	0.1868905	0	
0.023	302.4527	316.4572	316.4572	302.4527	0.1979181	0.2021401	0	
0.024	302.0479	316.7787	316.7787	302.0479	0.1979181	0.2021401	0	
0.025	301.644	317.0956	317.0956	301.644	0.2120584	0.217123	0	
0.026	301.2419	317.4071	317.4071	301.2419	0.2120584	0.217123	0	
0.027	300.8412	317.7139	317.7139	300.8412	0.2258677	0.2318434	0	
0.028	300.4428	318.0154	318.0154	300.4428	0.2258677	0.2318434	0	
0.029	300.0461	318.312	318.312	300.0461	0.2393531	0.2463053	0	
0.03	299.6517	318.6032	318.6032	299.6517	0.2393531	0.2463053	0	
0.031	299.2592	318.8895	318.8895	299.2592	0.2525216	0.2605126	0	
0.032	298.8695	319.1705	319.1705	298.8695	0.2525216	0.2605126	0	
0.033	298.4818	319.4467	319.4467	298.4818	0.2653801	0.2744691	0	
0.034	298.097	319.7177	319.7177	298.097	0.2653801	0.2744691	0	
0.035	297.7141	319.984	319.984	297.7141	0.2779353	0.2881788	0	
0.036	297.3344	320.2451	320.2451	297.3344	0.2779353	0.2881788	0	
0.037	296.9568	320.5014	320.5014	296.9568	0.290194	0.3016453	0	
0.038	296.5824	320.7527	320.7527	296.5824	0.290194	0.3016453	0	
0.039	296.2102	320.9996	320.9996	296.2102	0.3021627	0.3148723	0	
0.04	295.8412	321.2414	321.2414	295.8412	0.3021627	0.3148723	0	
0.041	295.4746	321.4788	321.4788	295.4746	0.313848	0.3278636	0	
0.042	295.1111	321.7113	321.7113	295.1111	0.313848	0.3278636	0	
0.043	294.7502	321.9395	321.9395	294.7502	0.325256	0.3406227	0	
0.044	294.3924	322.1629	322.1629	294.3924	0.325256	0.3406227	0	
0.045	294.0371	322.3821	322.3821	294.0371	0.3363931	0.3531532	0	
0.046	293.6852	322.5966	322.5966	293.6852	0.3363931	0.3531532	0	
0.047	293.3358	322.8069	322.8069	293.3358	0.3472654	0.3654585	0	
0.048	292.9896	323.0128	323.0128	292.9896	0.3472654	0.3654585	0	
0.049	292.6459	323.2146	323.2146	292.6459	0.3578789	0.3775422	0	
0.05	292.3057	323.4119	323.4119	292.3057	0.3578789	0.3775422	0	
0.051	291.968	323.6052	323.6052	291.968	0.3682394	0.3894077	0	
0.052	291.6338	323.7943	323.7943	291.6338	0.3682394	0.3894077	0	
0.053	291.3021	323.9794	323.9794	291.3021	0.3783527	0.4010583	0	
0.054	290.9738	324.1602	324.1602	290.9738	0.3783527	0.4010583	0	
0.055	290.6482	324.3374	324.3374	290.6482	0.3882246	0.4124974	0	
0.056	290.3259	324.5103	324.5103	290.3259	0.3882246	0.4124974	0	
0.057	290.0064	324.6797	324.6797	290.0064	0.3978604	0.4237282	0	
0.058	289.6902	324.8448	324.8448	289.6902	0.3978604	0.4237282	0	
0.059	289.3768	325.0064	325.0064	289.3768	0.4072658	0.434754	0	
0.06	289.0667	325.1639	325.1639	289.0667	0.4072658	0.434754	0	
0.061	288.7594	325.318	325.318	288.7594	0.4164461	0.445578	0	
0.062	288.4555	325.4681	325.4681	288.4555	0.4164461	0.445578	0	
0.063	288.1543	325.6147	325.6147	288.1543	0.4254064	0.4562033	0	
0.064	287.8565	325.7574	325.7574	287.8565	0.4254064	0.4562033	0	
0.06500001	287.5615	325.8968	325.8968	287.5615	0.4341519	0.466633	0	
0.066	287.27	326.0323	326.0323	287.27	0.4341519	0.466633	0	
0.067	286.981	326.1646	326.1646	286.981	0.4426878	0.4768702	0	
0.068	286.6957	326.2931	326.2931	286.6957	0.4426878	0.4768702	0	
0.06900001	286.413	326.4185	326.4185	286.413	0.4510188	0.4869179	0	
0.07	286.1339	326.54	326.54	286.1339	0.4510188	0.4869179	0	
0.071	285.8575	326.6585	326.6585	285.8575	0.4591499	0.4967791	0	
0.072	285.5845	326.7733	326.7733	285.5845	0.4591499	0.4967791	0	
0.07300001	285.3143	326.885	326.885	285.3143	0.4670858	0.5064566	0	
0.074	285.0475	326.9932	326.9932	285.0475	0.4670858	0.5064566	0	
0.075	284.7835	327.0983	327.0983	284.7835	0.474831	0.5159534	0	
0.07600001	284.5231	327.1999	327.1999	284.5231	0.474831	0.5159534	0	
0.07700001	284.2653	327.2985	327.2985	284.2653	0.4823903	0.5252723	0	
0.078	284.011	327.3936	327.3936	284.011	0.4823903	0.5252723	0	
0.079	283.7594	327.4858	327.4858	283.7594	0.4897681	0.5344159	0	
0.08000001	283.5114	327.5745	327.5745	283.5114	0.4897681	0.5344159	0	
0.081	283.2659	327.6605	327.6605	283.2659	0.4969687	0.5433872	0	
0.082	283.0241	327.743	327.743	283.0241	0.4969687	0.5433872	0	
0.083	282.7849	327.8227	327.8227	282.7849	0.5039964	0.5521889	0	
0.08400001	282.5493	327.899	327.899	282.5493	0.5039964	0.5521889	0	
0.085	282.3163	327.9726	327.9726	282.3163	0.5108554	0.5608234	0	
0.086	282.0869	328.0428	328.0428	282.0869	0.5108554	0.5608234	0	
0.087	281.8601	328.1104	328.1104	281.8601	0.5175499	0.5692936	0	
