Time	A1	A2	A3	A4	A5	A6	
0	0	0	0	0	0	0	
0.002	0	0	0	0	0	0	
0.004	0.0001520659	1.248233E-05	0	0	1.243654E-05	0.0001515081	
0.006	0.0003909156	3.208832E-05	0	0	3.203825E-05	0.0003903059	
0.008	0.0007075442	5.80788E-05	0	0	5.807525E-05	0.0007075021	
0.01	0.00109299	8.971815E-05	0	0	8.98127E-05	0.001094144	
0.012	0.001538476	0.0001262859	0	0	0.0001265278	0.001541426	
0.014	0.002035514	0.0001670853	0	0	0.0001675199	0.002040813	
0.016	0.002575987	0.0002114501	0	0	0.0002121181	0.002584131	
0.018	0.003152211	0.0002587496	0	0	0.0002596868	0.003163637	
0.02	0.003756987	0.0003083926	0	0	0.0003096303	0.003772071	
0.022	0.004383634	0.0003598309	0	0	0.0003613947	0.004402693	
0.024	0.005026011	0.0004125605	0	0	0.0004144712	0.005049298	
0.026	0.005678529	0.0004661225	0	0	0.0004683963	0.005706242	
0.028	0.00633615	0.0005201033	0	0	0.0005227523	0.006368433	
0.03	0.00699438	0.0005741341	0	0	0.0005771662	0.00703133	
0.032	0.007649256	0.0006278897	0	0	0.0006313089	0.007690924	
0.034	0.008297328	0.0006810866	0	0	0.000684894	0.008343726	
0.036	0.008935629	0.0007334816	0	0	0.0007376753	0.008986733	
0.038	0.009561655	0.0007848688	0	0	0.0007894445	0.009617412	
0.04	0.01017333	0.0008350782	0	0	0.0008400289	0.01023366	
0.042	0.01076897	0.0008839715	0	0	0.0008892891	0.01083377	
0.044	0.01134727	0.0009314408	0	0	0.0009371155	0.01141641	
0.046	0.01190723	0.0009774055	0	0	0.0009834262	0.01198059	
0.048	0.01244818	0.001021809	0	0	0.001028164	0.01252561	
0.05	0.0129697	0.001064618	0	0	0.001071293	0.01305103	
0.052	0.01347159	0.001105816	0	0	0.001112799	0.01355668	
0.054	0.01395388	0.001145405	0	0	0.001152683	0.01404256	
0.056	0.01441677	0.001183401	0	0	0.001190961	0.01450887	
0.058	0.0148606	0.001219833	0	0	0.00122766	0.01495596	
0.06	0.01528584	0.001254738	0	0	0.00126282	0.01538431	
0.062	0.01569307	0.001288165	0	0	0.001296489	0.01579447	
0.064	0.01608292	0.001320166	0	0	0.001328719	0.01618712	
0.066	0.01645612	0.0013508	0	0	0.001359571	0.01656296	
0.068	0.01681341	0.001380129	0	0	0.001389105	0.01692277	
0.07	0.0171556	0.001408217	0	0	0.001417389	0.01726733	
0.072	0.01748346	0.00143513	0	0	0.001444487	0.01759745	
0.074	0.01779782	0.001460933	0	0	0.001470466	0.01791395	
0.07600001	0.01809946	0.001485694	0	0	0.001495393	0.01821761	
0.078	0.01838917	0.001509475	0	0	0.001519331	0.01850924	
